Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,80.65,81.65,80.37,81.53,1831300,81.53
2010-12-02,79.88,81.16,79.80,80.76,2106400,80.76
2010-12-01,78.61,79.96,78.34,79.82,1588500,79.82
2010-11-30,77.12,78.19,76.62,77.93,1873800,77.93
2010-11-29,77.53,78.31,77.16,78.05,1595400,78.05
2010-11-26,77.24,78.42,77.20,78.16,825100,78.16
2010-11-24,76.64,78.15,76.55,78.12,1304700,78.12
2010-11-23,76.72,76.90,76.36,76.64,1087400,76.64
2010-11-22,77.53,77.81,76.84,77.62,1251300,77.62
2010-11-19,77.65,77.88,77.27,77.84,1056100,77.84
2010-11-18,77.10,78.06,76.88,77.69,955800,77.69
2010-11-17,76.79,76.91,76.25,76.78,1276800,76.78
2010-11-16,76.86,77.15,76.40,76.61,1617900,76.61
2010-11-15,76.80,78.12,76.80,77.39,922400,77.39
2010-11-12,77.78,77.82,77.13,77.27,1136800,77.27
2010-11-11,77.71,78.35,77.22,78.27,1036300,78.27
2010-11-10,77.46,78.24,77.16,78.18,1191800,78.18
2010-11-09,77.50,78.19,77.27,77.78,1353600,77.78
2010-11-08,76.96,77.98,76.63,77.56,1139400,77.56
2010-11-05,77.90,78.16,77.34,77.54,1813500,77.54
2010-11-04,76.31,78.76,76.31,78.25,2374800,78.25
2010-11-03,75.61,76.00,74.65,75.54,1832300,75.54
2010-11-02,75.85,76.22,75.24,75.38,1430900,75.38
2010-11-01,75.92,76.06,74.92,75.29,1519900,75.29
2010-10-29,76.09,76.14,75.52,75.52,1278100,75.52
2010-10-28,77.02,77.21,76.10,76.39,870600,76.39
2010-10-27,76.35,76.61,75.63,76.15,1132300,76.15
2010-10-26,76.62,77.01,76.58,76.73,912500,76.73
2010-10-25,76.68,77.24,76.68,76.91,1166300,76.91
2010-10-22,77.01,77.27,76.31,76.40,980200,76.40
2010-10-21,77.00,77.64,76.73,77.00,1644800,77.00
2010-10-20,76.45,77.01,76.42,76.90,1097400,76.90
2010-10-19,76.26,76.63,75.88,76.35,1478400,76.35
2010-10-18,76.22,76.86,76.11,76.82,781600,76.82
2010-10-15,76.50,76.50,75.60,76.13,997100,76.13
2010-10-14,76.17,76.36,75.73,76.08,937400,76.08
2010-10-13,75.75,76.16,75.48,76.02,903800,76.02
2010-10-12,74.71,75.66,74.39,75.55,906100,75.55
2010-10-11,74.91,75.48,74.79,74.92,387700,74.92
2010-10-08,74.70,75.00,74.45,74.75,911200,74.75
2010-10-07,75.32,75.49,74.25,74.52,1047600,74.52
2010-10-06,74.93,75.39,74.70,75.13,642300,75.13
2010-10-05,74.10,75.09,74.04,74.87,1066600,74.87
2010-10-04,74.15,74.29,73.39,73.67,831100,73.67
2010-10-01,74.56,74.72,73.69,74.30,1128900,74.30
2010-09-30,74.36,74.83,73.97,74.10,1021300,74.10
2010-09-29,74.54,74.70,73.85,74.17,1171200,74.17
2010-09-28,74.45,74.86,73.97,74.82,1230200,74.82
2010-09-27,74.70,74.90,74.20,74.22,823600,74.22
2010-09-24,73.72,74.30,73.56,74.28,728700,74.28
2010-09-23,72.99,73.62,72.91,73.11,689800,73.11
2010-09-22,73.70,74.29,73.03,73.48,1027600,73.48
2010-09-21,73.80,74.00,73.33,73.71,880700,73.71
2010-09-20,73.56,73.69,72.75,73.58,1074100,73.58
2010-09-17,73.05,73.50,72.87,73.48,1417400,73.48
