Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,92.05,92.21,90.89,91.22,512900,91.22
2010-12-02,91.23,92.03,91.04,92.03,515400,92.03
2010-12-01,88.81,93.41,88.81,91.58,1697600,91.58
2010-11-30,87.30,88.22,86.95,87.86,461000,87.86
2010-11-29,87.42,88.74,87.17,88.24,501000,88.24
2010-11-26,87.93,88.40,87.47,88.03,178600,88.03
2010-11-24,86.72,89.55,86.53,88.78,647800,88.78
2010-11-23,86.67,86.67,85.26,86.05,432200,86.05
2010-11-22,86.39,87.98,85.92,87.35,370900,87.35
2010-11-19,86.34,87.15,85.94,86.87,500200,86.87
2010-11-18,85.80,87.68,85.40,86.38,502500,86.38
2010-11-17,84.89,85.47,84.57,85.31,440000,85.31
2010-11-16,85.75,85.90,84.45,85.21,620600,85.21
2010-11-15,86.89,87.30,85.96,86.16,405700,86.16
2010-11-12,87.52,88.12,86.09,86.72,398600,86.72
2010-11-11,87.27,88.12,86.44,88.09,614800,88.09
2010-11-10,87.65,88.10,86.79,88.10,509700,88.10
2010-11-09,87.90,88.30,87.32,87.82,736300,87.82
2010-11-08,87.20,88.41,86.83,88.09,707900,88.09
2010-11-05,87.64,88.37,87.48,87.82,656300,87.82
2010-11-04,88.46,88.72,87.12,87.40,742500,87.40
2010-11-03,87.37,88.42,86.59,87.67,404100,87.67
2010-11-02,87.57,87.75,86.15,87.51,524800,87.51
2010-11-01,87.77,88.97,86.50,87.29,518400,87.29
2010-10-29,86.60,88.10,84.92,87.83,956800,87.83
2010-10-28,87.60,87.81,86.27,87.25,605500,87.25
2010-10-27,85.98,87.20,85.87,86.92,595600,86.92
2010-10-26,87.33,87.34,86.52,86.72,553400,86.72
2010-10-25,88.25,88.47,87.62,87.83,843400,87.83
2010-10-22,85.85,88.25,85.33,88.11,1061200,88.11
2010-10-21,86.94,87.07,84.90,86.01,474700,86.01
2010-10-20,85.20,86.97,84.81,86.87,604500,86.87
2010-10-19,84.95,86.31,84.49,85.16,830200,85.16
