1.24
Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,64.49,64.49,63.95,64.00,2207800,64.00
2010-12-03,63.56,64.47,63.56,64.41,2447100,64.41
2010-12-02,62.94,64.34,62.94,64.03,3587400,64.03
2010-12-01,61.86,63.17,61.78,62.94,4350400,62.94
2010-11-30,61.09,61.44,60.60,60.81,4682800,60.81
2010-11-29,61.39,61.96,60.77,61.78,3117300,61.78
2010-11-26,61.10,61.98,61.02,61.67,1261700,61.67
2010-11-24,60.99,62.00,60.89,61.90,4066600,61.64
2010-11-23,61.04,61.05,60.02,60.19,3954000,59.94
2010-11-22,62.04,62.50,61.29,61.81,2489800,61.55
2010-11-19,61.81,62.50,61.35,62.44,3854200,62.18
2010-11-18,61.25,62.05,61.22,61.76,3557400,61.50
2010-11-17,60.76,60.90,60.27,60.61,3360300,60.36
2010-11-16,61.06,61.11,59.96,60.27,4044800,60.02
2010-11-15,61.49,62.18,61.16,61.39,4497300,61.13
2010-11-12,60.34,61.36,60.09,60.85,3719300,60.59
2010-11-11,60.96,61.55,60.68,61.00,4140200,60.74
2010-11-10,60.95,61.71,60.81,61.71,4578500,61.45
2010-11-09,62.47,62.47,60.91,61.17,4414900,60.91
2010-11-08,61.63,62.48,61.58,62.23,5161600,61.97
2010-11-05,62.50,62.65,61.34,61.80,14219800,61.54
2010-11-04,63.47,64.50,62.24,62.52,36857100,62.26
2010-11-03,62.63,62.91,61.89,62.81,2841300,62.55
2010-11-02,62.08,62.50,61.97,62.39,2806000,62.13
2010-11-01,61.61,62.45,61.18,61.67,3264200,61.41
2010-10-29,60.57,61.77,60.24,61.45,3229300,61.19
2010-10-28,60.89,60.96,59.68,60.55,4211600,60.30
2010-10-27,60.70,60.70,59.58,60.46,4199900,60.21
2010-10-26,60.79,61.81,60.54,61.26,3379500,61.00
2010-10-25,61.65,62.14,61.20,61.24,3941200,60.98
2010-10-22,60.58,61.23,60.22,61.18,2144400,60.92
2010-10-21,60.54,60.87,59.65,60.59,3315100,60.34
2010-10-20,59.38,60.78,59.37,60.54,3841300,60.29
2010-10-19,59.15,59.76,58.50,59.17,4172500,58.92
2010-10-18,59.05,60.15,59.05,60.12,2466800,59.87
2010-10-15,60.61,60.64,59.16,59.54,3153900,59.29
2010-10-14,59.90,59.99,58.60,59.93,4292600,59.68
2010-10-13,59.71,60.15,58.93,59.66,10952800,59.41
2010-10-12,57.84,57.99,56.86,57.26,6016200,57.02
2010-10-11,57.81,58.92,57.60,58.17,4560400,57.93
2010-10-08,56.88,57.77,56.49,57.49,2113100,57.25
2010-10-07,57.00,57.04,56.25,56.69,3443600,56.45
2010-10-06,55.90,56.81,55.63,56.81,3011200,56.57
2010-10-05,55.20,56.32,54.97,56.06,2516300,55.82
2010-10-04,54.90,55.57,53.95,54.45,2541300,54.22
2010-10-01,55.60,55.67,54.53,55.16,2741700,54.93
2010-09-30,55.99,56.30,54.88,55.32,2521100,55.09
2010-09-29,55.48,55.96,55.21,55.66,2348600,55.43
2010-09-28,56.02,56.18,54.92,55.83,2875300,55.60
2010-09-27,56.05,56.26,55.80,55.84,1706500,55.61
2010-09-24,54.63,56.14,54.57,56.14,3272000,55.90
2010-09-23,54.91,55.23,54.21,54.39,2227200,54.16
2010-09-22,55.78,56.01,55.25,55.40,2587800,55.17
2010-09-21,55.39,56.80,55.29,56.05,3406400,55.81
2010-09-20,55.11,55.50,54.90,55.26,2769400,55.03
2010-09-17,54.90,55.45,54.60,54.90,5651200,54.67
2010-09-16,55.13,55.29,54.32,54.76,3156600,54.53
2010-09-15,55.13,55.79,54.95,55.49,2387900,55.26
2010-09-14,54.96,55.80,54.75,55.12,1954600,54.89
2010-09-13,55.44,55.50,54.88,55.08,1793300,54.85
2010-09-10,54.25,55.09,54.24,54.72,3279000,54.49
2010-09-09,55.20,55.22,53.57,53.97,3314400,53.74
2010-09-08,53.78,54.99,53.66,54.65,4177400,54.42
2010-09-07,53.42,54.00,53.11,53.47,3189600,53.25
2010-09-03,53.34,54.30,53.23,53.67,3433100,53.44
2010-09-02,52.02,52.95,51.58,52.86,3475200,52.64
2010-09-01,50.62,52.12,50.53,51.95,4704600,51.73
2010-08-31,48.79,50.23,48.68,49.89,3779700,49.68
2010-08-30,49.52,50.12,49.10,49.11,2406500,48.90
2010-08-27,48.56,50.07,48.25,49.79,3813600,49.58
2010-08-26,48.16,49.05,48.02,48.46,4656700,48.02
2010-08-25,46.95,48.07,46.51,47.80,3321900,47.36
2010-08-24,47.94,48.04,46.75,47.45,5315500,47.02
2010-08-23,49.76,49.89,48.58,48.64,3378300,48.20
2010-08-20,49.75,50.19,49.10,49.79,2840300,49.34
2010-08-19,51.46,51.46,49.64,50.29,2781200,49.83
2010-08-18,51.33,51.99,50.91,51.71,2382600,51.24
2010-08-17,50.87,51.81,50.81,51.26,2462800,50.79
2010-08-16,50.06,50.64,49.73,50.28,2305300,49.82
2010-08-13,50.53,50.99,50.37,50.39,2574900,49.93
2010-08-12,50.28,51.09,49.71,50.72,3828600,50.26
2010-08-11,52.25,52.49,50.44,51.05,4146700,50.58
2010-08-10,53.25,53.52,52.48,53.35,2843700,52.86
2010-08-09,53.59,54.00,53.24,53.87,2581700,53.38
2010-08-06,53.91,54.23,52.62,53.40,3393800,52.91
2010-08-05,53.99,54.64,53.77,54.59,2560400,54.09
2010-08-04,53.99,54.35,53.73,54.31,2270200,53.81
2010-08-03,53.62,54.10,52.92,53.72,2140700,53.23
2010-08-02,53.77,53.95,52.97,53.88,2499500,53.39
2010-07-30,51.89,52.93,51.58,52.72,3110800,52.24
2010-07-29,53.04,53.43,52.00,52.50,2936700,52.02
2010-07-28,52.75,53.02,52.15,52.71,3738600,52.23
2010-07-27,54.34,54.34,52.85,52.99,5209900,52.51
2010-07-26,52.76,54.24,52.44,53.86,4281200,53.37
2010-07-23,51.81,52.99,51.79,52.65,5693900,52.17
2010-07-22,50.83,52.31,50.83,51.72,4027700,51.25
2010-07-21,51.00,51.00,49.52,50.02,3746500,49.56
2010-07-20,49.00,50.77,49.00,50.61,5008000,50.15
2010-07-19,50.47,50.55,49.34,49.79,4672200,49.34
2010-07-16,51.69,51.80,49.61,50.12,8174000,49.66
2010-07-15,52.01,52.14,50.96,52.02,5884700,51.54
2010-07-14,51.44,52.60,51.00,51.94,7932900,51.47
2010-07-13,52.78,53.90,50.80,51.72,14957000,51.25
2010-07-12,51.90,52.62,51.47,52.46,7326100,51.98
2010-07-09,51.15,52.12,50.96,51.76,6270900,51.29
2010-07-08,49.68,50.87,49.53,50.76,8019600,50.30
2010-07-07,47.70,49.47,47.59,49.31,5942200,48.86
2010-07-06,48.79,49.07,47.00,47.48,6346200,47.05
2010-07-02,49.17,49.45,47.46,47.70,6057500,47.26
2010-07-01,49.85,50.36,48.09,49.13,5376600,48.68
2010-06-30,49.89,50.40,49.42,49.63,4659100,49.18
2010-06-29,51.25,51.43,49.45,49.95,5577300,49.49
2010-06-28,52.50,52.95,52.08,52.36,3331900,51.88
2010-06-25,51.96,52.49,51.30,52.25,3744400,51.77
2010-06-24,52.89,52.94,51.43,51.69,4120500,51.22
2010-06-23,53.67,53.78,52.47,53.37,3145300,52.88
2010-06-22,56.14,56.30,53.17,53.48,4245700,52.99
2010-06-21,55.61,56.64,55.61,55.99,4499800,55.48
2010-06-18,55.02,55.12,54.48,54.95,3531900,54.45
2010-06-17,54.22,55.09,53.49,54.98,4671100,54.48
2010-06-16,53.18,54.29,53.08,53.72,3255300,53.23
2010-06-15,52.51,53.65,52.29,53.62,2794400,53.13
2010-06-14,52.96,53.41,51.73,51.87,3330600,51.40
2010-06-11,51.12,52.23,50.94,52.15,1882400,51.67
2010-06-10,50.20,51.80,50.20,51.77,3440400,51.30
2010-06-09,49.67,50.97,48.95,49.19,6179900,48.74
2010-06-08,48.92,49.56,48.00,49.25,5619200,48.80
2010-06-07,50.12,50.31,48.56,48.66,5290700,48.22
2010-06-04,52.05,52.22,49.77,50.02,5864700,49.56
2010-06-03,53.96,54.00,52.40,53.02,5310800,52.54
2010-06-02,52.00,53.54,51.60,53.50,3278300,53.01
2010-06-01,52.23,53.23,51.06,51.53,3147500,51.06
2010-05-28,52.76,52.97,51.64,52.25,3556400,51.77
2010-05-27,51.59,52.66,50.97,52.62,4217500,52.14
2010-05-26,50.86,52.01,50.60,50.82,3541500,50.36
2010-05-25,48.59,50.57,48.31,50.48,4715300,49.78
2010-05-24,50.76,51.54,50.42,50.47,2883600,49.77
2010-05-21,48.93,51.52,48.27,51.09,5908100,50.38
2010-05-20,51.51,51.66,49.63,49.76,7500800,49.07
2010-05-19,53.40,54.10,51.66,53.12,4682700,52.38
2010-05-18,55.24,55.75,53.57,53.89,3328000,53.14
2010-05-17,55.08,55.54,53.27,54.67,3034300,53.91
2010-05-14,55.31,55.67,54.38,55.03,2831800,54.27
2010-05-13,56.65,56.88,55.80,55.95,1759500,55.18
2010-05-12,55.83,57.04,55.71,56.74,3330300,55.95
2010-05-11,54.61,56.28,54.59,55.58,2838700,54.81
2010-05-10,54.60,55.93,54.40,55.25,5182900,54.49
2010-05-07,52.76,53.94,51.64,52.67,8136600,51.94
2010-05-06,53.55,62.00,48.38,53.13,8804500,52.39
2010-05-05,54.52,54.76,53.51,53.82,5207400,53.07
2010-05-04,57.00,57.01,54.80,55.33,4313200,54.56
2010-05-03,56.50,57.95,56.28,57.50,3552700,56.70
2010-04-30,57.47,57.91,56.01,56.05,3964900,55.27
2010-04-29,56.31,57.62,56.09,57.28,3788800,56.49
2010-04-28,56.21,56.33,55.16,55.88,4327800,55.11
2010-04-27,56.87,57.31,55.50,55.72,4794500,54.95
2010-04-26,56.96,57.17,56.52,57.00,3529600,56.21
2010-04-23,55.88,56.89,55.74,56.82,3693400,56.03
2010-04-22,54.98,55.86,54.21,55.70,3516100,54.93
2010-04-21,55.16,55.94,54.81,55.49,3837900,54.72
2010-04-20,54.65,55.52,54.43,55.21,4429300,54.45
2010-04-19,54.21,54.40,53.70,54.20,4221600,53.45
2010-04-16,55.20,55.34,53.57,54.44,4495100,53.69
2010-04-15,55.23,55.67,54.84,55.25,3720300,54.49
2010-04-14,54.50,55.60,53.54,55.46,8683600,54.69
2010-04-13,52.87,53.46,52.33,53.28,5320600,52.54
2010-04-12,53.06,53.18,52.47,52.88,2099600,52.15
2010-04-09,53.23,53.47,52.31,52.96,2566700,52.23
2010-04-08,51.64,53.11,51.52,52.98,3003600,52.25
2010-04-07,52.62,52.62,51.53,51.92,3938400,51.20
2010-04-06,52.02,52.54,51.81,52.46,2084500,51.73
2010-04-05,52.58,53.15,51.75,52.61,3032800,51.88
2010-04-01,51.33,52.25,51.33,52.20,3623500,51.48
2010-03-31,51.20,51.39,50.60,50.90,3450700,50.20
2010-03-30,51.66,51.81,51.13,51.33,3479200,50.62
2010-03-29,51.41,51.80,51.01,51.51,2078300,50.80
2010-03-26,51.32,51.45,50.50,50.99,2455400,50.28
2010-03-25,51.72,52.33,51.11,51.18,3410900,50.47
2010-03-24,51.57,51.59,50.72,51.10,2354600,50.39
2010-03-23,51.97,52.00,50.74,51.75,3161400,51.03
2010-03-22,51.04,52.13,51.00,51.80,2028300,51.08
2010-03-19,52.16,52.46,51.15,51.51,3713700,50.80
2010-03-18,51.32,51.94,51.04,51.85,3071000,51.13
2010-03-17,51.54,51.80,50.95,51.23,2585800,50.52
2010-03-16,51.14,51.62,51.00,51.54,2554500,50.83
2010-03-15,50.82,51.25,50.62,51.12,2966900,50.41
2010-03-12,50.91,51.16,50.54,50.98,2384600,50.27
2010-03-11,49.63,50.98,49.63,50.68,4651700,49.98
2010-03-10,49.42,49.98,49.00,49.89,4378400,49.20
2010-03-09,48.87,50.00,48.87,49.52,3242100,48.83
2010-03-08,49.15,49.63,48.81,49.03,2273100,48.35
2010-03-05,48.29,49.06,48.29,48.97,3131100,48.29
2010-03-04,47.81,48.18,47.60,48.06,2885400,47.39
2010-03-03,47.58,48.67,47.43,47.98,3752900,47.32
2010-03-02,48.39,48.89,48.13,48.47,3438200,47.80
2010-03-01,47.75,48.34,47.64,48.32,3176300,47.65
2010-02-26,47.48,47.82,46.97,47.46,2910600,46.80
2010-02-25,46.59,47.60,46.30,47.53,4624600,46.87
2010-02-24,47.00,47.34,46.64,47.28,3275500,46.63
2010-02-23,46.66,47.15,46.28,47.00,5128200,46.11
2010-02-22,47.03,47.17,46.58,46.82,3643400,45.94
2010-02-19,46.40,47.13,46.16,46.77,3769800,45.89
2010-02-18,45.92,46.48,45.70,46.40,2809000,45.52
2010-02-17,46.52,46.57,45.49,46.11,4035600,45.24
2010-02-16,45.50,46.22,45.08,46.11,4704500,45.24
2010-02-12,44.44,44.97,44.21,44.90,5209800,44.05
2010-02-11,43.58,45.45,43.50,45.06,7810900,44.21
2010-02-10,43.10,43.36,42.64,43.08,3554100,42.27
2010-02-09,43.69,43.91,42.96,43.08,6715500,42.27
2010-02-08,42.99,43.80,42.41,42.51,4637500,41.71
