0.69Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,84.79,85.21,84.49,84.95,5184200,84.95
2010-12-03,84.49,85.00,84.36,84.89,6724000,84.89
2010-12-02,82.70,84.67,82.53,84.50,10784900,84.50
2010-12-01,82.15,83.22,81.75,82.70,10618500,82.70
2010-11-30,80.64,81.61,80.47,80.97,10366000,80.97
2010-11-29,81.30,82.05,80.41,81.69,9070100,81.69
2010-11-26,82.44,82.57,81.79,82.05,2789700,82.05
2010-11-24,82.15,83.01,82.00,82.93,8042600,82.93
2010-11-23,82.47,82.50,81.15,81.75,9507700,81.75
2010-11-22,83.47,83.58,82.05,83.45,6791900,83.45
2010-11-19,83.69,83.96,82.82,83.94,8130900,83.94
2010-11-18,83.04,83.98,82.95,83.82,7590000,83.82
2010-11-17,82.41,83.13,82.10,82.46,7847300,82.46
2010-11-16,83.55,83.58,81.93,82.48,12360200,82.48
2010-11-15,85.74,85.97,84.83,84.86,9252400,84.14
2010-11-12,85.46,85.61,84.56,85.44,10571300,84.72
2010-11-11,85.00,86.19,85.00,86.09,11297200,85.36
2010-11-10,83.78,85.22,83.25,85.17,11795500,84.45
2010-11-09,83.91,84.27,83.10,83.56,13597200,82.85
2010-11-08,84.62,85.00,83.79,84.80,11799200,84.08
2010-11-05,84.71,85.32,84.05,84.98,14513200,84.26
2010-11-04,84.16,85.31,83.88,85.14,16295400,84.42
2010-11-03,82.66,83.12,81.91,82.70,10036500,82.00
2010-11-02,82.36,82.45,81.72,82.15,9528800,81.45
2010-11-01,83.15,84.08,81.09,81.45,12781900,80.76
2010-10-29,82.89,83.23,81.98,82.60,12463000,81.90
2010-10-28,85.27,85.65,84.10,84.44,8519800,83.72
2010-10-27,84.64,84.64,83.29,84.31,9557300,83.59
2010-10-26,84.65,85.24,84.49,85.15,5968600,84.43
2010-10-25,85.13,85.79,84.74,84.87,6757400,84.15
2010-10-22,84.79,84.79,84.17,84.55,5555000,83.83
