Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,61.27,61.78,60.79,61.50,578800,61.50
2010-12-02,60.12,61.49,60.12,61.47,1393600,61.47
2010-12-01,59.90,61.00,59.84,60.15,1183900,60.15
2010-11-30,58.62,59.87,58.42,59.09,4005800,59.09
2010-11-29,58.45,59.54,58.25,59.25,2340500,59.25
2010-11-26,58.81,59.00,58.40,58.79,544500,58.79
2010-11-24,59.38,59.69,59.07,59.19,868200,59.19
2010-11-23,59.31,59.31,58.36,59.15,1097100,59.15
2010-11-22,59.76,60.27,59.53,60.11,833400,60.11
2010-11-19,59.35,60.18,59.13,60.16,1760300,60.16
2010-11-18,58.83,59.61,58.83,59.36,677800,59.36
2010-11-17,58.07,58.75,57.47,58.39,1373200,58.39
2010-11-16,56.93,57.76,56.02,57.40,1613700,57.40
2010-11-15,57.48,58.64,57.25,57.33,1981800,57.33
2010-11-12,53.90,59.72,53.45,58.60,4318900,58.60
2010-11-11,53.73,54.43,53.69,54.38,663200,54.38
2010-11-10,53.99,54.18,53.57,54.18,798200,54.18
2010-11-09,54.24,54.44,53.80,54.16,1166100,54.16
2010-11-08,53.91,54.56,53.51,54.27,1061900,54.27
2010-11-05,54.28,54.47,53.84,54.39,1182400,54.20
2010-11-04,53.98,54.37,53.80,54.37,975600,54.18
2010-11-03,53.95,54.17,52.80,53.19,916000,53.00
2010-11-02,53.74,54.31,53.43,53.93,987400,53.74
2010-11-01,54.36,54.48,53.37,53.86,988500,53.67
2010-10-29,54.21,54.49,54.00,54.05,898100,53.86
2010-10-28,55.13,56.98,54.17,54.46,2132000,54.27
2010-10-27,54.70,55.20,54.40,54.53,1435000,54.34
2010-10-26,55.64,55.83,55.08,55.20,1144200,55.01
2010-10-25,56.53,56.99,55.94,55.99,648100,55.79
2010-10-22,56.16,56.71,55.50,56.05,918900,55.85
2010-10-21,56.00,56.80,55.64,56.08,1073300,55.88
2010-10-20,55.38,56.50,55.28,55.80,1165800,55.61
2010-10-19,55.40,56.17,54.91,55.17,915400,54.98
2010-10-18,56.15,56.52,55.79,56.03,832800,55.83
2010-10-15,56.89,56.90,55.69,56.13,1248600,55.93
2010-10-14,56.33,56.97,55.87,56.24,1502400,56.04
2010-10-13,56.25,56.71,55.76,55.91,2054100,55.71
2010-10-12,55.33,57.35,55.16,57.05,2521200,56.85
2010-10-11,55.28,55.53,54.85,55.50,2289800,55.31
2010-10-08,53.23,59.40,53.22,55.85,11261900,55.65
2010-10-07,50.10,52.05,49.45,52.00,2510800,51.82
2010-10-06,50.88,50.98,50.00,50.13,1140900,49.95
2010-10-05,49.98,51.04,49.83,50.97,2101800,50.79
2010-10-04,49.51,49.95,49.02,49.60,1330800,49.43
2010-10-01,49.66,49.80,49.06,49.58,947400,49.41
2010-09-30,49.37,49.92,48.86,49.23,941500,49.06
2010-09-29,49.45,49.45,48.62,49.13,908600,48.96
2010-09-28,49.41,49.91,48.56,49.78,901300,49.61
2010-09-27,49.95,49.95,48.94,49.35,1237400,49.18
2010-09-24,49.44,50.39,49.43,50.39,724000,50.21
2010-09-23,49.10,49.37,48.67,48.81,989700,48.64
2010-09-22,49.66,49.85,48.81,49.43,979100,49.26
2010-09-21,49.95,50.04,49.57,49.67,1143600,49.50
2010-09-20,49.32,50.00,49.14,49.95,1592500,49.78
2010-09-17,49.17,49.68,49.04,49.24,905300,49.07
2010-09-16,48.71,49.12,48.52,49.00,649200,48.83
2010-09-15,48.61,49.18,48.15,49.01,941500,48.84
2010-09-14,48.49,49.06,48.29,48.71,459500,48.54
2010-09-13,48.49,48.81,48.18,48.66,726600,48.49
2010-09-10,48.05,48.12,47.69,47.94,1299900,47.77
2010-09-09,48.19,48.33,47.72,47.89,1535400,47.72
2010-09-08,47.07,47.61,47.02,47.55,1327300,47.38
2010-09-07,47.67,47.67,46.58,47.07,3028200,46.91
2010-09-03,47.57,47.96,47.25,47.95,900600,47.78
2010-09-02,46.44,47.13,46.44,47.12,1730400,46.96
2010-09-01,45.44,46.46,45.27,46.45,1176100,46.29
2010-08-31,44.10,45.12,43.94,44.79,1411700,44.63
2010-08-30,44.59,45.11,44.33,44.51,1111000,44.35
2010-08-27,43.88,44.78,43.20,44.72,1722900,44.56
2010-08-26,43.90,44.07,43.21,43.58,1761100,43.43
2010-08-25,42.57,43.94,42.55,43.82,1519900,43.67
2010-08-24,42.26,43.25,42.19,42.97,2115900,42.82
2010-08-23,42.89,43.45,42.89,43.00,1345800,42.85
2010-08-20,42.60,42.75,42.19,42.58,839400,42.43
2010-08-19,44.19,44.30,42.84,42.96,977100,42.81
2010-08-18,44.38,44.82,43.96,44.54,573200,44.38
2010-08-17,44.20,44.71,44.01,44.49,881200,44.33
2010-08-16,43.65,44.18,43.55,43.84,1088700,43.69
2010-08-13,44.19,44.60,44.19,44.33,805300,44.18
2010-08-12,43.82,44.46,43.63,44.37,1135200,44.22
2010-08-11,45.02,45.31,44.48,44.67,1641100,44.51
2010-08-10,45.76,46.30,45.38,45.95,863400,45.79
2010-08-09,45.72,46.46,45.42,46.26,1234100,46.10
2010-08-06,44.68,45.62,44.67,45.56,1576500,45.21
2010-08-05,44.72,45.22,44.46,45.12,800500,44.77
2010-08-04,44.75,45.20,44.60,45.00,1087300,44.66
2010-08-03,44.54,44.83,43.90,44.48,1250100,44.14
2010-08-02,44.86,45.49,44.55,44.77,1728100,44.43
2010-07-30,44.10,44.10,42.91,43.88,2219000,43.54
2010-07-29,43.55,43.81,43.10,43.38,2172800,43.05
2010-07-28,43.66,43.75,43.29,43.40,2289800,43.07
2010-07-27,44.55,44.58,43.75,43.81,1288900,43.47
2010-07-26,43.76,44.32,43.69,44.30,1243000,43.96
2010-07-23,42.58,43.82,42.52,43.76,1977500,43.43
2010-07-22,41.92,42.83,41.92,42.74,1351200,42.41
2010-07-21,41.75,41.95,41.13,41.37,1637000,41.05
2010-07-20,40.13,41.67,40.11,41.63,1313000,41.31
2010-07-19,40.61,40.95,40.34,40.81,1460300,40.50
2010-07-16,41.50,41.52,40.46,40.48,2207400,40.17
2010-07-15,41.70,42.01,41.10,41.90,1813100,41.58
