Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,51.09,51.54,50.77,51.45,3717000,51.45
2010-12-02,50.84,51.49,50.60,51.19,5237100,51.19
2010-12-01,50.41,51.23,50.41,50.88,5098400,50.88
2010-11-30,49.62,50.04,49.10,49.71,4131600,49.71
2010-11-29,49.78,50.05,49.19,49.93,3821900,49.93
2010-11-26,49.79,50.29,49.55,50.13,1582600,50.13
2010-11-24,49.83,50.44,49.73,50.41,5072500,50.41
2010-11-23,49.20,49.92,49.08,49.60,4740600,49.60
2010-11-22,49.39,50.05,49.03,49.65,4386300,49.65
2010-11-19,49.64,49.79,49.13,49.78,4687200,49.78
2010-11-18,49.44,49.97,49.31,49.74,4737000,49.74
2010-11-17,48.50,49.12,48.17,48.82,8913400,48.82
2010-11-16,47.95,49.50,47.95,48.44,13878700,48.14
2010-11-15,47.65,48.07,47.52,47.59,3194400,47.29
2010-11-12,48.04,48.20,47.20,47.52,4981400,47.22
2010-11-11,48.49,48.71,47.90,48.31,4345700,48.01
2010-11-10,48.98,48.98,48.48,48.83,4554300,48.52
2010-11-09,49.33,49.33,48.75,49.02,6468800,48.71
2010-11-08,48.97,49.38,48.75,49.11,5709900,48.80
2010-11-05,49.00,49.34,48.75,49.28,7749200,48.97
2010-11-04,47.97,49.02,47.85,49.01,8076900,48.70
2010-11-03,47.39,47.60,46.74,47.44,3254400,47.14
2010-11-02,47.07,47.40,46.93,47.24,2925700,46.94
2010-11-01,46.93,47.37,46.56,46.80,4397200,46.51
2010-10-29,46.88,47.21,46.61,47.11,3097000,46.82
2010-10-28,47.47,47.78,46.63,47.10,3259400,46.81
2010-10-27,46.64,47.15,46.26,47.09,4053500,46.80
2010-10-26,47.42,47.46,46.89,47.28,3981700,46.98
2010-10-25,47.75,48.28,47.44,47.53,4924300,47.23
2010-10-22,46.64,47.35,45.35,47.26,7119400,46.96
2010-10-21,46.71,47.26,46.38,46.67,5952700,46.38
2010-10-20,46.34,47.29,46.26,46.41,9258200,46.12
2010-10-19,46.30,46.83,45.72,46.16,7425000,45.87
2010-10-18,46.51,47.02,46.30,47.00,4363400,46.71
2010-10-15,46.56,46.70,45.93,46.49,4764900,46.20
2010-10-14,46.38,46.40,45.73,46.17,3984200,45.88
2010-10-13,45.87,46.68,45.72,46.41,4761000,46.12
2010-10-12,45.40,45.67,44.75,45.55,3597100,45.27
2010-10-11,45.67,45.85,45.41,45.61,3167100,45.32
2010-10-08,45.57,45.89,45.17,45.75,3593900,45.46
2010-10-07,45.86,45.86,45.06,45.48,4303000,45.20
2010-10-06,45.01,45.85,45.00,45.72,5560600,45.43
2010-10-05,44.05,45.23,43.99,45.01,6413500,44.73
2010-10-04,44.15,44.54,43.41,43.61,4014500,43.34
2010-10-01,44.22,44.71,44.02,44.15,4857200,43.87
2010-09-30,44.35,44.89,43.70,43.94,5434600,43.67
2010-09-29,43.90,44.29,43.74,44.04,4126300,43.76
2010-09-28,43.95,44.32,43.20,44.19,4590200,43.91
2010-09-27,44.51,44.51,43.70,43.84,4060400,43.57
2010-09-24,43.70,44.49,43.70,44.46,4054000,44.18
2010-09-23,43.58,43.96,43.09,43.23,4950000,42.96
2010-09-22,44.13,44.32,43.38,43.68,4414000,43.41
2010-09-21,44.35,44.51,43.89,44.31,4875500,44.03
2010-09-20,44.04,44.41,43.68,44.31,4632800,44.03
2010-09-17,43.89,44.08,43.54,43.82,6187900,43.55
2010-09-16,43.34,43.86,43.31,43.73,4372200,43.46
2010-09-15,43.36,43.63,43.15,43.57,4917900,43.30
2010-09-14,43.28,43.79,43.05,43.54,4906700,43.27
2010-09-13,43.31,43.59,43.09,43.30,4206500,43.03
2010-09-10,42.16,42.89,41.93,42.81,4535700,42.54
2010-09-09,42.78,42.92,41.81,41.97,4079400,41.71
2010-09-08,41.90,42.52,41.90,42.19,3819600,41.93
2010-09-07,42.48,42.68,41.84,41.93,4598800,41.67
2010-09-03,42.36,43.25,42.36,42.82,5675300,42.55
2010-09-02,40.96,42.01,40.96,42.01,6618900,41.75
2010-09-01,39.59,41.11,39.45,40.88,6675700,40.62
2010-08-31,38.74,39.29,38.29,39.06,6732200,38.82
2010-08-30,39.42,39.75,38.83,38.86,2934500,38.62
2010-08-27,39.06,39.69,38.39,39.65,4132700,39.40
2010-08-26,39.20,39.36,38.57,38.70,4579100,38.46
2010-08-25,38.94,39.10,38.08,38.82,7663300,38.58
2010-08-24,39.69,39.71,38.72,39.34,6741800,39.09
2010-08-23,40.77,41.05,40.14,40.16,3154400,39.91
2010-08-20,40.36,40.75,40.05,40.64,4478700,40.39
2010-08-19,41.89,41.89,40.46,40.77,6059200,40.51
2010-08-18,42.27,42.39,41.73,42.16,4041700,41.90
2010-08-17,41.88,43.02,41.65,42.39,6045200,41.82
2010-08-16,41.03,41.37,40.51,41.18,2926400,40.63
2010-08-13,41.12,41.51,41.07,41.32,3236300,40.77
2010-08-12,41.15,41.53,41.06,41.29,3437400,40.74
2010-08-11,42.57,42.70,41.56,41.81,5493100,41.25
2010-08-10,43.54,43.69,42.97,43.42,3411100,42.84
2010-08-09,44.07,44.10,43.66,43.89,2105600,43.30
2010-08-06,43.50,44.05,43.05,43.77,3270000,43.19
2010-08-05,43.66,44.17,43.61,44.12,3169500,43.53
2010-08-04,43.37,44.16,43.25,43.98,4774600,43.39
2010-08-03,43.58,43.60,43.02,43.14,5047900,42.56
2010-08-02,43.66,43.92,43.33,43.73,4521300,43.15
2010-07-30,42.53,43.05,41.81,42.86,4437500,42.29
2010-07-29,43.45,43.62,42.24,42.72,7018800,42.15
2010-07-28,43.50,43.50,43.00,43.24,4137700,42.66
2010-07-27,44.24,44.30,43.36,43.43,6354900,42.85
2010-07-26,43.45,44.23,43.36,43.89,5450300,43.30
2010-07-23,43.32,43.87,42.50,43.50,8148700,42.92
2010-07-22,41.64,42.78,41.60,42.66,5808800,42.09
2010-07-21,41.46,41.93,40.86,41.13,4893300,40.58
2010-07-20,39.75,41.27,39.60,41.20,4393600,40.65
