2.42Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,26.18,26.43,25.85,26.39,3737500,26.39
2010-12-03,25.69,26.35,25.62,26.24,3619100,26.24
2010-12-02,25.58,26.00,25.55,25.91,4459200,25.91
2010-12-01,25.45,25.75,25.27,25.49,3548700,25.49
2010-11-30,24.95,25.16,24.72,24.97,5247900,24.97
2010-11-29,24.91,25.37,24.51,25.29,4414300,25.29
2010-11-26,25.30,25.30,24.99,25.12,1533300,25.12
2010-11-24,24.75,25.73,24.75,25.60,4393800,25.60
2010-11-23,24.84,25.08,24.52,24.62,4061800,24.62
2010-11-22,24.79,25.48,24.39,25.39,6290700,25.39
2010-11-19,24.67,25.02,24.26,24.80,6388100,24.80
2010-11-18,24.79,25.16,24.70,24.84,6534500,24.84
2010-11-17,24.58,24.91,24.31,24.48,4993700,24.48
2010-11-16,25.03,25.07,24.39,24.61,7561700,24.61
2010-11-15,25.76,25.76,25.28,25.28,3719700,25.28
2010-11-12,26.03,26.08,25.53,25.67,8584200,25.67
2010-11-11,25.59,26.43,25.59,26.36,5580800,26.24
2010-11-10,25.69,26.18,25.19,25.96,6724600,25.84
2010-11-09,26.54,26.59,25.50,25.74,6144500,25.62
2010-11-08,26.10,26.56,25.94,26.50,5051800,26.37
2010-11-05,26.22,26.49,26.12,26.44,5909300,26.31
2010-11-04,25.67,26.22,25.67,26.18,7343700,26.06
2010-11-03,25.03,25.17,24.59,25.17,4254600,25.05
2010-11-02,25.37,25.58,24.83,24.86,5274000,24.74
2010-11-01,25.54,25.57,24.98,25.09,6508100,24.97
2010-10-29,24.47,25.28,24.31,25.28,6671600,25.16
2010-10-28,25.17,25.33,24.27,24.49,7428200,24.37
2010-10-27,24.71,25.18,24.53,24.94,14525300,24.82
2010-10-26,23.80,24.03,23.39,23.87,7202500,23.76
2010-10-25,23.99,24.24,23.68,23.96,6861200,23.85
2010-10-22,23.60,23.69,23.35,23.68,2611700,23.57
2010-10-21,23.80,23.99,23.20,23.52,4723000,23.41
2010-10-20,23.22,23.84,23.18,23.64,5025800,23.53
2010-10-19,23.70,23.70,22.90,23.10,7465300,22.99
2010-10-18,23.68,24.04,23.34,24.04,5944700,23.93
2010-10-15,23.46,23.99,23.08,23.53,8959100,23.42
2010-10-14,23.15,23.38,22.78,23.11,6025100,23.00
2010-10-13,22.96,23.48,22.81,23.16,7233600,23.05
2010-10-12,22.34,23.12,22.18,22.72,9994700,22.61
2010-10-11,22.16,22.49,22.10,22.39,3629600,22.28
2010-10-08,22.02,22.36,21.97,22.19,6045900,22.08
2010-10-07,22.42,22.56,21.75,21.95,4782800,21.85
2010-10-06,22.31,22.43,22.04,22.35,8096400,22.24
2010-10-05,21.79,22.37,21.53,22.27,9490100,22.16
2010-10-04,22.30,22.33,21.44,21.52,7139600,21.42
2010-10-01,22.06,22.52,21.96,22.36,6698800,22.25
2010-09-30,21.66,21.94,21.50,21.75,8554500,21.65
2010-09-29,21.39,21.55,21.10,21.43,6128800,21.33
2010-09-28,21.72,21.77,21.08,21.41,9253300,21.31
2010-09-27,21.75,21.92,21.53,21.72,3942400,21.62
2010-09-24,21.41,21.91,21.33,21.83,6678000,21.73
2010-09-23,21.12,21.18,20.77,20.87,12164800,20.77
2010-09-22,21.77,22.19,21.27,21.35,10951100,21.25
2010-09-21,22.04,22.17,21.73,21.99,8811000,21.89
2010-09-20,21.61,22.05,20.91,21.97,20274400,21.87
2010-09-17,22.96,23.64,22.69,23.46,8569200,23.35
2010-09-16,22.75,23.14,22.60,22.78,3965700,22.67
2010-09-15,22.60,23.10,22.60,22.90,5242800,22.79
2010-09-14,22.98,23.04,22.60,22.68,6269800,22.57
2010-09-13,22.65,23.07,22.54,23.06,5344200,22.95
2010-09-10,22.14,22.45,22.04,22.39,5558300,22.28
2010-09-09,22.16,22.22,21.69,22.05,6990300,21.95
2010-09-08,22.03,22.16,21.33,21.58,7785200,21.48
2010-09-07,22.35,22.35,21.81,22.01,5164400,21.91
2010-09-03,22.29,22.90,22.25,22.39,6839500,22.28
2010-09-02,21.60,22.01,21.43,21.99,6467000,21.89
2010-09-01,20.97,21.62,20.80,21.58,6811200,21.48
2010-08-31,19.77,20.73,19.72,20.46,6929700,20.36
2010-08-30,20.45,20.45,19.97,19.97,4410500,19.88
2010-08-27,20.15,20.43,19.33,20.38,8435300,20.28
2010-08-26,20.42,20.76,19.87,19.88,6748400,19.79
2010-08-25,20.19,20.44,19.69,20.32,11166400,20.22
2010-08-24,20.67,21.05,20.46,20.54,6011200,20.44
2010-08-23,21.48,21.80,20.99,21.01,5069600,20.91
2010-08-20,21.03,21.42,20.95,21.21,4718500,21.11
2010-08-19,21.65,21.82,21.11,21.28,5308500,21.18
2010-08-18,22.08,22.09,21.59,21.87,3964000,21.77
2010-08-17,21.97,22.22,21.65,21.99,6257300,21.89
2010-08-16,21.72,22.22,21.42,21.59,8049300,21.49
2010-08-13,21.75,22.16,21.67,21.87,4363600,21.77
2010-08-12,21.45,22.14,21.18,21.87,6114000,21.77
2010-08-11,22.51,22.54,21.84,21.87,6771400,21.64
2010-08-10,23.45,23.49,22.65,22.91,9075700,22.67
2010-08-09,24.28,24.46,23.66,23.69,5109900,23.44
2010-08-06,24.35,24.67,23.49,24.06,6678900,23.81
2010-08-05,24.39,24.83,24.30,24.63,4644500,24.37
2010-08-04,24.75,24.88,24.28,24.54,3814400,24.28
2010-08-03,24.82,25.00,24.39,24.51,5254100,24.25
2010-08-02,24.66,25.28,24.56,25.18,6269200,24.92
2010-07-30,23.75,24.34,23.63,24.20,4836600,23.95
2010-07-29,24.42,24.79,23.82,24.09,8545300,23.84
2010-07-28,24.62,24.85,23.44,24.12,13189400,23.87
2010-07-27,25.74,25.79,25.00,25.49,7045800,25.22
2010-07-26,25.16,25.52,24.82,25.50,5461800,25.23
2010-07-23,24.56,25.06,24.36,24.98,5475900,24.72
2010-07-22,23.84,24.75,23.76,24.59,5677600,24.33
2010-07-21,24.53,24.65,23.33,23.49,6049800,23.24
2010-07-20,22.74,24.28,22.49,24.28,7402200,24.03
2010-07-19,23.13,23.17,22.40,23.06,5504600,22.82
2010-07-16,23.44,23.57,22.71,22.78,6507300,22.54
2010-07-15,23.81,23.81,22.97,23.59,5337000,23.34
2010-07-14,24.12,24.12,23.43,23.79,6305900,23.54
2010-07-13,23.71,24.41,23.71,24.14,6460500,23.89
2010-07-12,23.70,23.81,23.09,23.32,6208200,23.08
2010-07-09,23.10,23.86,23.10,23.67,5007000,23.42
2010-07-08,23.28,23.50,22.73,23.15,8241600,22.91
2010-07-07,22.23,23.14,22.23,23.13,6368500,22.89
2010-07-06,23.22,23.34,22.04,22.33,5704600,22.10
2010-07-02,23.04,23.33,22.25,22.59,6309100,22.35
2010-07-01,22.82,23.18,21.96,22.94,9478000,22.70
2010-06-30,22.38,23.29,22.30,22.63,10432600,22.39
2010-06-29,23.46,23.46,22.18,22.39,11885700,22.16
2010-06-28,24.48,24.72,23.79,23.99,6895700,23.74
2010-06-25,23.79,24.64,23.54,24.59,16777500,24.33
2010-06-24,25.05,25.16,23.61,23.72,9395600,23.47
2010-06-23,24.26,25.27,23.98,25.20,10844200,24.94
2010-06-22,26.26,26.57,24.26,24.35,11028800,24.10
2010-06-21,26.48,26.97,26.16,26.31,7589800,26.04
2010-06-18,25.64,25.92,25.48,25.73,6488700,25.46
2010-06-17,25.80,25.85,25.06,25.52,6441500,25.25
2010-06-16,25.83,26.04,25.48,25.66,6393800,25.39
2010-06-15,25.40,26.23,25.08,26.20,9696100,25.93
2010-06-14,24.71,25.70,24.67,25.05,12753700,24.79
2010-06-11,23.29,24.37,23.02,24.30,9241900,24.05
2010-06-10,22.34,23.03,22.34,23.02,5832200,22.78
2010-06-09,21.90,22.69,21.75,21.87,7333100,21.64
2010-06-08,21.17,21.72,21.04,21.64,8778600,21.41
2010-06-07,22.01,22.06,21.05,21.08,10441300,20.86
2010-06-04,22.74,23.12,21.86,21.93,7961100,21.70
2010-06-03,23.09,23.68,22.84,23.39,7189500,23.15
2010-06-02,22.34,22.99,22.25,22.97,5731100,22.73
