1.02
Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,69.25,69.27,68.51,68.78,1917200,68.78
2010-12-03,69.47,69.96,68.51,69.18,2765500,69.18
2010-12-02,69.66,70.10,69.42,69.80,3108600,69.80
2010-12-01,68.65,69.54,68.65,69.40,2426500,69.40
2010-11-30,67.70,68.47,67.68,68.04,2383200,68.04
2010-11-29,68.00,68.40,67.71,68.20,2555700,68.20
2010-11-26,68.59,69.11,68.42,68.80,1441500,68.05
2010-11-24,68.65,69.22,68.50,69.16,2770500,68.41
2010-11-23,68.24,68.91,68.14,68.32,2363000,67.58
2010-11-22,69.33,69.41,68.14,68.64,7876000,67.89
2010-11-19,69.15,69.74,69.10,69.43,7133700,68.67
2010-11-18,68.91,69.31,68.09,69.15,7819600,68.40
2010-11-17,68.82,69.07,67.71,68.55,3621600,67.80
2010-11-16,69.16,69.49,68.11,68.68,2720400,67.93
2010-11-15,69.73,70.11,69.37,69.37,2479500,68.61
2010-11-12,69.90,70.30,69.47,69.49,2846000,68.73
2010-11-11,71.23,71.25,69.91,70.11,4855500,69.35
2010-11-10,72.46,72.46,71.68,71.92,2471500,71.14
2010-11-09,73.34,73.40,72.23,72.55,2094900,71.76
2010-11-08,73.36,73.59,72.99,73.29,2121700,72.49
2010-11-05,71.89,73.70,71.86,73.27,3674100,72.47
2010-11-04,71.49,72.12,70.60,71.96,2782600,71.18
2010-11-03,71.77,71.94,70.39,70.93,3339700,70.16
2010-11-02,72.00,72.45,70.90,71.64,2471000,70.86
2010-11-01,71.71,72.20,70.95,71.47,1575200,70.69
2010-10-29,70.81,71.52,70.75,71.29,1560700,70.51
2010-10-28,71.35,71.67,70.32,71.02,1847500,70.25
2010-10-27,71.30,71.55,70.46,70.89,2856600,70.12
2010-10-26,71.06,72.13,71.06,71.80,2236800,71.02
2010-10-25,72.28,72.69,71.28,71.41,2488700,70.63
2010-10-22,71.77,71.84,71.15,71.78,2166400,71.00
2010-10-21,69.83,71.89,69.83,71.84,3994100,71.06
2010-10-20,69.44,69.97,69.33,69.83,2924900,69.07
2010-10-19,68.49,69.70,67.87,69.47,6314400,68.71
2010-10-18,69.90,70.19,69.50,70.04,2649200,69.28
2010-10-15,70.70,70.89,69.65,70.02,2776800,69.26
2010-10-14,71.15,71.43,70.07,70.20,2459800,69.43
2010-10-13,70.96,71.26,70.73,71.12,2303600,70.34
2010-10-12,70.68,70.77,69.57,70.55,2087500,69.78
2010-10-11,70.18,70.61,69.55,70.48,2211300,69.71
2010-10-08,70.86,70.87,69.97,70.10,2951700,69.34
2010-10-07,70.99,71.16,70.25,70.63,1797300,69.86
2010-10-06,70.38,71.50,70.38,70.90,3682500,70.13
2010-10-05,69.96,70.87,69.35,70.60,2748800,69.83
2010-10-04,69.63,70.54,69.25,69.35,3407800,68.59
2010-10-01,71.53,71.55,69.00,69.61,7529800,68.85
2010-09-30,72.33,72.49,71.10,71.28,3425200,70.50
2010-09-29,72.16,72.40,71.33,71.89,3270300,71.11
2010-09-28,72.51,72.60,71.82,72.47,1722900,71.68
2010-09-27,73.24,73.45,72.36,72.38,2355800,71.59
2010-09-24,71.71,73.19,71.31,73.13,2708000,72.33
2010-09-23,71.39,72.16,71.20,71.67,2329400,70.89
2010-09-22,71.35,72.30,71.21,71.80,2687000,71.02
2010-09-21,70.58,72.06,70.51,71.65,3115300,70.87
