Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,86.06,87.24,85.81,86.94,2910700,86.94
2010-12-02,86.24,87.13,86.15,86.51,4257900,86.51
2010-12-01,85.42,86.73,85.40,86.05,5132100,86.05
2010-11-30,83.25,84.30,83.03,83.98,3463500,83.98
2010-11-29,83.70,84.38,83.00,84.22,3590000,84.22
2010-11-26,84.46,85.07,83.92,84.40,1661300,84.40
2010-11-24,84.49,84.81,84.08,84.66,3857600,84.66
2010-11-23,83.91,84.54,83.14,83.59,3933200,83.59
2010-11-22,84.66,85.06,83.97,84.90,2976300,84.90
2010-11-19,85.53,85.55,84.72,85.01,3221300,85.01
2010-11-18,84.84,85.75,84.56,85.55,3576400,85.55
2010-11-17,84.08,84.52,83.52,83.95,3130600,83.95
2010-11-16,85.71,85.78,83.97,84.24,5699800,83.71
2010-11-15,86.69,86.78,86.14,86.20,3131100,85.66
2010-11-12,86.02,87.17,85.63,86.24,4123700,85.70
2010-11-11,85.72,86.56,85.22,86.50,5850800,85.96
2010-11-10,85.30,86.49,85.29,86.25,3999000,85.71
2010-11-09,86.33,86.34,84.95,85.30,4920500,84.77
2010-11-08,85.80,86.60,85.55,85.86,5515100,85.32
2010-11-05,87.46,87.49,86.00,86.34,3724300,85.80
2010-11-04,86.29,87.87,86.10,87.04,6606100,86.50
2010-11-03,85.15,85.58,83.30,85.30,4081700,84.77
2010-11-02,84.81,85.05,84.32,84.80,3815200,84.27
2010-11-01,84.57,85.29,83.42,83.98,4467200,83.46
2010-10-29,85.01,85.21,84.07,84.22,6085200,83.70
2010-10-28,87.82,88.00,83.80,85.07,16228100,84.54
2010-10-27,89.99,90.53,88.56,90.37,3398500,89.81
2010-10-26,90.68,90.98,90.14,90.47,2268200,89.91
2010-10-25,90.63,91.49,90.63,90.90,3192900,90.33
2010-10-22,90.45,90.63,90.02,90.44,2310800,89.88
2010-10-21,89.87,90.90,89.72,90.55,5633800,89.99
2010-10-20,88.73,89.95,88.60,89.47,2819400,88.91
2010-10-19,88.75,88.96,87.51,88.55,3888100,88.00
2010-10-18,89.09,89.92,88.69,89.66,2692000,89.10
2010-10-15,89.75,89.89,88.37,89.14,3097100,88.58
2010-10-14,89.15,89.26,88.36,89.07,2313700,88.51
2010-10-13,88.13,89.73,88.13,89.14,3179900,88.58
2010-10-12,87.92,88.54,86.78,88.15,2501400,87.60
2010-10-11,89.48,89.50,87.97,88.25,2605900,87.70
2010-10-08,89.82,89.82,88.43,89.16,2264400,88.60
2010-10-07,89.86,89.92,88.44,88.90,3321900,88.35
2010-10-06,88.66,89.90,88.66,89.89,4137400,89.33
2010-10-05,87.31,89.00,87.31,88.86,4612200,88.31
2010-10-04,87.29,87.73,86.11,86.70,2286300,86.16
2010-10-01,87.38,87.89,86.90,87.62,3200900,87.07
2010-09-30,87.78,88.00,86.21,86.71,3634700,86.17
2010-09-29,86.66,87.65,86.32,87.17,2915700,86.63
2010-09-28,86.65,87.32,85.44,87.04,2582600,86.50
2010-09-27,86.86,87.11,86.07,86.19,2494700,85.65
2010-09-24,86.41,87.47,85.79,86.96,3420400,86.42
2010-09-23,85.86,86.75,85.35,85.53,1994000,85.00
2010-09-22,86.57,87.16,86.13,86.63,2473000,86.09
2010-09-21,86.65,87.62,86.06,86.55,3680200,86.01
2010-09-20,86.26,87.63,86.06,87.41,3657900,86.87
2010-09-17,85.34,86.17,85.09,86.07,5967100,85.53
2010-09-16,84.02,85.00,83.94,84.95,2431800,84.42
2010-09-15,84.47,84.75,83.62,84.58,2175900,84.05
2010-09-14,84.68,85.00,84.02,84.63,3319500,84.10
2010-09-13,84.56,84.97,84.21,84.86,2863500,84.33
2010-09-10,82.87,84.07,82.65,83.94,2166300,83.42
2010-09-09,83.92,84.08,82.48,82.96,2471700,82.44
2010-09-08,82.21,83.71,82.21,82.75,2787000,82.23
2010-09-07,83.23,83.38,82.02,82.14,3099200,81.63
2010-09-03,82.58,83.71,82.56,83.48,2939700,82.96
2010-09-02,81.44,81.89,80.83,81.87,2477800,81.36
2010-09-01,79.51,81.10,79.29,81.01,4507000,80.51
2010-08-31,79.56,80.20,78.40,78.55,4956000,78.06
2010-08-30,80.56,80.68,79.58,79.65,2408400,79.15
2010-08-27,80.12,81.09,79.20,81.00,3445900,80.50
2010-08-26,81.26,81.33,79.50,79.78,3577000,79.28
2010-08-25,80.01,81.10,79.47,80.75,3577100,80.25
2010-08-24,80.20,81.00,79.47,80.45,4475900,79.95
2010-08-23,81.01,82.30,80.90,81.08,3243400,80.57
2010-08-20,81.00,81.44,80.11,80.66,4355400,80.16
2010-08-19,83.33,83.44,81.19,81.81,3959300,81.30
2010-08-18,83.78,84.00,82.41,83.61,3198900,83.09
2010-08-17,82.94,84.89,82.67,84.09,4374600,83.04
2010-08-16,83.33,83.96,82.33,83.43,2358400,82.39
2010-08-13,83.90,84.45,83.74,84.01,2079100,82.97
2010-08-12,83.30,84.63,83.16,84.01,3435300,82.97
2010-08-11,85.90,85.99,83.53,84.10,4505600,83.05
2010-08-10,87.41,87.78,85.85,87.11,3641400,86.03
2010-08-09,87.73,88.38,87.41,88.03,3187400,86.94
2010-08-06,86.81,87.54,86.02,87.29,2701300,86.20
2010-08-05,87.31,87.92,86.97,87.72,2523600,86.63
2010-08-04,87.30,88.07,87.23,88.00,2222600,86.91
2010-08-03,86.98,87.55,86.68,87.21,2855500,86.13
2010-08-02,86.80,87.78,86.72,87.41,3639000,86.32
2010-07-30,85.50,86.35,84.86,85.54,4744600,84.48
2010-07-29,87.05,87.48,85.72,86.34,3344200,85.27
2010-07-28,86.44,87.00,86.22,86.69,2824600,85.61
2010-07-27,87.16,87.39,86.33,86.80,4243800,85.72
2010-07-26,86.50,87.47,85.89,87.32,4834500,86.23
2010-07-23,84.70,86.27,84.35,86.17,4559100,85.10
