Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,65.08,65.63,65.03,65.17,5679100,65.17
2010-12-02,65.50,65.56,64.76,65.20,8829800,65.20
2010-12-01,64.79,65.72,64.59,65.63,9970600,65.63
2010-11-30,64.05,64.86,63.77,64.63,11252100,64.15
2010-11-29,63.76,64.14,63.43,64.01,5782100,63.53
2010-11-26,64.33,64.34,63.87,63.90,2386800,63.43
2010-11-24,64.20,64.41,63.90,64.33,5270200,63.85
2010-11-23,64.11,64.24,63.59,63.89,7198400,63.42
2010-11-22,64.76,64.85,64.17,64.70,4630100,64.22
2010-11-19,64.42,64.71,64.27,64.71,5511800,64.23
2010-11-18,64.00,64.99,63.61,64.77,6984000,64.29
2010-11-17,64.12,64.24,63.72,63.94,5016700,63.47
2010-11-16,64.28,65.00,63.83,64.04,8021500,63.56
2010-11-15,64.86,64.97,64.36,64.42,5533000,63.94
2010-11-12,64.63,64.90,64.37,64.64,4914000,64.16
2010-11-11,64.98,65.22,64.70,64.90,4743500,64.42
2010-11-10,65.04,65.39,64.62,65.25,7065800,64.77
2010-11-09,65.33,65.42,64.80,65.30,6301300,64.82
2010-11-08,65.00,65.31,64.75,65.11,5521500,64.63
2010-11-05,65.26,65.35,64.76,65.08,6940900,64.60
2010-11-04,65.74,65.83,64.50,65.35,9981300,64.86
2010-11-03,65.72,65.75,64.58,65.20,7577100,64.72
2010-11-02,65.77,66.10,65.66,65.80,4670800,65.31
2010-11-01,65.49,65.89,65.14,65.55,5916600,65.06
2010-10-29,65.07,65.30,64.86,65.30,5549400,64.82
2010-10-28,64.37,65.12,64.35,65.01,6436100,64.53
2010-10-27,64.50,64.51,63.78,64.27,7961700,63.79
2010-10-26,64.80,64.99,64.55,64.79,6900800,64.31
2010-10-25,65.18,65.33,64.88,65.05,6580800,64.57
2010-10-22,65.24,65.50,64.85,65.01,5043200,64.53
2010-10-21,65.02,65.47,64.82,65.18,8670700,64.70
2010-10-20,65.70,65.82,64.87,64.97,11569400,64.49
2010-10-19,66.06,66.22,64.95,65.41,8357700,64.92
2010-10-18,66.82,67.02,66.48,66.50,4820100,66.01
2010-10-15,66.89,67.00,66.46,66.68,6272100,66.18
2010-10-14,66.45,66.84,66.45,66.64,6162300,66.15
2010-10-13,66.31,66.80,66.20,66.40,5990500,65.91
2010-10-12,65.29,66.47,65.00,66.08,7807800,65.59
2010-10-11,65.74,65.76,65.30,65.52,5283100,65.03
2010-10-08,66.13,66.15,65.27,65.75,8810500,65.26
2010-10-07,66.60,66.70,65.18,66.10,20029500,65.61
2010-10-06,67.55,68.11,67.40,68.11,7204100,67.60
2010-10-05,67.03,67.82,66.91,67.76,7246100,67.26
2010-10-04,66.99,66.99,66.52,66.87,4890200,66.37
2010-10-01,66.76,67.00,66.28,67.00,5397000,66.50
2010-09-30,66.95,67.31,66.25,66.44,7002300,65.95
2010-09-29,66.54,67.00,66.23,66.75,5553200,66.25
2010-09-28,66.35,66.91,65.81,66.78,5305300,66.28
2010-09-27,66.07,66.76,66.06,66.37,5230300,65.88
2010-09-24,66.10,66.41,65.83,66.13,6366300,65.64
2010-09-23,66.19,66.19,65.66,65.79,5877800,65.30
2010-09-22,66.63,66.90,66.31,66.66,5225800,66.16
2010-09-21,66.91,66.91,65.93,66.46,7455500,65.97
2010-09-20,66.26,66.98,66.05,66.89,5057100,66.39
2010-09-17,66.76,66.90,66.10,66.12,7908400,65.63
2010-09-16,66.40,66.66,66.17,66.61,4174900,66.12
2010-09-15,65.83,66.54,65.76,66.50,4745000,66.01
2010-09-14,66.17,66.36,65.93,65.98,4145400,65.49
2010-09-13,66.45,66.52,65.85,66.25,4469200,65.76
2010-09-10,66.15,66.50,65.86,66.41,4234800,65.92
2010-09-09,65.90,66.21,65.42,66.10,5835800,65.61
2010-09-08,65.44,65.70,65.26,65.43,4318900,64.94
2010-09-07,65.10,66.01,65.10,65.48,5284700,64.99
2010-09-03,65.11,65.71,65.11,65.57,5862600,65.08
2010-09-02,64.97,65.31,64.52,64.97,4158600,64.49
2010-09-01,64.52,65.05,64.52,64.89,6382100,64.41
2010-08-31,63.49,64.34,63.18,64.18,6624800,63.23
2010-08-30,64.09,64.43,63.60,63.60,3697900,62.66
2010-08-27,64.20,64.47,63.38,64.12,5227700,63.17
2010-08-26,64.82,64.82,63.85,64.13,4604900,63.18
2010-08-25,64.37,64.85,64.20,64.57,5322700,63.61
2010-08-24,64.50,65.24,64.21,64.78,5442800,63.82
2010-08-23,65.14,65.40,64.78,64.82,3263900,63.86
2010-08-20,64.30,65.28,64.30,64.80,5655000,63.84
2010-08-19,65.50,65.52,64.26,64.66,4549600,63.70
2010-08-18,65.66,65.84,65.25,65.52,3857900,64.55
2010-08-17,65.68,66.00,65.22,65.55,4357200,64.58
2010-08-16,65.30,65.50,64.80,65.43,3564500,64.46
2010-08-13,65.07,65.71,64.86,65.56,4516700,64.59
2010-08-12,64.91,65.35,64.78,65.18,4924700,64.21
2010-08-11,65.98,66.07,65.45,65.45,5544600,64.48
2010-08-10,66.05,66.83,66.00,66.53,7411000,65.54
2010-08-09,66.00,66.60,65.93,66.42,5492700,65.43
2010-08-06,65.13,65.97,65.13,65.90,5500700,64.92
2010-08-05,65.68,65.87,65.06,65.58,5143100,64.61
2010-08-04,65.72,66.35,65.37,66.17,6663800,65.19
2010-08-03,65.11,65.92,65.00,65.77,5577200,64.79
2010-08-02,65.47,65.47,64.88,65.27,6479700,64.30
2010-07-30,64.45,65.18,64.31,64.91,5337400,63.95
2010-07-29,65.33,65.59,64.71,64.89,5579600,63.93
2010-07-28,65.51,65.69,65.00,65.20,4321400,64.23
2010-07-27,65.30,65.79,64.71,65.69,6032200,64.71
2010-07-26,64.36,65.03,64.19,64.98,4029100,64.02
2010-07-23,64.05,64.75,64.05,64.45,5187700,63.49
2010-07-22,64.46,64.86,64.00,64.21,7032800,63.26
2010-07-21,64.78,64.98,63.67,63.95,8690200,63.00
2010-07-20,61.77,64.87,61.71,64.73,11243100,63.77
2010-07-19,62.39,62.52,62.00,62.05,5969400,61.13
2010-07-16,63.05,63.53,62.24,62.45,9510200,61.52
2010-07-15,63.58,63.71,62.99,63.16,8124100,62.22
2010-07-14,63.23,63.70,63.06,63.56,5687500,62.62
2010-07-13,64.25,64.26,63.35,63.43,7312300,62.49
2010-07-12,63.25,63.75,63.05,63.74,4205300,62.79
2010-07-09,64.03,64.11,63.30,63.50,5020500,62.56
2010-07-08,63.21,64.00,62.91,64.00,6660800,63.05
2010-07-07,61.60,63.08,61.27,62.93,7296200,62.00
2010-07-06,61.74,61.89,60.95,61.64,6950100,60.72
2010-07-02,61.54,62.15,61.38,61.53,5987800,60.62
2010-07-01,61.13,61.66,60.32,61.52,10852500,60.61
2010-06-30,61.28,61.73,60.50,60.95,8760700,60.04
2010-06-29,61.46,61.77,60.89,61.23,9054500,60.32
2010-06-28,61.12,62.17,61.00,61.96,8532400,61.04
2010-06-25,62.49,62.49,60.77,60.77,22934200,59.87
2010-06-24,62.37,62.99,62.25,62.40,6185400,61.47
2010-06-23,63.22,63.22,62.31,62.73,6509700,61.80
2010-06-22,64.03,64.25,63.18,63.30,5978900,62.36
2010-06-21,64.54,64.79,63.74,64.02,5158800,63.07
2010-06-18,64.61,64.67,64.03,64.08,8947600,63.13
2010-06-17,63.96,64.56,63.75,64.49,5179300,63.53
2010-06-16,63.79,64.05,63.56,63.91,5960000,62.96
2010-06-15,63.88,64.29,63.84,64.24,6249100,63.29
2010-06-14,63.90,64.23,63.24,63.85,4941800,62.90
2010-06-11,63.50,63.56,62.94,63.56,5466100,62.62
2010-06-10,63.03,63.90,63.03,63.84,6567800,62.89
2010-06-09,62.86,63.07,62.33,62.49,7056300,61.56
2010-06-08,61.44,62.80,61.40,62.65,7538300,61.72
2010-06-07,61.37,62.56,61.29,61.73,7694100,60.81
2010-06-04,62.46,62.46,61.29,61.44,10309800,60.53
2010-06-03,63.50,63.65,63.00,63.37,6448400,62.43
2010-06-02,62.60,63.46,61.83,63.46,10023900,62.52
2010-06-01,62.66,63.59,61.90,62.76,7180000,61.36
2010-05-28,62.92,63.46,62.73,62.89,7546700,61.48
2010-05-27,61.97,62.93,61.52,62.90,9428400,61.49
2010-05-26,63.06,63.06,61.04,61.23,15152900,59.86
2010-05-25,61.93,62.92,61.65,62.89,9156900,61.48
2010-05-24,63.09,64.01,62.60,63.32,6334000,61.90
2010-05-21,63.21,63.64,62.14,63.58,14586400,62.16
2010-05-20,65.23,65.23,63.86,63.86,11587400,62.43
2010-05-19,66.30,66.38,65.50,66.04,7867800,64.56
2010-05-18,66.92,67.30,66.40,66.53,7237500,65.04
2010-05-17,66.11,66.96,66.07,66.75,6943800,65.26
2010-05-14,66.41,66.60,65.77,66.07,9731800,64.59
2010-05-13,67.02,67.08,66.46,66.48,7800500,64.99
2010-05-12,67.24,67.61,66.81,66.94,13170400,65.44
2010-05-11,66.16,67.00,66.02,66.55,7240800,65.06
2010-05-10,65.80,66.49,65.66,66.41,10833800,64.92
2010-05-07,64.46,65.04,63.66,64.57,13221500,63.12
2010-05-06,65.16,66.20,61.91,64.70,14046200,63.25
2010-05-05,65.10,65.95,65.02,65.20,7658800,63.74
2010-05-04,65.30,65.98,65.05,65.43,8383100,63.97
2010-05-03,65.28,66.00,64.89,65.69,5807900,64.22
2010-04-30,65.33,65.98,65.18,65.22,8274200,63.76
2010-04-29,64.95,65.50,64.83,65.20,7714000,63.74
2010-04-28,64.28,64.82,63.60,64.75,10229300,63.30
2010-04-27,64.93,65.20,64.07,64.23,8615300,62.79
2010-04-26,64.84,65.44,64.61,65.02,8096900,63.56
2010-04-23,64.85,64.85,64.17,64.71,9008900,63.26
2010-04-22,65.75,65.79,64.50,64.76,9689700,63.31
2010-04-21,65.82,66.31,65.61,65.98,6534300,64.50
2010-04-20,66.17,66.40,65.72,65.90,6780900,64.42
2010-04-19,66.08,66.39,65.70,66.12,6354600,64.64
2010-04-16,66.01,66.65,65.96,66.14,7374400,64.66
2010-04-15,65.97,66.50,65.80,66.27,5968500,64.79
2010-04-14,66.20,66.30,65.83,66.29,5202300,64.81
2010-04-13,66.16,66.50,66.02,66.39,5190800,64.90
2010-04-12,66.35,66.67,66.26,66.32,5074000,64.84
2010-04-09,65.93,66.43,65.86,66.36,4757700,64.87
2010-04-08,65.75,66.19,65.62,65.97,6646300,64.49
2010-04-07,66.39,66.52,65.75,65.99,8204200,64.51
2010-04-06,65.79,66.63,65.79,66.39,6734700,64.90
2010-04-05,66.68,66.68,65.83,65.98,6732600,64.50
2010-04-01,66.32,66.68,66.25,66.68,5074100,65.19
2010-03-31,66.68,66.71,66.06,66.16,8123900,64.68
2010-03-30,66.52,67.00,66.36,66.77,5733800,65.28
2010-03-29,66.61,66.87,66.30,66.55,6825600,65.06
2010-03-26,66.64,66.81,66.34,66.59,5313400,65.10
2010-03-25,66.37,67.00,66.35,66.55,6246600,65.06
2010-03-24,66.62,67.00,66.25,66.26,7661200,64.78
2010-03-23,66.39,67.00,66.24,66.86,6412800,65.36
2010-03-22,66.43,66.56,66.15,66.31,6763000,64.83
2010-03-19,66.96,66.98,66.26,66.56,10947400,65.07
2010-03-18,66.57,66.73,66.16,66.52,6961900,65.03
2010-03-17,66.15,66.58,66.02,66.57,6922300,65.08
2010-03-16,66.25,66.30,65.83,66.07,7474500,64.59
2010-03-15,65.69,66.26,65.40,66.15,10468000,64.67
2010-03-12,64.92,65.25,64.68,65.10,6896400,63.64
2010-03-11,64.20,65.00,63.90,64.97,7536900,63.52
2010-03-10,64.30,64.59,64.01,64.43,6450000,62.99
2010-03-09,63.88,64.65,63.80,64.36,7655400,62.92
2010-03-08,64.27,64.46,63.80,64.15,5086300,62.71
2010-03-05,64.30,64.48,63.91,64.37,8448600,62.93
2010-03-04,64.43,64.50,63.96,64.11,7830600,62.67
2010-03-03,63.82,64.27,63.80,63.98,8486300,62.55
2010-03-02,63.61,64.00,63.42,63.80,9527200,61.93
2010-03-01,62.65,63.58,62.47,63.43,9016500,61.57
2010-02-26,62.50,62.59,61.91,62.47,14785800,60.64
2010-02-25,61.51,62.34,61.02,62.30,8074100,60.48
2010-02-24,61.98,62.16,61.58,62.08,6888100,60.26
2010-02-23,62.22,62.48,61.70,61.78,5159400,59.97
2010-02-22,62.69,62.87,62.10,62.41,4709500,60.58
2010-02-19,62.32,62.92,61.98,62.66,6416500,60.83
2010-02-18,61.97,62.72,61.97,62.53,6942900,60.70
2010-02-17,61.48,62.20,61.25,62.11,6703500,60.29
2010-02-16,61.03,61.45,60.50,61.31,6930800,59.51
2010-02-12,61.06,61.22,60.49,60.92,8566800,59.14
2010-02-11,60.87,61.70,60.50,61.19,14391100,59.40
2010-02-10,59.96,60.67,59.51,60.38,10917200,58.61
2010-02-09,59.29,60.48,59.29,60.05,7940200,58.29
2010-02-08,59.60,59.66,58.75,58.96,7047700,57.23
2010-02-05,59.51,59.79,58.95,59.51,7347800,57.77
2010-02-04,60.83,60.93,59.62,59.64,6920300,57.89
2010-02-03,60.92,61.40,60.56,61.29,4863000,59.50
2010-02-02,60.68,61.28,60.34,61.15,6296700,59.36
2010-02-01,59.93,60.75,59.52,60.70,7303200,58.92
2010-01-29,59.84,60.36,59.12,59.62,8127200,57.87
2010-01-28,60.30,60.50,59.50,59.74,9285900,57.99
2010-01-27,60.05,60.39,59.60,60.29,6145900,58.52
2010-01-26,60.10,60.53,59.82,60.25,5001700,58.49
2010-01-25,60.70,60.70,60.08,60.23,4903800,58.47
2010-01-22,60.75,61.24,60.31,60.39,7229000,58.62
2010-01-21,62.01,62.16,60.74,60.94,7121500,59.16
2010-01-20,62.09,62.15,61.44,61.95,5606000,60.14
2010-01-19,62.23,62.41,61.97,62.33,5615800,60.50
2010-01-15,62.61,62.91,61.82,62.29,8361200,60.47
2010-01-14,62.02,62.92,61.76,62.80,7211600,60.96
2010-01-13,61.41,62.34,61.41,62.05,7380100,60.23
2010-01-12,60.52,61.68,60.50,61.55,9081800,59.75
2010-01-11,60.68,60.81,60.10,60.70,6461200,58.92
2010-01-08,60.76,60.82,60.27,60.77,8674700,58.99
2010-01-07,61.35,61.38,60.53,60.97,10792000,59.18
2010-01-06,61.99,62.47,61.23,61.36,9998000,59.56
2010-01-05,61.00,62.10,60.90,61.98,8886000,60.17
2010-01-04,61.19,61.52,60.64,61.24,6585900,59.45
2009-12-31,61.25,61.44,60.76,60.80,3316300,59.02
2009-12-30,61.00,61.45,60.87,61.31,3779400,59.51
2009-12-29,61.29,61.59,61.10,61.10,3787000,59.31
2009-12-28,61.19,61.25,60.87,61.16,4364200,59.37
2009-12-24,60.66,60.96,60.40,60.96,1502900,59.18
2009-12-23,60.87,60.87,60.25,60.68,3829000,58.90
2009-12-22,60.57,60.79,60.25,60.63,6026000,58.85
2009-12-21,59.72,60.73,59.60,60.48,7973000,58.71
2009-12-18,59.92,59.92,58.77,59.48,18604200,57.74
2009-12-17,60.64,60.64,60.04,60.04,8336100,58.28
2009-12-16,61.18,61.69,60.62,60.68,8127400,58.90
2009-12-15,61.01,61.39,60.40,60.99,7656600,59.20
2009-12-14,61.70,61.77,60.86,60.98,7437800,59.19
2009-12-11,61.85,62.38,61.18,61.27,8249600,59.48
2009-12-10,62.15,62.63,61.67,61.84,8512500,60.03
2009-12-09,62.08,62.39,60.76,61.80,20222300,59.99
2009-12-08,64.09,64.09,63.15,63.48,6161600,61.62
2009-12-07,63.70,64.48,63.56,64.23,6259700,62.35
2009-12-04,63.18,64.00,63.08,63.85,8907000,61.98
2009-12-03,63.58,63.59,62.67,62.76,6406200,60.92
2009-12-02,63.50,63.74,63.17,63.65,6195800,61.79
2009-12-01,62.68,63.93,62.49,63.87,6887700,61.56
2009-11-30,62.64,62.83,62.15,62.22,7252700,59.97
2009-11-27,62.24,62.55,61.75,62.30,3416000,60.05
2009-11-25,62.53,63.27,62.49,63.19,4672600,60.91
2009-11-24,62.62,62.65,62.13,62.50,4139700,60.24
2009-11-23,62.46,62.99,62.26,62.49,5009400,60.23
2009-11-20,61.67,62.31,61.43,62.08,5314600,59.84
2009-11-19,62.10,62.10,61.35,61.88,4390400,59.64
2009-11-18,62.44,62.51,61.81,62.30,3952300,60.05
2009-11-17,62.42,62.63,62.03,62.60,4362400,60.34
2009-11-16,62.21,62.49,61.94,62.43,4966800,60.18
2009-11-13,61.63,62.13,61.35,61.94,6411100,59.70
2009-11-12,62.49,62.75,61.10,61.27,8474900,59.06
2009-11-11,62.34,62.68,62.08,62.60,4714300,60.34
2009-11-10,62.17,62.94,61.93,62.08,7094100,59.84
2009-11-09,61.81,62.32,61.43,62.28,6921800,60.03
2009-11-06,60.99,61.76,60.79,61.76,4831000,59.53
2009-11-05,60.44,61.41,60.42,61.23,5578500,59.02
2009-11-04,60.16,60.96,59.79,60.38,5552100,58.20
2009-11-03,60.29,60.39,59.62,60.06,5797000,57.89
2009-11-02,60.79,61.07,60.16,60.60,6618800,58.41
2009-10-30,61.35,61.64,60.37,60.55,7794100,58.36
2009-10-29,61.01,61.46,60.57,61.39,5245300,59.17
2009-10-28,60.88,61.52,60.75,60.99,6321900,58.79
2009-10-27,60.64,61.35,60.10,61.00,7262900,58.80
2009-10-26,61.14,61.50,60.21,60.47,5113000,58.29
2009-10-23,61.41,61.67,60.58,61.03,6505200,58.83
2009-10-22,61.90,61.90,60.87,61.50,5428100,59.28
2009-10-21,61.38,62.34,61.23,61.84,7445000,59.61
2009-10-20,62.00,62.05,61.12,61.58,8068000,59.36
2009-10-19,62.28,62.57,61.90,62.05,5557300,59.81
2009-10-16,62.47,62.68,62.11,62.29,6588400,60.04
2009-10-15,61.57,62.75,61.39,62.68,10518600,60.42
2009-10-14,60.94,61.68,60.70,61.62,8462200,59.39
2009-10-13,60.88,61.00,60.52,60.60,7502000,58.41
2009-10-12,60.43,61.36,60.25,60.92,6178100,58.72
2009-10-09,60.38,60.70,59.81,60.59,6360200,58.40
2009-10-08,61.24,61.24,59.80,60.39,17263400,58.21
2009-10-07,60.85,61.38,60.45,61.17,6441900,58.96
2009-10-06,61.05,61.27,60.42,60.87,8128900,58.67
2009-10-05,60.83,61.24,60.14,60.85,7892000,58.65
2009-10-02,59.12,61.24,58.93,60.90,17530200,58.70
2009-10-01,58.70,58.99,58.27,58.46,9010200,56.35
2009-09-30,58.74,58.86,58.01,58.66,8898400,56.54
2009-09-29,59.10,59.31,58.00,58.51,7086400,56.40
2009-09-28,58.95,59.49,58.62,59.03,4085900,56.90
2009-09-25,58.50,59.13,58.32,58.68,6758800,56.56
2009-09-24,58.57,58.82,58.24,58.54,6157700,56.43
2009-09-23,58.69,59.08,58.34,58.47,6122400,56.36
2009-09-22,59.10,59.20,58.30,58.58,6801900,56.46
2009-09-21,59.52,59.66,58.81,59.02,7785600,56.89
2009-09-18,59.04,60.00,58.96,59.86,14645500,57.70
2009-09-17,58.35,58.99,58.22,58.80,7034500,56.68
2009-09-16,58.34,58.47,57.67,58.34,5747600,56.23
2009-09-15,58.74,58.74,57.91,58.29,6339500,56.18
2009-09-14,58.49,58.89,58.21,58.70,5949000,56.58
2009-09-11,58.05,58.92,57.74,58.81,8195300,56.69
2009-09-10,57.92,58.05,57.54,57.86,7601400,55.77
2009-09-09,58.34,58.34,57.86,58.04,10094900,55.94
2009-09-08,57.66,58.34,57.33,58.28,13031000,56.17
2009-09-04,56.45,57.70,56.33,57.54,8841700,55.46
2009-09-03,56.54,56.80,56.00,56.64,7820200,54.59
2009-09-02,55.99,56.62,55.69,56.35,8902900,54.31
2009-09-01,56.60,57.30,55.93,56.25,7964700,53.78
2009-08-31,56.56,56.98,56.38,56.67,5522400,54.19
2009-08-28,57.96,58.00,56.61,56.76,6603800,54.27
2009-08-27,57.59,58.10,57.50,57.76,5854300,55.23
2009-08-26,57.35,58.19,57.13,57.88,7396800,55.34
2009-08-25,57.35,57.80,57.07,57.29,5822700,54.78
2009-08-24,57.69,57.78,57.06,57.45,5690000,54.93
2009-08-21,57.07,57.73,56.80,57.49,8890100,54.97
2009-08-20,56.30,57.16,56.20,56.84,6064000,54.35
2009-08-19,56.22,56.71,56.00,56.45,5845000,53.98
2009-08-18,56.22,56.76,55.92,56.24,9730700,53.77
2009-08-17,56.40,56.78,55.86,56.18,5760100,53.72
2009-08-14,56.50,57.06,56.08,56.56,6395100,54.08
2009-08-13,56.85,56.91,56.03,56.49,7187200,54.01
2009-08-12,56.78,57.55,56.34,56.68,6911300,54.20
2009-08-11,57.17,57.55,56.89,56.91,6785300,54.42
2009-08-10,57.79,57.79,56.94,57.41,8127700,54.89
2009-08-07,58.10,58.21,57.55,57.74,6869400,55.21
2009-08-06,58.61,58.81,57.69,57.83,7550400,55.30
2009-08-05,59.18,59.50,58.29,58.39,10093500,55.83
2009-08-04,58.02,59.64,57.50,59.06,27850100,56.47
2009-08-03,56.98,56.98,55.96,56.20,6493600,53.74
2009-07-31,56.65,57.29,56.48,56.75,6003000,54.26
2009-07-30,56.73,57.63,56.54,56.60,6718600,54.12
2009-07-29,55.77,56.40,55.75,56.33,5395800,53.86
2009-07-28,56.05,56.66,55.70,55.97,7151400,53.52
2009-07-27,56.30,56.72,55.97,56.34,5825000,53.87
2009-07-24,56.57,56.76,55.72,56.41,6741600,53.94
2009-07-23,56.01,56.84,55.62,56.50,8862400,54.02
2009-07-22,56.22,56.40,55.37,55.89,7498900,53.44
2009-07-21,56.49,56.69,55.45,56.40,6075100,53.93
2009-07-20,56.85,56.89,55.36,56.08,7828900,53.62
2009-07-17,56.93,57.26,56.46,56.66,6188100,54.18
2009-07-16,57.00,57.70,56.83,57.26,6302300,54.75
2009-07-15,56.54,57.31,56.30,57.28,7676100,54.77
2009-07-14,55.63,56.12,55.38,56.09,4569900,53.63
2009-07-13,54.75,55.86,54.62,55.67,8829400,53.23
2009-07-10,54.36,54.88,54.30,54.71,5945700,52.31
2009-07-09,55.11,55.34,54.40,54.68,7263600,52.28
2009-07-08,56.09,56.13,54.52,54.85,12094700,52.45
2009-07-07,57.07,57.46,55.92,56.00,11953500,53.55
2009-07-06,56.27,57.17,56.08,57.13,8886600,54.63
2009-07-02,56.03,56.82,55.77,56.35,8161900,53.88
2009-07-01,55.12,56.69,55.12,56.52,9715200,54.04
2009-06-30,54.94,55.45,54.72,54.96,8815400,52.55
2009-06-29,55.33,55.50,54.61,54.84,6368100,52.44
2009-06-26,53.72,54.90,53.50,54.70,8836600,52.30
2009-06-25,52.89,54.38,52.56,53.99,8050400,51.62
2009-06-24,53.33,53.83,52.70,53.05,4730800,50.72
2009-06-23,53.75,53.84,52.80,53.01,6528600,50.69
2009-06-22,53.64,53.89,53.18,53.49,5314100,51.15
2009-06-19,54.74,55.05,53.69,53.91,9530500,51.55
2009-06-18,53.13,54.73,52.88,54.49,7047100,52.10
2009-06-17,52.31,53.83,52.11,52.97,9395200,50.65
2009-06-16,53.06,53.30,52.20,52.34,6477900,50.05
2009-06-15,53.45,53.54,52.78,52.88,6089700,50.56
2009-06-12,52.85,53.85,52.60,53.65,5958400,51.30
2009-06-11,53.19,53.98,52.93,52.97,8817200,50.65
2009-06-10,53.73,54.11,52.99,53.36,6291700,51.02
2009-06-09,54.21,54.34,53.21,53.48,8065100,51.14
2009-06-08,54.68,54.99,53.55,54.15,6846900,51.78
2009-06-05,55.37,55.49,54.50,54.88,10394100,52.47
2009-06-04,54.27,54.90,53.80,54.82,12602700,52.42
2009-06-03,54.90,54.90,53.89,54.27,11515700,51.89
2009-06-02,53.47,55.73,53.15,55.37,13707800,52.51
2009-06-01,52.27,53.39,52.25,53.13,8262500,50.39
2009-05-29,51.06,52.14,50.85,52.05,9341500,49.36
2009-05-28,50.25,51.30,50.16,51.02,7960400,48.39
2009-05-27,51.38,51.50,49.82,50.01,8811400,47.43
2009-05-26,51.01,51.69,50.91,51.28,8835100,48.63
2009-05-22,51.58,51.95,51.20,51.57,4565800,48.91
2009-05-21,51.64,51.87,50.99,51.49,6096200,48.83
2009-05-20,51.87,52.50,51.54,52.06,8536000,49.37
2009-05-19,51.29,52.10,51.10,51.61,7584800,48.95
2009-05-18,50.62,51.23,50.35,51.17,6461700,48.53
2009-05-15,50.53,50.82,50.03,50.32,8205900,47.72
2009-05-14,49.70,51.16,49.51,50.87,10200100,48.25
2009-05-13,49.20,49.88,49.14,49.66,11299700,47.10
2009-05-12,49.72,49.80,48.82,49.27,15410500,46.73
2009-05-11,49.55,50.04,49.28,49.58,8192800,47.02
2009-05-08,49.88,49.94,49.09,49.75,10686200,47.18
2009-05-07,49.86,50.06,49.24,49.49,13254900,46.94
2009-05-06,50.30,50.30,49.19,49.72,7561900,47.15
2009-05-05,49.13,49.95,49.12,49.73,11609800,47.16
2009-05-04,50.17,50.17,48.87,49.10,13087000,46.57
2009-05-01,49.76,49.89,48.83,49.79,7617400,47.22
2009-04-30,50.91,51.00,49.52,49.76,10978300,47.19
2009-04-29,50.16,51.22,50.16,50.45,15118800,47.85
2009-04-28,48.71,50.27,48.71,50.04,11569100,47.46
2009-04-27,48.28,49.50,48.17,49.11,9540400,46.58
2009-04-24,48.31,48.92,47.93,48.52,11306900,46.02
2009-04-23,48.40,48.46,47.50,47.89,12256700,45.42
2009-04-22,49.86,50.20,47.88,47.98,20499500,45.50
2009-04-21,50.17,50.55,48.50,49.35,13960700,46.80
2009-04-20,51.32,51.59,49.52,49.86,18459600,47.29
2009-04-17,52.00,52.47,51.70,52.13,8820400,49.44
2009-04-16,52.24,52.24,51.16,51.96,6115800,49.28
2009-04-15,50.24,52.10,50.24,52.04,6727800,49.35
2009-04-14,51.14,51.34,50.28,50.56,7731600,47.95
2009-04-13,52.02,56.95,51.29,51.49,5863200,48.83
2009-04-09,52.35,53.09,51.86,52.10,7165400,49.41
2009-04-08,52.26,52.53,51.85,52.28,4920600,49.58
