Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,36.91,37.12,36.71,37.01,1264400,37.01
2010-12-02,36.43,37.00,36.35,36.91,1181400,36.91
2010-12-01,35.68,36.81,35.68,36.45,1537500,36.45
2010-11-30,34.84,35.57,34.42,35.13,1094300,35.13
2010-11-29,34.77,35.41,34.12,35.23,357900,35.23
2010-11-26,35.27,35.49,34.62,34.91,217200,34.91
2010-11-24,34.52,35.70,34.08,35.55,1082900,35.55
2010-11-23,35.21,35.28,33.94,34.32,799400,34.32
2010-11-22,34.69,35.93,34.34,35.54,1358800,35.52
2010-11-19,34.34,34.81,33.78,34.77,947700,34.75
2010-11-18,34.01,34.70,33.82,34.26,1023800,34.24
2010-11-17,32.99,34.01,32.91,33.62,1073900,33.60
2010-11-16,33.12,33.28,32.25,32.88,584400,32.86
2010-11-15,33.20,34.24,33.20,33.26,1207600,33.24
2010-11-12,33.54,33.76,32.55,32.99,530500,32.97
2010-11-11,33.37,34.00,33.34,33.85,512900,33.83
2010-11-10,33.39,33.82,32.93,33.66,514800,33.64
2010-11-09,33.64,34.80,33.03,33.51,1833100,33.49
2010-11-08,33.35,33.53,32.56,33.31,1025100,33.29
2010-11-05,34.18,34.29,33.03,33.46,1034400,33.44
2010-11-04,34.45,34.73,33.77,34.18,860400,34.16
2010-11-03,33.76,34.01,33.07,34.01,683100,33.99
2010-11-02,33.17,33.61,32.67,33.41,741700,33.39
2010-11-01,33.39,33.82,32.35,32.89,794400,32.87
2010-10-29,32.35,33.49,32.28,33.03,926200,33.01
2010-10-28,31.89,32.50,31.69,32.41,910600,32.39
2010-10-27,30.11,32.20,30.11,31.75,1151300,31.73
2010-10-26,32.09,32.70,31.73,32.39,1620800,32.37
2010-10-25,31.98,32.04,31.38,31.45,439200,31.43
2010-10-22,31.92,31.92,31.42,31.80,469100,31.78
2010-10-21,31.62,32.24,31.05,31.78,584700,31.76
2010-10-20,31.60,32.00,31.34,31.62,798400,31.60
2010-10-19,31.25,31.67,30.71,31.48,1201600,31.46
2010-10-18,31.09,32.00,30.97,31.87,1076500,31.85
2010-10-15,30.65,31.19,30.45,31.15,1338100,31.13
2010-10-14,30.38,30.80,30.15,30.53,1098000,30.51
2010-10-13,29.86,30.60,29.69,30.49,1629100,30.47
2010-10-12,30.08,30.18,29.54,29.68,1136600,29.66
2010-10-11,30.28,30.43,30.10,30.20,508300,30.18
2010-10-08,30.46,30.72,30.29,30.35,967100,30.33
2010-10-07,30.82,30.98,30.23,30.45,778800,30.43
2010-10-06,30.39,30.83,30.15,30.79,1242200,30.77
2010-10-05,30.23,30.57,30.19,30.39,898100,30.37
2010-10-04,30.32,30.48,29.94,30.04,560100,30.02
2010-10-01,30.29,30.89,30.21,30.35,1063200,30.33
2010-09-30,29.94,30.75,29.81,30.14,951300,30.12
2010-09-29,29.81,30.05,29.61,29.88,887100,29.86
2010-09-28,29.15,29.88,28.74,29.84,569900,29.82
2010-09-27,29.30,29.50,29.13,29.17,616800,29.15
2010-09-24,29.54,29.73,29.24,29.34,1139500,29.32
2010-09-23,29.17,29.48,29.07,29.30,1345700,29.28
2010-09-22,29.36,29.58,28.99,29.30,1443500,29.28
2010-09-21,29.70,29.71,28.65,29.24,1687000,29.22
2010-09-20,29.31,30.00,28.85,29.77,834600,29.75
2010-09-17,29.86,30.16,29.06,29.19,2999900,29.17
2010-09-16,29.61,30.07,29.51,29.70,872600,29.68
2010-09-15,29.62,29.89,29.40,29.87,463400,29.85
2010-09-14,29.78,29.85,29.27,29.76,937900,29.74
2010-09-13,30.49,30.49,29.01,29.77,1569700,29.75
2010-09-10,30.08,30.22,29.83,30.07,986800,30.05
2010-09-09,30.76,31.03,30.00,30.08,383800,30.06
2010-09-08,30.85,31.30,30.26,30.55,874400,30.53
2010-09-07,31.47,31.74,31.25,31.31,378800,31.29
2010-09-03,31.68,31.85,31.11,31.75,617200,31.73
2010-09-02,30.84,31.55,30.33,31.31,546200,31.29
2010-09-01,29.50,30.80,29.30,30.76,929200,30.74
2010-08-31,29.21,29.72,28.57,29.03,1402300,29.01
2010-08-30,30.34,30.61,29.44,29.45,736600,29.43
2010-08-27,30.62,30.68,29.76,30.38,730700,30.36
2010-08-26,30.71,31.04,30.16,30.41,1205500,30.39
2010-08-25,30.55,30.90,30.16,30.54,758700,30.52
2010-08-24,30.66,30.93,30.33,30.65,893600,30.63
2010-08-23,31.09,31.48,30.58,31.17,497900,31.15
2010-08-20,30.93,31.37,30.77,31.01,724300,30.99
2010-08-19,31.29,31.46,30.76,31.34,441800,31.32
2010-08-18,31.42,31.90,30.79,31.50,980500,31.48
2010-08-17,30.64,31.93,30.29,31.60,1117400,31.56
2010-08-16,30.07,30.63,29.63,30.32,935700,30.28
2010-08-13,30.75,31.25,29.92,30.14,1841400,30.10
2010-08-12,31.50,31.50,30.06,30.89,1094900,30.85
2010-08-11,32.92,32.92,31.57,31.78,860300,31.74
2010-08-10,34.21,34.28,33.39,33.61,853000,33.57
2010-08-09,34.08,34.46,33.14,34.30,554200,34.26
2010-08-06,34.83,34.83,33.01,33.97,1409700,33.93
2010-08-05,34.71,35.06,34.30,34.89,605500,34.85
2010-08-04,34.61,34.99,34.24,34.90,833500,34.86
2010-08-03,33.97,34.79,33.40,34.56,805900,34.52
2010-08-02,34.31,34.32,33.62,33.90,1547400,33.86
2010-07-30,32.41,35.15,31.68,34.42,2745800,34.38
2010-07-29,31.49,33.16,31.34,32.50,3203200,32.46
2010-07-28,30.42,31.01,30.35,30.91,1706600,30.87
2010-07-27,30.20,31.00,29.51,30.16,1705700,30.12
2010-07-26,29.18,29.60,28.95,29.58,888800,29.54
2010-07-23,29.99,29.99,29.05,29.27,662500,29.24
2010-07-22,30.01,30.37,29.81,30.02,852800,29.98
2010-07-21,30.56,30.56,29.39,29.72,861500,29.68
2010-07-20,29.51,30.51,29.11,30.43,1201600,30.39
2010-07-19,29.86,30.32,29.55,29.80,1046400,29.76
2010-07-16,30.22,30.54,29.25,29.72,1342500,29.68
2010-07-15,30.42,30.61,29.69,30.53,1660000,30.49
2010-07-14,30.25,30.57,30.02,30.47,896500,30.43
2010-07-13,30.39,30.67,30.33,30.47,1379900,30.43
2010-07-12,30.44,30.44,30.00,30.19,1356300,30.15
2010-07-09,30.32,31.21,30.09,30.44,1732700,30.40
2010-07-08,29.95,31.09,29.91,30.30,2271400,30.26
2010-07-07,28.51,29.63,27.90,29.54,2222400,29.50
2010-07-06,29.61,29.61,28.01,28.18,2271400,28.15
2010-07-02,29.50,29.96,28.88,29.02,3081100,28.99
2010-07-01,30.40,31.03,29.22,29.31,2811500,29.27
2010-06-30,30.25,31.15,30.15,30.83,7171100,30.79
2010-06-29,32.00,32.00,30.07,30.31,818800,30.27
2010-06-28,32.71,32.71,32.10,32.25,361700,32.21
2010-06-25,32.25,32.95,32.08,32.51,562300,32.47
2010-06-24,32.47,34.24,31.98,32.00,420200,31.96
2010-06-23,32.17,32.27,31.74,32.27,7300,32.23
2010-06-22,33.85,33.85,32.30,32.30,81900,32.26
2010-06-21,34.31,34.75,33.50,33.75,12000,33.71
2010-06-18,34.25,34.50,34.25,34.50,300,34.46
2010-06-17,34.25,34.55,33.80,34.00,21700,33.96
2010-06-16,37.00,37.00,34.60,34.61,62900,34.57
