1.05Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,24.64,24.80,24.60,24.60,88900,24.60
2010-12-03,24.68,24.70,24.51,24.70,62100,24.70
2010-12-02,24.68,24.73,24.62,24.69,57500,24.69
2010-12-01,24.73,24.76,24.65,24.65,111700,24.65
2010-11-30,24.60,24.72,24.60,24.68,54300,24.68
2010-11-29,24.85,24.85,24.58,24.58,94600,24.58
2010-11-26,24.92,24.92,24.75,24.82,9000,24.82
2010-11-24,24.58,24.78,24.58,24.75,32600,24.75
2010-11-23,24.50,24.64,24.42,24.63,71500,24.63
2010-11-22,24.77,24.77,24.50,24.50,43200,24.50
2010-11-19,24.79,24.80,24.57,24.75,467100,24.75
2010-11-18,24.87,24.92,24.68,24.71,35900,24.71
2010-11-17,25.25,25.25,24.79,24.82,66200,24.82
2010-11-16,25.07,25.15,24.49,25.15,69900,25.15
2010-11-15,25.03,25.06,24.92,24.94,61800,24.94
2010-11-12,25.00,25.09,24.99,25.07,29700,25.07
2010-11-11,25.11,25.11,24.97,25.05,20600,25.05
2010-11-10,25.09,25.16,25.00,25.00,19100,25.00
2010-11-09,25.11,25.19,25.00,25.07,29800,25.07
2010-11-08,25.57,25.59,25.34,25.34,29600,24.95
2010-11-05,25.30,25.50,25.30,25.50,31200,25.10
2010-11-04,25.18,25.37,25.14,25.37,37800,24.98
2010-11-03,25.26,25.34,25.10,25.18,34200,24.79
2010-11-02,25.42,25.50,25.26,25.26,30300,24.87
2010-11-01,25.35,25.38,25.22,25.36,27000,24.97
2010-10-29,25.26,25.33,25.22,25.22,19800,24.83
2010-10-28,25.26,25.30,25.18,25.22,26800,24.83
2010-10-27,25.14,25.35,25.14,25.16,31600,24.77
2010-10-26,25.23,25.42,25.19,25.28,41400,24.89
2010-10-25,25.24,25.55,25.22,25.22,42200,24.83
2010-10-22,25.23,25.38,25.19,25.23,25600,24.84
2010-10-21,25.21,25.42,25.00,25.25,72000,24.86
2010-10-20,25.18,25.34,25.06,25.06,26800,24.67
2010-10-19,25.15,25.24,25.05,25.07,23700,24.68
2010-10-18,25.05,25.18,25.00,25.04,31100,24.65
2010-10-15,25.14,25.33,24.70,25.33,61800,24.94
2010-10-14,25.28,25.29,25.14,25.21,22400,24.82
2010-10-13,25.22,25.27,25.16,25.17,39300,24.78
2010-10-12,25.16,25.38,25.16,25.23,42100,24.84
2010-10-11,25.16,25.24,25.15,25.23,19500,24.84
2010-10-08,25.30,25.30,25.09,25.20,56500,24.81
2010-10-07,25.12,25.23,25.11,25.19,48700,24.80
2010-10-06,25.30,25.31,25.13,25.13,70300,24.74
2010-10-05,25.32,25.34,25.10,25.22,92200,24.83
2010-10-04,25.21,25.29,25.20,25.20,35200,24.81
2010-10-01,25.23,25.32,25.20,25.20,28400,24.81
2010-09-30,25.37,25.37,25.18,25.18,24100,24.79
2010-09-29,25.33,25.33,25.20,25.31,56700,24.92
2010-09-28,25.50,25.52,25.23,25.23,30200,24.84
2010-09-27,25.36,25.55,25.36,25.50,20700,25.10
2010-09-24,25.42,25.51,25.22,25.39,56600,25.00
2010-09-23,25.32,25.44,25.26,25.27,24100,24.88
2010-09-22,25.20,25.52,25.20,25.44,37100,25.04
2010-09-21,25.26,25.33,25.16,25.20,47100,24.81
2010-09-20,25.35,25.35,25.22,25.26,29900,24.87
2010-09-17,25.21,25.37,25.18,25.37,61200,24.98
2010-09-16,25.29,25.29,25.18,25.18,43700,24.79
2010-09-15,25.27,25.29,25.05,25.23,96000,24.84
2010-09-14,25.24,25.45,25.17,25.17,56600,24.78
2010-09-13,25.41,25.43,25.26,25.30,23200,24.91
2010-09-10,25.13,25.44,25.13,25.22,53900,24.83
2010-09-09,25.42,25.48,25.11,25.11,53100,24.72
2010-09-08,25.52,25.66,25.36,25.37,54000,24.98
2010-09-07,25.38,25.75,25.31,25.69,60700,25.29
2010-09-03,25.29,25.51,25.21,25.44,18500,25.04
2010-09-02,25.22,25.34,25.22,25.25,35900,24.86
2010-09-01,25.39,25.39,25.24,25.34,43300,24.95
2010-08-31,25.08,25.27,25.04,25.25,44800,24.86
2010-08-30,25.07,25.15,25.05,25.13,32400,24.74
2010-08-27,25.05,25.15,25.02,25.06,29300,24.67
2010-08-26,25.11,25.19,25.00,25.00,43900,24.61
2010-08-25,25.00,25.23,25.00,25.11,42400,24.72
2010-08-24,24.98,25.13,24.93,25.06,77800,24.67
2010-08-23,25.11,25.20,25.08,25.10,70600,24.71
2010-08-20,25.11,25.20,24.94,25.13,51000,24.74
2010-08-19,25.04,25.23,25.01,25.15,64800,24.76
2010-08-18,25.08,25.14,25.02,25.08,71800,24.69
2010-08-17,25.04,25.11,24.95,25.06,88100,24.67
2010-08-16,25.02,25.08,24.90,25.02,59800,24.63
2010-08-13,24.72,25.12,24.72,25.08,58200,24.69
2010-08-12,24.53,25.00,24.52,24.90,47300,24.51
2010-08-11,24.60,24.70,24.46,24.62,155300,24.24
2010-08-10,25.09,25.25,25.01,25.05,46200,24.27
2010-08-09,25.09,25.21,25.05,25.19,38200,24.41
2010-08-06,25.08,25.18,25.02,25.12,38800,24.34
2010-08-05,25.07,25.18,25.04,25.14,47900,24.36
2010-08-04,24.99,25.15,24.95,25.13,68900,24.35
2010-08-03,24.77,24.99,24.77,24.99,73100,24.21
2010-08-02,24.90,24.99,24.90,24.97,37000,24.20
2010-07-30,24.86,24.93,24.75,24.90,36400,24.13
2010-07-29,24.86,24.98,24.78,24.97,35200,24.20
2010-07-28,24.86,24.96,24.77,24.89,28600,24.12
2010-07-27,25.02,25.09,24.85,25.00,63000,24.22
2010-07-26,24.92,25.02,24.89,24.98,113000,24.20
2010-07-23,24.80,24.99,24.71,24.96,71600,24.19
2010-07-22,24.68,24.85,24.67,24.74,48400,23.97
2010-07-21,24.75,24.83,24.70,24.77,48200,24.00
2010-07-20,24.63,24.75,24.53,24.75,47600,23.98
2010-07-19,24.65,24.68,24.52,24.68,44700,23.91
2010-07-16,24.56,24.69,24.49,24.64,25100,23.88
2010-07-15,24.50,24.68,24.37,24.59,37300,23.83
2010-07-14,24.32,24.56,24.32,24.52,37000,23.76
2010-07-13,24.28,24.47,24.25,24.42,51400,23.66
2010-07-12,24.18,24.30,24.10,24.16,57300,23.41
2010-07-09,24.18,24.29,24.11,24.26,17800,23.51
2010-07-08,23.98,24.25,23.93,24.17,44700,23.42
2010-07-07,23.84,24.00,23.84,23.96,44500,23.22
2010-07-06,23.87,23.97,23.87,23.90,26100,23.16
2010-07-02,23.80,23.87,23.75,23.87,20700,23.13
2010-07-01,23.52,23.74,23.50,23.74,26800,23.00
