0.97
Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,84.81,85.80,84.28,85.52,776300,85.52
2010-12-03,85.10,85.36,83.76,84.96,948800,84.96
2010-12-02,84.45,85.84,84.02,85.39,1303600,85.39
2010-12-01,84.13,84.78,83.88,83.99,1427200,83.99
2010-11-30,83.00,83.66,82.50,82.88,1335700,82.88
2010-11-29,83.96,85.11,81.85,83.33,1090500,83.33
2010-11-26,83.87,84.25,83.56,83.82,230800,83.82
2010-11-24,83.95,84.45,83.57,84.45,584800,84.45
2010-11-23,82.62,83.24,82.07,82.95,771400,82.95
2010-11-22,82.29,83.65,81.94,83.40,764800,83.40
2010-11-19,81.72,82.57,80.81,82.55,766000,82.55
2010-11-18,81.75,82.22,81.42,81.51,678800,81.51
2010-11-17,78.99,80.97,78.98,80.70,834600,80.70
2010-11-16,79.28,80.14,78.21,78.76,995500,78.76
2010-11-15,79.79,81.08,79.50,79.76,927500,79.76
2010-11-12,80.47,81.00,79.20,79.36,904600,79.36
2010-11-11,79.96,81.05,79.76,80.86,1255100,80.86
2010-11-10,82.02,82.08,79.87,80.43,2200000,80.43
2010-11-09,84.53,84.53,82.73,83.03,881800,83.03
2010-11-08,84.75,84.77,83.76,84.33,748500,84.33
2010-11-05,83.69,85.52,83.69,84.97,691800,84.97
2010-11-04,84.21,84.35,83.27,83.53,1074000,83.53
2010-11-03,83.62,83.64,81.92,83.11,848700,83.11
2010-11-02,84.02,84.52,83.32,83.33,611000,83.33
2010-11-01,83.75,84.34,82.64,83.27,531000,83.27
2010-10-29,83.76,84.31,83.05,83.24,1066600,83.24
2010-10-28,83.49,83.91,82.41,83.84,1298000,83.84
2010-10-27,84.85,84.86,81.59,82.91,1768600,82.91
2010-10-26,84.73,86.20,84.48,85.64,1049000,85.64
2010-10-25,86.58,86.58,85.15,85.25,825000,85.25
2010-10-22,85.48,86.36,85.12,86.00,924100,86.00
2010-10-21,84.68,89.30,83.56,85.19,2282600,85.19
2010-10-20,86.22,87.69,85.87,87.46,1782100,87.46
2010-10-19,85.46,86.45,85.00,85.61,860200,85.61
2010-10-18,86.12,86.76,85.58,86.57,672900,86.57
2010-10-15,86.77,86.77,85.40,85.97,705700,85.97
2010-10-14,84.62,86.11,84.62,85.94,887000,85.94
2010-10-13,85.50,85.66,84.54,84.64,765500,84.64
2010-10-12,85.04,85.16,83.83,84.87,832700,84.87
2010-10-11,84.07,85.64,84.07,85.24,805700,85.24
2010-10-08,82.35,84.73,82.10,84.33,712200,84.33
2010-10-07,82.79,82.91,81.97,82.47,623500,82.47
2010-10-06,82.52,82.76,81.75,82.31,601300,82.31
2010-10-05,81.59,82.89,81.03,82.60,910900,82.60
2010-10-04,80.82,81.56,80.42,80.81,876600,80.81
2010-10-01,81.53,81.85,80.37,80.82,763300,80.82
2010-09-30,81.50,81.91,80.33,81.02,769000,81.02
2010-09-29,80.32,81.33,80.05,80.85,672700,80.85
2010-09-28,79.68,80.88,78.52,80.72,617000,80.72
2010-09-27,79.24,79.98,78.77,79.67,735600,79.67
2010-09-24,78.33,79.02,78.29,79.02,796200,79.02
2010-09-23,77.34,77.94,77.02,77.31,570800,77.31
2010-09-22,78.71,79.03,77.53,77.94,768900,77.94
2010-09-21,79.01,79.07,78.07,78.44,846400,78.44
2010-09-20,77.85,79.00,77.79,78.92,602000,78.92
2010-09-17,78.09,78.20,77.20,77.48,803400,77.48
2010-09-16,77.48,77.76,77.01,77.60,607300,77.60
2010-09-15,76.89,78.15,76.76,78.04,637600,78.04
2010-09-14,76.11,77.46,76.00,77.19,650200,77.19
2010-09-13,76.07,76.64,75.78,76.21,569100,76.21
2010-09-10,75.45,75.81,74.92,75.51,503600,75.51
2010-09-09,75.97,76.34,74.83,75.07,449300,75.07
2010-09-08,74.68,75.83,74.41,75.09,896800,75.09
2010-09-07,75.35,75.64,74.77,74.83,764000,74.23
2010-09-03,75.26,75.66,74.47,75.58,987700,74.97
2010-09-02,73.26,74.53,73.26,74.27,697000,73.67
2010-09-01,71.64,73.78,71.63,73.25,1128100,72.66
2010-08-31,70.90,71.85,70.09,70.57,1882900,70.00
2010-08-30,73.87,74.67,72.81,72.81,781300,72.23
2010-08-27,73.62,74.06,72.50,73.88,999200,73.29
2010-08-26,74.91,74.98,73.08,73.19,823500,72.60
2010-08-25,73.98,74.75,72.95,74.71,766300,74.11
2010-08-24,74.35,74.94,73.26,74.48,1185000,73.88
2010-08-23,75.69,76.69,75.26,75.30,1282700,74.70
2010-08-20,75.42,75.73,74.69,75.54,956400,74.93
2010-08-19,77.44,77.44,75.62,75.94,889300,75.33
2010-08-18,77.66,78.24,76.87,77.66,929500,77.04
2010-08-17,77.35,78.45,76.85,77.82,437400,77.20
2010-08-16,76.23,76.96,75.25,76.61,462600,76.00
2010-08-13,76.85,77.31,76.47,76.51,487600,75.90
2010-08-12,77.01,77.26,76.24,77.11,830800,76.49
2010-08-11,79.00,79.09,77.31,77.86,833000,77.24
2010-08-10,79.95,80.55,78.96,80.26,831200,79.62
2010-08-09,81.17,81.25,80.31,80.50,671100,79.85
2010-08-06,80.10,80.98,79.51,80.58,749600,79.93
2010-08-05,80.34,80.99,79.74,80.79,514100,80.14
2010-08-04,79.81,81.25,79.74,81.10,552900,80.45
2010-08-03,80.28,80.58,79.34,79.48,554700,78.84
2010-08-02,80.48,81.46,80.34,80.90,876900,80.25
2010-07-30,78.23,79.47,77.81,79.33,1088600,78.69
2010-07-29,79.86,80.22,78.12,79.23,792700,78.59
2010-07-28,80.02,80.66,78.93,79.54,813900,78.90
2010-07-27,82.00,82.11,79.53,80.36,1156000,79.72
2010-07-26,80.02,82.11,79.63,81.88,1242500,81.22
2010-07-23,78.98,80.77,78.98,79.78,1744900,79.14
2010-07-22,78.21,79.47,76.12,78.40,1637100,77.77
2010-07-21,75.44,75.64,73.77,73.96,1077800,73.37
2010-07-20,71.64,75.03,71.56,75.00,857000,74.40
2010-07-19,73.24,73.84,72.10,72.79,676100,72.21
2010-07-16,75.71,75.85,72.68,72.87,1066800,72.29
2010-07-15,76.09,76.46,74.91,76.06,1103200,75.45
2010-07-14,75.79,76.25,74.94,76.16,1003300,75.55
2010-07-13,75.53,76.57,75.07,76.19,688700,75.58
2010-07-12,74.52,75.35,73.92,74.37,907200,73.77
2010-07-09,75.07,75.07,73.84,74.90,796200,74.30
2010-07-08,72.89,74.46,72.89,74.27,1098100,73.67
2010-07-07,69.96,72.69,69.77,72.55,935400,71.97
2010-07-06,71.30,71.87,69.24,69.91,821400,69.35
2010-07-02,71.61,72.09,70.29,70.62,746900,70.05
2010-07-01,71.05,72.16,69.86,71.52,1068600,70.95
2010-06-30,72.00,72.68,71.04,71.18,1251900,70.61
2010-06-29,74.00,74.04,71.70,72.24,1549600,71.66
2010-06-28,75.24,76.12,74.75,75.21,691000,74.61
2010-06-25,74.71,75.43,74.07,75.33,1465300,74.73
2010-06-24,75.75,75.78,74.27,74.72,1161600,74.12
2010-06-23,76.32,76.59,75.17,76.03,1095200,75.42
2010-06-22,78.94,79.57,76.26,76.37,865100,75.76
2010-06-21,80.06,80.17,78.13,78.57,967300,77.94
2010-06-18,78.73,79.71,78.39,79.16,971000,78.53
2010-06-17,79.45,79.58,78.00,78.60,1405700,77.97
2010-06-16,79.73,80.00,78.61,79.25,1098400,78.61
2010-06-15,78.47,80.15,78.06,80.03,810900,79.39
2010-06-14,78.28,79.07,77.82,78.09,714800,77.46
2010-06-11,76.98,78.29,76.89,77.77,970900,77.15
2010-06-10,76.17,77.63,75.78,77.53,686400,76.91
2010-06-09,74.33,75.88,74.33,74.66,1059300,74.06
2010-06-08,73.27,73.99,72.15,73.90,1013000,73.31
2010-06-07,74.69,74.94,73.20,73.26,992300,72.67
2010-06-04,76.58,76.58,74.05,74.43,944200,73.83
2010-06-03,78.01,78.59,77.46,78.11,710100,76.89
2010-06-02,76.01,78.00,75.30,78.00,1106300,76.78
2010-06-01,76.78,77.83,75.77,75.83,817600,74.64
2010-05-28,77.89,78.48,76.84,77.35,975100,76.14
2010-05-27,77.45,77.87,76.79,77.83,1889900,76.61
2010-05-26,77.71,77.98,75.94,76.09,1682100,74.90
2010-05-25,75.92,77.24,74.92,77.04,2133100,75.84
2010-05-24,77.92,78.44,77.24,77.35,549300,76.14
2010-05-21,75.63,78.83,75.02,77.89,1025500,76.67
2010-05-20,78.25,78.53,76.27,76.89,1223100,75.69
2010-05-19,80.27,80.83,78.81,79.97,1116300,78.72
2010-05-18,82.36,83.07,80.73,80.75,986400,79.49
2010-05-17,81.93,81.98,79.74,81.50,822800,80.23
2010-05-14,82.80,83.16,81.18,81.82,933700,80.54
2010-05-13,84.74,84.88,83.15,83.34,756400,82.04
2010-05-12,83.43,84.88,83.29,84.51,791900,83.19
2010-05-11,81.95,84.70,81.74,83.36,998400,82.06
2010-05-10,82.52,83.45,81.66,83.11,1056800,81.81
2010-05-07,80.05,81.08,77.90,78.89,1349700,77.66
2010-05-06,83.02,83.50,75.58,80.48,1373300,79.22
2010-05-05,83.41,84.32,82.76,83.27,1255100,81.97
2010-05-04,84.89,85.37,83.76,84.00,924900,82.69
2010-05-03,86.61,87.66,85.87,86.08,1127700,84.73
2010-04-30,88.81,89.23,86.41,86.42,1442200,85.07
2010-04-29,86.32,87.26,85.80,87.12,499800,85.76
2010-04-28,85.80,86.89,85.08,85.66,661000,84.32
2010-04-27,86.90,86.98,85.28,85.49,1030800,84.15
2010-04-26,86.52,87.77,86.31,87.26,735500,85.90
2010-04-23,86.59,86.98,85.94,86.66,1015400,85.30
2010-04-22,83.96,86.95,83.71,86.84,1337100,85.48
2010-04-21,83.67,84.44,83.47,84.32,526400,83.00
2010-04-20,82.82,83.59,82.65,83.56,479200,82.25
2010-04-19,82.30,83.16,81.90,82.62,697400,81.33
2010-04-16,83.31,84.06,82.31,82.52,651700,81.23
2010-04-15,83.43,83.89,83.02,83.70,508600,82.39
2010-04-14,84.48,84.50,82.88,83.70,1302700,82.39
2010-04-13,83.79,84.44,83.05,84.25,538700,82.93
2010-04-12,84.07,84.30,83.56,83.91,686100,82.60
2010-04-09,83.57,83.73,82.04,83.66,1110200,82.35
2010-04-08,82.06,82.21,81.39,82.08,595500,80.80
2010-04-07,82.35,82.87,81.94,82.13,745100,80.85
2010-04-06,81.77,82.82,81.64,82.51,600300,81.22
2010-04-05,81.20,82.53,81.09,82.02,665800,80.74
2010-04-01,80.59,81.20,80.52,81.02,484700,79.75
2010-03-31,79.71,80.57,79.62,80.15,619500,78.90
2010-03-30,80.53,80.78,79.87,79.94,606500,78.69
2010-03-29,80.87,80.87,79.73,80.41,678900,79.15
2010-03-26,79.80,80.91,79.61,80.51,1245400,79.25
2010-03-25,80.56,80.91,79.44,79.46,1053000,78.22
2010-03-24,80.57,80.89,79.81,79.91,774100,78.66
2010-03-23,80.26,80.99,80.02,80.99,768300,79.72
2010-03-22,79.27,80.81,79.02,80.20,853700,78.95
2010-03-19,80.10,80.24,79.51,79.71,1069800,78.46
2010-03-18,80.34,80.95,79.30,79.86,920000,78.61
2010-03-17,79.95,80.62,79.91,80.39,854800,79.13
2010-03-16,79.87,80.00,79.41,79.88,532400,78.63
2010-03-15,79.35,79.85,78.94,79.71,874800,78.46
2010-03-12,79.97,80.00,79.05,79.63,480400,78.38
2010-03-11,79.61,79.81,78.88,79.80,597700,78.55
2010-03-10,79.61,79.99,79.33,79.95,641700,78.70
2010-03-09,79.79,80.00,79.52,79.75,716600,78.50
