2.04Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,81.40,83.98,80.61,83.75,2775400,83.75
2010-12-03,78.09,80.50,77.58,80.06,2297700,80.06
2010-12-02,74.56,78.98,74.47,78.81,2805700,78.81
2010-12-01,74.18,75.99,73.92,74.30,2639300,74.30
2010-11-30,74.21,74.37,72.95,73.00,1917400,73.00
2010-11-29,74.75,75.59,73.87,75.13,1096500,75.13
2010-11-26,74.94,75.49,74.50,75.00,473800,75.00
2010-11-24,75.19,75.75,74.55,75.73,1054100,75.73
2010-11-23,74.69,75.08,73.97,74.31,1162800,74.31
2010-11-22,76.42,76.65,75.43,75.64,1749500,75.64
2010-11-19,75.98,77.02,75.38,76.62,1339600,76.62
2010-11-18,75.23,77.07,74.49,76.15,2282000,76.15
2010-11-17,74.09,74.75,73.79,74.37,1113900,74.37
2010-11-16,74.61,75.50,73.62,74.19,1942700,73.76
2010-11-15,74.71,75.95,74.62,75.16,2323400,74.72
2010-11-12,75.42,76.40,73.44,74.13,3658500,73.70
2010-11-11,76.76,77.01,75.55,76.13,1943300,75.69
2010-11-10,76.34,77.73,75.92,77.64,1367600,77.19
2010-11-09,78.53,78.90,76.03,76.45,2307200,76.01
2010-11-08,79.54,79.55,77.46,78.47,2027100,78.02
2010-11-05,79.95,80.77,79.35,80.07,1830700,79.61
2010-11-04,78.80,79.89,78.21,79.80,2003500,79.34
2010-11-03,77.16,77.98,76.60,77.46,2124700,77.01
2010-11-02,75.93,77.65,74.75,77.22,1860000,76.77
2010-11-01,76.25,76.65,74.43,75.27,1288300,74.83
2010-10-29,77.21,77.60,75.33,75.83,3085600,75.39
2010-10-28,81.38,81.38,77.00,77.00,2934300,76.55
2010-10-27,83.28,83.28,77.81,81.04,5528100,80.57
2010-10-26,84.34,86.02,83.71,84.52,1410700,84.03
2010-10-25,86.28,87.44,84.73,84.81,1469400,84.32
2010-10-22,85.57,85.91,84.42,85.56,909600,85.06
