Date,Open,High,Low,Close,Volume,Adj Close
2010-08-19,481.01,482.51,467.25,467.97,3925000,467.97
2010-08-18,490.44,490.87,481.55,482.15,2686400,482.15
2010-08-17,488.53,494.70,486.03,490.52,1890700,490.52
2010-08-16,483.68,489.87,480.50,485.59,1305000,485.59
2010-08-13,489.00,491.19,486.01,486.35,1934700,486.35
2010-08-12,483.94,494.75,482.51,492.01,2204600,492.01
2010-08-11,497.73,498.00,491.50,491.74,2223000,491.74
2010-08-10,502.35,506.00,498.57,503.71,2074000,503.71
2010-08-09,502.25,505.50,501.36,505.35,1872200,505.35
2010-08-06,505.40,505.74,496.05,500.22,3319500,500.22
2010-08-05,505.89,508.60,503.56,508.10,2420400,508.10
2010-08-04,492.18,507.00,491.05,506.32,3812500,506.32
2010-08-03,490.50,492.46,486.76,489.83,1802300,489.83
2010-08-02,488.99,493.28,486.94,490.41,1858700,490.41
2010-07-30,479.65,487.36,479.14,484.85,2144100,484.85
2010-07-29,485.95,488.88,479.33,484.99,2675500,484.99
2010-07-28,494.94,495.25,482.67,484.35,2496000,484.35
2010-07-27,490.58,497.50,490.17,492.63,2451200,492.63
2010-07-26,489.09,490.75,484.88,488.97,1995200,488.97
2010-07-23,480.77,490.59,480.01,490.06,2264400,490.06
2010-07-22,483.23,488.98,482.48,484.81,2147700,484.81
2010-07-21,484.00,485.70,475.43,477.50,3279600,477.50
2010-07-20,461.03,482.99,460.60,481.59,4054500,481.59
2010-07-19,461.01,469.65,457.52,466.18,4550300,466.18
2010-07-16,469.12,470.56,459.52,459.61,7824800,459.61
2010-07-15,491.73,494.70,482.68,494.02,4858200,494.02
2010-07-14,489.88,493.83,486.46,491.34,3118000,491.34
2010-07-13,482.25,492.99,480.28,489.20,3976300,489.20
2010-07-12,472.37,479.44,471.08,475.83,3334400,475.83
2010-07-09,471.96,473.26,462.78,467.49,4331500,467.49
2010-07-08,453.55,457.33,449.66,456.56,2668900,456.56
2010-07-07,438.31,451.29,435.38,450.20,3129700,450.20
2010-07-06,444.00,447.67,433.63,436.07,2560100,436.07
2010-07-02,441.62,442.28,436.00,436.55,1936000,436.55
2010-07-01,445.29,448.40,433.63,439.49,3513600,439.49
2010-06-30,454.96,457.83,444.72,444.95,3603200,444.95
2010-06-29,463.44,464.55,451.12,454.26,3502100,454.26
2010-06-28,472.59,477.55,469.01,472.08,1762300,472.08
2010-06-25,477.06,477.65,470.56,472.68,2245200,472.68
2010-06-24,479.66,482.75,473.26,475.10,1893600,475.10
2010-06-23,486.89,486.89,478.16,482.05,2029100,482.05
2010-06-22,489.90,496.60,485.73,486.25,2219700,486.25
2010-06-21,499.90,500.97,484.89,488.56,2983500,488.56
2010-06-18,502.51,503.47,498.13,500.03,2872900,500.03
2010-06-17,503.45,505.87,496.69,500.08,1977300,500.08
2010-06-16,496.17,504.00,496.11,501.27,2289300,501.27
2010-06-15,483.08,500.40,482.18,497.99,4259600,497.99
2010-06-14,494.48,494.50,483.19,483.19,2040400,483.19
2010-06-11,482.50,488.71,481.62,488.50,1781700,488.50
2010-06-10,480.37,488.50,475.84,487.01,2577900,487.01
2010-06-09,487.22,488.88,472.00,474.02,2729000,474.02
2010-06-08,487.85,488.84,477.54,484.78,2685100,484.78
2010-06-07,499.06,500.91,483.15,485.52,3632700,485.52
2010-06-04,499.72,509.25,496.70,498.72,3920300,498.72
2010-06-03,495.11,508.00,494.70,505.60,3650700,505.60
2010-06-02,486.68,493.87,481.46,493.37,2540800,493.37
2010-06-01,480.43,491.06,480.12,482.37,2666800,482.37
2010-05-28,492.74,493.45,483.00,485.63,2894800,485.63
2010-05-27,484.95,492.31,481.05,490.46,2809100,490.46
2010-05-26,482.07,489.76,475.00,475.47,3475600,475.47
2010-05-25,468.15,477.45,464.01,477.07,3017400,477.07
2010-05-24,480.73,489.79,476.80,477.16,4345600,477.16
2010-05-21,469.06,485.00,464.40,472.05,9690800,472.05
2010-05-20,485.07,485.58,473.80,475.01,4913300,475.01
2010-05-19,496.26,499.44,487.74,494.43,3445700,494.43
2010-05-18,510.00,510.97,497.07,498.37,2825500,498.37
2010-05-17,506.78,508.36,498.35,507.97,2793800,507.97
2010-05-14,509.77,510.99,496.25,507.53,4116000,507.53
2010-05-13,516.50,522.00,510.37,510.88,3325800,510.88
2010-05-12,512.04,512.04,502.00,505.39,3851800,505.39
2010-05-11,515.67,519.88,508.22,509.05,3322600,509.05
2010-05-10,513.97,522.82,512.60,521.65,4128000,521.65
2010-05-07,499.97,505.32,481.33,493.14,5089000,493.14
2010-05-06,508.75,517.52,460.00,498.67,5000100,498.67
2010-05-05,500.98,515.72,500.47,509.76,4582200,509.76
2010-05-04,526.52,526.74,504.21,506.37,6076300,506.37
2010-05-03,526.50,532.92,525.08,530.60,1857800,530.60
2010-04-30,531.13,537.68,525.44,525.70,2435400,525.70
2010-04-29,533.37,536.50,526.67,532.00,3058900,532.00
2010-04-28,532.10,534.83,521.03,529.19,3406100,529.19
2010-04-27,528.95,538.33,527.23,529.06,3844700,529.06
2010-04-26,544.97,544.99,529.21,531.64,4368800,531.64
2010-04-23,547.25,549.32,542.27,544.99,2089400,544.99
2010-04-22,552.00,552.50,543.35,547.06,3280700,547.06
2010-04-21,556.46,560.25,552.16,554.30,2391500,554.30
2010-04-20,554.17,559.66,551.06,555.04,2977400,555.04
2010-04-19,548.75,553.99,545.00,550.10,3894000,550.10
2010-04-16,563.00,568.81,549.63,550.15,12235500,550.15
2010-04-15,592.17,597.84,588.29,595.30,6761800,595.30
2010-04-14,590.06,592.34,584.01,589.00,3402700,589.00
2010-04-13,572.53,588.88,571.13,586.77,3912300,586.77
2010-04-12,567.35,574.00,566.22,572.73,2352400,572.73
2010-04-09,567.49,568.77,564.00,566.22,2056600,566.22
2010-04-08,563.32,569.85,560.05,567.49,1947500,567.49
2010-04-07,567.30,568.75,561.86,563.54,2581000,563.54
2010-04-06,569.46,570.89,565.40,568.22,2060100,568.22
2010-04-05,570.90,574.88,569.00,571.01,1901500,571.01
2010-04-01,571.35,573.45,565.55,568.80,2102700,568.80
2010-03-31,565.05,569.74,562.81,567.12,3030800,567.12
2010-03-30,562.83,567.63,560.28,566.71,1977900,566.71
2010-03-29,563.00,564.72,560.57,562.45,3104500,562.45
2010-03-26,565.27,567.39,560.02,562.69,2696200,562.69
2010-03-25,559.02,572.00,558.66,562.88,3930900,562.88
2010-03-24,545.51,559.85,539.70,557.33,6565200,557.33
2010-03-23,557.04,558.31,542.00,549.00,5501300,549.00
2010-03-22,556.11,566.85,554.28,557.50,4004800,557.50
2010-03-19,566.23,568.00,557.28,560.00,4792400,560.00
2010-03-18,564.72,568.44,562.96,566.40,1777200,566.40
2010-03-17,568.30,571.45,564.25,565.56,3321600,565.56
2010-03-16,561.83,568.42,560.76,565.20,3431500,565.20
2010-03-15,566.68,569.45,556.00,563.18,4653900,563.18
2010-03-12,588.14,588.28,579.16,579.54,2753400,579.54
