Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,59.69,59.81,59.12,59.43,1510700,59.43
2010-12-02,59.55,60.17,59.48,59.84,2135100,59.84
2010-12-01,59.31,59.62,58.90,59.48,1527500,59.48
2010-11-30,58.93,59.28,58.43,58.52,2652000,58.52
2010-11-29,58.49,59.40,58.36,59.27,1392100,59.27
2010-11-26,59.02,59.31,58.90,58.91,539100,58.91
2010-11-24,59.09,59.69,58.82,59.68,1171400,59.68
2010-11-23,59.25,59.68,58.72,58.77,2499500,58.77
2010-11-22,60.00,60.23,59.75,60.14,1195000,60.14
2010-11-19,60.17,60.53,59.83,60.45,1828600,60.45
2010-11-18,59.55,60.43,59.34,60.27,1789300,60.27
2010-11-17,58.84,59.20,58.65,58.99,1511200,58.99
2010-11-16,59.84,60.00,58.76,58.89,2122700,58.89
2010-11-15,59.98,60.65,59.93,60.07,1168000,60.07
2010-11-12,60.00,60.34,59.79,59.80,1374100,59.80
2010-11-11,60.78,60.83,60.12,60.16,2008400,60.16
2010-11-10,60.17,61.10,60.14,61.08,2166900,61.08
2010-11-09,61.10,61.20,60.03,60.24,2102700,60.24
2010-11-08,61.73,61.78,60.85,61.11,1202400,61.11
2010-11-05,62.08,62.49,61.51,61.88,1576700,61.88
2010-11-04,61.17,62.41,61.00,62.26,2010900,62.26
2010-11-03,60.68,60.91,59.92,60.54,1635600,60.54
2010-11-02,60.62,60.97,60.47,60.57,1386600,60.57
2010-11-01,59.81,60.94,59.67,60.30,1423800,60.30
2010-10-29,59.83,59.83,59.25,59.42,1390700,59.42
2010-10-28,61.00,61.15,59.27,59.69,2046900,59.69
2010-10-27,60.74,60.91,59.88,60.45,2306500,60.45
2010-10-26,60.64,61.38,60.42,61.26,1947800,61.26
2010-10-25,60.72,61.09,60.56,60.72,1685000,60.72
2010-10-22,60.63,61.00,60.25,60.38,1382700,60.38
2010-10-21,60.80,60.99,60.18,60.43,1895800,60.43
2010-10-20,59.59,60.84,59.48,60.57,2035500,60.57
2010-10-19,59.96,60.60,59.19,59.41,1886500,59.41
2010-10-18,59.88,60.40,59.57,60.40,1394400,60.40
2010-10-15,59.96,60.04,59.58,59.67,1639200,59.67
2010-10-14,59.63,60.19,59.48,59.74,2076800,59.74
2010-10-13,59.75,60.00,59.58,59.69,1855200,59.69
2010-10-12,58.85,59.75,58.66,59.69,1545200,59.69
2010-10-11,58.87,59.35,58.78,59.18,736400,59.18
2010-10-08,58.91,59.12,58.62,58.91,1465200,58.91
2010-10-07,59.30,59.49,58.70,59.01,1271400,59.01
2010-10-06,59.30,59.46,58.93,59.10,1289800,59.10
2010-10-05,58.36,59.57,57.75,59.50,2253600,59.50
2010-10-04,58.08,58.47,57.75,58.10,1235000,58.10
2010-10-01,58.68,58.86,57.65,58.19,1633200,58.19
2010-09-30,58.03,58.97,58.03,58.25,3516000,58.25
2010-09-29,57.79,58.06,57.50,57.74,2210300,57.74
2010-09-28,57.76,58.56,57.28,58.42,1519800,58.09
2010-09-27,57.87,58.28,57.53,57.57,1210700,57.24
2010-09-24,57.38,58.54,57.31,58.05,2054600,57.72
2010-09-23,57.36,57.69,56.85,56.85,1986000,56.53
