Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,15.82,15.92,15.67,15.90,6587800,15.90
2010-12-02,15.73,15.87,15.64,15.84,2317600,15.84
2010-12-01,15.78,15.83,15.65,15.76,3063700,15.76
2010-11-30,15.50,15.64,15.48,15.63,3720200,15.63
2010-11-29,15.68,15.69,15.44,15.60,3034400,15.60
2010-11-26,15.91,15.92,15.73,15.79,1486100,15.79
2010-11-24,15.91,15.95,15.82,15.92,1956100,15.92
2010-11-23,15.76,15.83,15.64,15.76,2804100,15.76
2010-11-22,15.82,15.91,15.72,15.87,2583700,15.87
2010-11-19,15.88,15.90,15.64,15.82,3691500,15.82
2010-11-18,15.84,15.89,15.77,15.85,2321700,15.85
2010-11-17,15.94,15.95,15.66,15.69,5196100,15.69
2010-11-16,16.16,16.21,15.75,15.88,4563800,15.88
2010-11-15,16.20,16.29,16.17,16.22,2734900,16.22
2010-11-12,16.41,16.41,16.07,16.11,6524200,16.11
2010-11-11,16.49,16.62,16.48,16.59,4154200,16.39
2010-11-10,16.59,16.59,16.46,16.58,3321400,16.39
2010-11-09,16.56,16.69,16.51,16.60,4078500,16.40
2010-11-08,16.63,16.64,16.40,16.55,5042800,16.36
2010-11-05,16.86,16.92,16.55,16.68,7082700,16.48
2010-11-04,16.90,17.00,16.81,16.92,5654300,16.72
2010-11-03,16.81,16.82,16.59,16.72,3864900,16.52
2010-11-02,16.76,16.88,16.72,16.77,3985700,16.57
2010-11-01,16.66,16.74,16.40,16.55,2532800,16.36
2010-10-29,16.41,16.62,16.31,16.56,3930000,16.37
2010-10-28,16.42,16.55,16.28,16.39,4175900,16.20
2010-10-27,16.31,16.43,16.20,16.42,2934300,16.23
2010-10-26,16.37,16.56,16.35,16.42,3866500,16.23
2010-10-25,16.54,16.59,16.35,16.40,1975200,16.21
2010-10-22,16.40,16.53,16.23,16.42,5545100,16.23
2010-10-21,16.45,16.56,16.28,16.39,3227000,16.20
2010-10-20,16.15,16.46,16.14,16.39,6131200,16.20
2010-10-19,16.00,16.24,16.00,16.15,5188500,15.96
2010-10-18,16.16,16.26,16.11,16.15,6361500,15.96
2010-10-15,16.11,16.13,16.00,16.13,2754500,15.94
2010-10-14,15.99,16.11,15.88,15.96,2947800,15.77
2010-10-13,16.16,16.18,15.96,15.99,4553800,15.80
2010-10-12,16.11,16.18,16.00,16.08,2716700,15.89
2010-10-11,16.14,16.23,16.05,16.16,3309200,15.97
2010-10-08,16.03,16.13,15.98,16.09,2697500,15.90
2010-10-07,15.97,16.06,15.86,16.00,2206300,15.81
2010-10-06,16.02,16.05,15.79,15.89,3123300,15.70
2010-10-05,15.88,16.05,15.84,16.03,2607300,15.84
2010-10-04,15.90,15.97,15.69,15.78,3258700,15.59
2010-10-01,15.84,16.01,15.73,15.90,3715500,15.71
2010-09-30,15.85,15.98,15.70,15.72,5474700,15.54
2010-09-29,15.81,15.84,15.64,15.76,2083700,15.57
2010-09-28,15.80,15.85,15.59,15.84,4600600,15.65
2010-09-27,15.69,15.81,15.57,15.72,4200800,15.54
2010-09-24,15.41,15.73,15.41,15.65,4592800,15.47
2010-09-23,15.31,15.47,15.24,15.24,4188000,15.06
2010-09-22,15.34,15.56,15.34,15.41,3887500,15.23
2010-09-21,15.40,15.55,15.32,15.36,6046800,15.18
2010-09-20,15.15,15.39,15.05,15.38,4101900,15.20
2010-09-17,15.07,15.12,14.91,15.03,5111600,14.85
2010-09-16,15.07,15.18,14.98,14.99,4211800,14.81
2010-09-15,15.23,15.27,15.07,15.12,4124200,14.94
2010-09-14,15.27,15.37,15.13,15.25,4614300,15.07
2010-09-13,15.33,15.34,15.15,15.26,3409300,15.08
2010-09-10,15.30,15.35,15.11,15.20,5049600,15.02
2010-09-09,15.22,15.32,15.16,15.21,1927300,15.03
2010-09-08,15.33,15.34,15.02,15.06,3871500,14.88
2010-09-07,15.26,15.36,15.13,15.27,4005600,15.09
2010-09-03,15.11,15.26,15.07,15.26,2577200,15.08
2010-09-02,15.15,15.15,14.92,15.06,3334900,14.88
2010-09-01,14.93,15.18,14.85,15.12,4174800,14.94
2010-08-31,14.65,14.90,14.54,14.79,4646100,14.62
2010-08-30,14.86,14.96,14.66,14.67,3275600,14.50
2010-08-27,14.74,14.97,14.54,14.96,3883700,14.78
2010-08-26,14.83,14.84,14.57,14.62,2757800,14.45
2010-08-25,14.60,14.81,14.59,14.77,4379000,14.60
2010-08-24,14.43,14.79,14.40,14.67,3760900,14.50
2010-08-23,14.63,14.74,14.52,14.55,7254700,14.38
2010-08-20,14.36,14.58,14.34,14.55,2375200,14.38
2010-08-19,14.67,14.67,14.37,14.49,3235100,14.32
