0.76
Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,43.24,44.06,43.22,43.81,4473000,43.81
2010-12-03,43.02,43.51,42.93,43.43,5370300,43.43
2010-12-02,44.05,44.05,43.55,43.98,4130100,43.26
2010-12-01,43.49,43.91,43.14,43.91,10393300,43.19
2010-11-30,42.66,43.04,42.51,42.99,9805500,42.28
2010-11-29,42.92,42.92,42.22,42.90,3468900,42.19
2010-11-26,42.52,43.04,42.35,43.04,2220200,42.33
2010-11-24,42.29,42.73,42.24,42.66,3182300,41.96
2010-11-23,42.24,42.30,41.81,42.08,3440700,41.39
2010-11-22,42.74,42.77,42.35,42.53,2899200,41.83
2010-11-19,42.62,42.98,42.39,42.97,2167700,42.26
2010-11-18,42.26,42.64,42.22,42.57,2787100,41.87
2010-11-17,41.64,42.17,41.48,41.90,2322100,41.21
2010-11-16,42.08,42.21,41.40,41.69,3135200,41.00
2010-11-15,42.49,42.68,42.00,42.33,2289800,41.63
2010-11-12,42.19,42.34,41.88,42.08,1849100,41.39
2010-11-11,42.51,42.84,42.25,42.37,2410600,41.67
2010-11-10,42.29,43.00,42.18,42.93,2723500,42.22
2010-11-09,42.57,42.65,42.18,42.28,2985300,41.58
2010-11-08,42.44,42.45,41.95,42.43,1936700,41.73
2010-11-05,42.76,43.28,42.30,42.57,3048200,41.87
2010-11-04,42.10,43.09,41.95,43.05,5366900,42.34
2010-11-03,42.14,42.38,41.67,42.24,5147400,41.54
2010-11-02,41.61,41.83,41.46,41.83,3296300,41.14
2010-11-01,41.57,41.71,41.25,41.44,4332700,40.76
2010-10-29,41.13,41.54,41.10,41.38,4984300,40.70
2010-10-28,41.16,41.36,41.09,41.20,2902700,40.52
2010-10-27,40.93,40.99,40.54,40.88,3325000,40.21
2010-10-26,40.84,41.18,40.72,41.04,2180100,40.36
2010-10-25,40.80,41.15,40.76,40.92,3095100,40.25
2010-10-22,40.45,40.69,40.40,40.59,1708900,39.92
2010-10-21,40.39,40.78,40.30,40.47,2861100,39.80
2010-10-20,39.78,40.28,39.75,40.21,3754500,39.55
2010-10-19,39.70,39.79,39.31,39.52,5844400,38.87
2010-10-18,39.96,40.16,39.81,39.91,2591200,39.25
2010-10-15,40.06,40.42,39.74,39.88,6181100,39.22
2010-10-14,40.01,40.13,39.83,40.02,2473800,39.36
2010-10-13,40.03,40.18,39.81,39.89,3033700,39.23
2010-10-12,39.93,39.94,39.34,39.79,3515000,39.13
2010-10-11,39.79,39.79,39.59,39.76,1690700,39.10
2010-10-08,40.02,40.07,39.18,39.76,3265700,39.10
2010-10-07,40.20,40.34,39.71,40.06,3650700,39.40
2010-10-06,40.04,40.32,39.87,40.26,2785700,39.60
2010-10-05,39.78,40.29,39.62,40.09,3998300,39.43
2010-10-04,39.71,39.90,39.36,39.52,2692500,38.87
2010-10-01,39.62,39.89,39.39,39.77,2350200,39.11
2010-09-30,39.89,40.00,39.45,39.46,3562000,38.81
2010-09-29,39.89,39.93,39.54,39.62,2310300,38.97
2010-09-28,39.42,39.94,39.32,39.90,3812400,39.24
2010-09-27,39.35,39.48,38.90,39.30,3149500,38.65
2010-09-24,39.04,39.25,38.95,39.25,4309600,38.60
2010-09-23,39.18,39.26,38.65,38.75,5179800,38.11
2010-09-22,39.30,39.49,39.18,39.42,3186300,38.77
2010-09-21,39.37,39.49,38.96,39.33,3156900,38.68
2010-09-20,38.99,39.42,38.83,39.28,4770300,38.63
2010-09-17,38.42,39.03,38.21,38.79,6203900,38.15
2010-09-16,37.79,38.08,37.66,38.08,3302200,37.45
2010-09-15,37.54,38.00,37.42,37.93,3438500,37.30
2010-09-14,36.85,37.74,36.84,37.54,4828400,36.92
2010-09-13,36.80,37.02,36.68,36.92,3053100,36.31
2010-09-10,36.46,36.73,36.41,36.66,2032600,36.06
2010-09-09,36.49,36.60,36.42,36.47,2007600,35.87
2010-09-08,36.04,36.43,35.95,36.30,3231800,35.70
2010-09-07,36.19,36.33,35.97,36.00,2610500,35.41
2010-09-03,36.27,36.37,36.01,36.21,3050300,35.61
2010-09-02,36.19,36.30,35.93,36.17,3555000,35.57
2010-09-01,36.38,36.75,36.21,36.73,4805200,35.41
2010-08-31,36.01,36.21,35.91,36.16,4128000,34.86
2010-08-30,36.05,36.20,35.92,35.98,2713800,34.69
2010-08-27,36.11,36.15,35.54,36.12,4245700,34.82
2010-08-26,36.09,36.22,35.95,36.00,3450900,34.71
2010-08-25,35.87,36.05,35.79,35.97,6456000,34.68
2010-08-24,35.75,36.14,35.70,36.01,3464900,34.72
2010-08-23,36.12,36.19,35.86,35.91,2717900,34.62
2010-08-20,35.81,36.03,35.75,35.99,2465200,34.70
2010-08-19,36.18,36.19,35.86,36.05,3274000,34.76
2010-08-18,36.20,36.32,36.00,36.23,3654500,34.93
2010-08-17,36.49,36.49,36.04,36.19,3988100,34.89
2010-08-16,35.98,36.30,35.90,36.26,2876900,34.96
2010-08-13,35.93,36.24,35.93,36.05,2714100,34.76
2010-08-12,36.03,36.19,35.80,35.92,3829700,34.63
2010-08-11,36.08,36.31,36.04,36.24,4475500,34.94
2010-08-10,36.18,36.55,36.09,36.49,4055700,35.18
2010-08-09,36.50,36.50,36.28,36.35,2781000,35.05
2010-08-06,36.07,36.39,36.00,36.39,3333800,35.08
2010-08-05,36.10,36.30,35.99,36.26,3735100,34.96
2010-08-04,35.90,36.36,35.85,36.33,3640700,35.03
2010-08-03,35.93,36.09,35.81,35.87,1898900,34.58
2010-08-02,35.85,36.12,35.72,35.98,4400200,34.69
2010-07-30,35.23,35.80,35.10,35.62,2290300,34.34
2010-07-29,35.66,35.73,35.22,35.40,3125900,34.13
2010-07-28,35.61,35.78,35.52,35.60,2391000,34.32
2010-07-27,35.87,35.95,35.70,35.73,3247000,34.45
2010-07-26,35.65,35.88,35.44,35.87,2995500,34.58
2010-07-23,35.45,35.65,35.37,35.56,3537900,34.28
2010-07-22,35.38,35.76,35.37,35.54,2865800,34.26
2010-07-21,35.14,35.47,35.01,35.18,3500100,33.92
2010-07-20,34.54,35.08,34.52,35.05,3161700,33.79
2010-07-19,34.60,34.99,34.60,34.95,2437400,33.70
2010-07-16,34.74,35.01,34.48,34.58,4321600,33.34
2010-07-15,35.02,35.04,34.64,34.83,2578500,33.58
2010-07-14,34.82,35.02,34.62,35.02,2694900,33.76
2010-07-13,34.72,35.09,34.60,34.86,4027100,33.61
2010-07-12,34.32,34.54,34.24,34.43,2635500,33.19
2010-07-09,34.25,34.55,34.03,34.45,3007100,33.21
2010-07-08,34.44,34.44,34.05,34.34,3813400,33.11
2010-07-07,33.52,34.24,33.37,34.22,5985500,32.99
2010-07-06,33.42,33.59,33.14,33.40,3567100,32.20
2010-07-02,33.38,33.38,32.92,33.15,2655100,31.96
2010-07-01,33.32,33.47,32.98,33.25,5249000,32.06
2010-06-30,33.68,33.84,33.28,33.31,3675400,32.11
2010-06-29,33.91,33.96,33.60,33.73,3641100,32.52
2010-06-28,33.91,34.37,33.90,34.15,3103600,32.92
2010-06-25,34.45,34.45,33.82,33.94,5739000,32.72
2010-06-24,34.43,34.55,34.24,34.29,3276200,33.06
2010-06-23,34.75,34.82,34.37,34.47,2388600,33.23
2010-06-22,35.07,35.09,34.59,34.60,2176200,33.36
2010-06-21,35.12,35.24,34.79,34.95,2044700,33.70
2010-06-18,35.07,35.15,34.90,34.97,2884800,33.71
2010-06-17,34.92,35.02,34.55,35.02,2362200,33.76
2010-06-16,34.52,34.90,34.49,34.82,2417700,33.57
2010-06-15,34.56,34.74,34.38,34.71,2658100,33.46
2010-06-14,34.65,34.68,34.23,34.24,2637600,33.01
2010-06-11,33.98,34.46,33.98,34.41,2215000,33.17
2010-06-10,34.19,34.43,33.98,34.29,2711200,33.06
2010-06-09,33.83,34.23,33.71,33.86,3533900,32.64
2010-06-08,33.38,33.82,33.25,33.76,2782500,32.55
2010-06-07,33.79,34.06,33.42,33.42,3260800,32.22
2010-06-04,34.02,34.29,33.66,33.76,4657700,32.55
2010-06-03,35.04,35.12,34.72,34.93,5506800,32.98
2010-06-02,34.43,34.98,34.28,34.97,4592000,33.01
2010-06-01,34.25,34.78,34.16,34.16,2989400,32.25
2010-05-28,34.63,34.73,34.25,34.33,3289600,32.41
2010-05-27,34.22,34.50,34.11,34.50,2497200,32.57
2010-05-26,33.82,34.09,33.59,33.74,3934800,31.85
2010-05-25,33.30,33.61,32.95,33.58,5578400,31.70
2010-05-24,33.55,34.20,33.25,33.66,5376600,31.78
2010-05-21,32.63,33.25,32.46,33.25,3935700,31.39
2010-05-20,33.66,33.66,32.91,32.93,4427900,31.09
2010-05-19,33.75,34.01,33.62,33.85,3234000,31.96
2010-05-18,34.37,34.52,33.90,34.03,3177300,32.13
2010-05-17,34.29,34.32,33.73,34.17,3396000,32.26
2010-05-14,34.24,34.28,33.76,34.13,4161200,32.22
2010-05-13,34.27,34.57,34.00,34.25,3153700,32.34
2010-05-12,33.79,34.35,33.54,34.27,3085300,32.35
2010-05-11,33.50,33.97,33.41,33.70,4904900,31.82
2010-05-10,33.72,33.97,33.29,33.66,5767700,31.78
2010-05-07,32.14,33.64,32.11,33.03,7412700,31.18
2010-05-06,34.48,34.52,14.16,33.52,6808000,31.65
2010-05-05,34.25,34.75,34.00,34.67,5458000,32.73
2010-05-04,34.33,34.39,33.86,34.07,5109200,32.17
2010-05-03,34.30,34.62,34.25,34.50,4992900,32.57
2010-04-30,34.20,34.49,34.11,34.11,5949000,32.20
2010-04-29,33.83,34.21,33.80,34.10,4883400,32.19
2010-04-28,33.85,33.93,33.51,33.76,5479900,31.87
2010-04-27,33.80,33.91,33.55,33.67,5854900,31.79
2010-04-26,34.20,34.36,33.75,33.96,6669200,32.06
2010-04-23,35.01,35.01,33.50,34.33,14540000,32.41
2010-04-22,35.54,35.75,34.85,35.01,22061700,33.05
2010-04-21,36.37,36.47,36.00,36.20,2308500,34.18
2010-04-20,36.40,36.73,36.31,36.51,2382600,34.47
2010-04-19,36.01,36.22,35.91,36.20,1550800,34.18
2010-04-16,36.32,36.44,35.67,36.06,2647900,34.04
2010-04-15,36.22,36.47,36.07,36.34,1907900,34.31
2010-04-14,36.23,36.27,35.95,36.21,1831400,34.19
2010-04-13,36.17,36.29,35.85,36.10,1829700,34.08
2010-04-12,36.10,36.29,36.01,36.11,1490500,34.09
2010-04-09,35.69,36.04,35.50,36.02,2362300,34.01
2010-04-08,35.76,35.84,35.29,35.75,2377600,33.75
2010-04-07,36.11,36.13,35.65,35.83,2821300,33.83
2010-04-06,36.05,36.05,35.61,35.96,2439700,33.95
2010-04-05,36.00,36.24,35.94,36.20,2233700,34.18
2010-04-01,35.67,35.97,35.65,35.88,2284000,33.87
2010-03-31,35.41,35.68,35.30,35.46,2405700,33.48
2010-03-30,35.63,35.84,35.39,35.41,2598400,33.43
2010-03-29,35.49,35.53,35.19,35.52,2854400,33.53
2010-03-26,35.05,35.46,34.93,35.40,6541200,33.42
2010-03-25,35.36,35.39,34.90,34.91,2452400,32.96
2010-03-24,35.24,35.32,35.00,35.12,2228700,33.16
2010-03-23,35.28,35.40,35.04,35.34,1658700,33.36
2010-03-22,34.78,35.30,34.75,35.18,2022200,33.21
2010-03-19,34.98,35.24,34.72,34.86,2699200,32.91
2010-03-18,35.08,35.25,34.77,35.03,2733700,33.07
2010-03-17,34.90,35.21,34.87,35.07,2781100,33.11
2010-03-16,34.76,34.86,34.56,34.85,2891100,32.90
2010-03-15,34.54,34.79,34.54,34.79,2721200,32.84
2010-03-12,34.74,34.80,34.42,34.62,2407500,32.68
2010-03-11,34.23,34.75,34.23,34.73,3762400,32.79
2010-03-10,34.01,34.32,33.98,34.18,3680000,32.27
2010-03-09,33.59,34.16,33.56,34.02,3297100,32.12
2010-03-08,33.31,33.71,33.25,33.57,3756700,31.69
2010-03-05,33.68,33.70,32.98,33.38,5217100,31.51
2010-03-04,34.63,34.67,34.13,34.15,4697600,31.56
2010-03-03,34.90,34.99,34.42,34.58,4042500,31.95
2010-03-02,34.86,35.00,34.54,34.77,3059300,32.13
2010-03-01,34.29,34.69,34.25,34.68,2969700,32.05
2010-02-26,34.73,34.92,34.20,34.27,4155800,31.67
2010-02-25,34.48,34.74,34.10,34.65,4296400,32.02
2010-02-24,35.11,35.33,34.90,35.28,2139500,32.60
2010-02-23,35.14,35.40,34.90,35.07,2324500,32.41
2010-02-22,35.29,35.38,35.04,35.12,2128600,32.45
2010-02-19,35.79,35.79,35.00,35.10,3357500,32.43
2010-02-18,35.10,35.83,35.10,35.81,2033500,33.09
2010-02-17,35.27,35.34,34.92,35.10,2972000,32.43
2010-02-16,34.93,35.24,34.82,35.14,2161200,32.47
2010-02-12,34.88,34.99,34.28,34.57,3915600,31.94
2010-02-11,35.06,35.39,34.74,35.26,2277200,32.58
2010-02-10,34.84,35.21,34.68,35.01,1954500,32.35
2010-02-09,34.72,35.14,34.51,34.74,2589300,32.10
2010-02-08,34.31,35.14,34.00,34.35,3081200,31.74
2010-02-05,33.63,33.81,33.17,33.81,3541600,31.24
2010-02-04,34.25,34.49,33.63,33.63,2236900,31.08
2010-02-03,34.05,34.63,34.05,34.47,4931400,31.85
2010-02-02,34.36,34.36,34.00,34.16,2975900,31.57
2010-02-01,34.19,34.39,34.06,34.27,1977900,31.67
2010-01-29,34.29,34.44,33.91,34.01,2008400,31.43
2010-01-28,34.45,34.55,33.84,34.11,2295100,31.52
2010-01-27,34.80,34.97,34.12,34.50,3770700,31.88
2010-01-26,34.84,34.94,34.25,34.77,2813500,32.13
2010-01-25,34.18,34.96,34.02,34.77,2935900,32.13
2010-01-22,34.41,34.63,33.96,33.99,2841800,31.41
2010-01-21,35.24,35.42,34.37,34.43,3156800,31.81
2010-01-20,35.20,35.58,35.05,35.25,3936000,32.57
2010-01-19,35.16,35.48,35.02,35.44,2699800,32.75
2010-01-15,35.45,35.49,34.85,35.07,2595900,32.41
2010-01-14,35.45,35.60,35.29,35.43,1730100,32.74
2010-01-13,35.24,35.44,35.11,35.40,1780100,32.71
2010-01-12,35.10,35.43,34.98,35.11,2251500,32.44
2010-01-11,35.10,35.24,34.93,35.20,1976800,32.53
2010-01-08,34.99,34.99,34.51,34.84,2286100,32.19
2010-01-07,35.42,35.49,34.83,34.94,3994000,32.29
2010-01-06,36.54,36.54,35.22,35.28,5333000,32.60
2010-01-05,36.76,36.99,36.69,36.72,3450100,33.93
2010-01-04,36.54,37.00,36.37,36.66,2068100,33.88
2009-12-31,36.65,36.75,36.21,36.21,1409100,33.46
2009-12-30,36.30,36.61,36.14,36.54,1414400,33.76
2009-12-29,36.69,36.78,36.42,36.49,1108100,33.72
2009-12-28,36.30,36.53,36.25,36.49,1197900,33.72
2009-12-24,36.05,36.38,36.05,36.13,530500,33.39
2009-12-23,35.97,36.14,35.75,36.11,1745000,33.37
2009-12-22,35.71,36.07,35.52,35.91,1752500,33.18
2009-12-21,35.26,35.79,35.16,35.53,1608400,32.83
2009-12-18,35.12,35.50,35.00,35.09,3267200,32.42
2009-12-17,35.63,35.71,34.90,35.15,5470200,32.48
2009-12-16,36.15,36.43,35.65,35.75,3041400,33.03
2009-12-15,36.42,36.42,35.75,35.96,2974900,33.23
2009-12-14,37.09,37.09,36.37,36.43,1915200,33.66
2009-12-11,36.30,36.93,36.14,36.82,10822000,34.02
2009-12-10,36.12,36.36,35.96,36.24,2382300,33.49
2009-12-09,36.44,36.44,35.61,35.87,3103900,33.15
2009-12-08,36.66,36.66,36.24,36.53,2187700,33.76
2009-12-07,36.41,37.15,36.36,36.70,2876300,33.91
