1.46Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,4.71,4.73,4.65,4.67,3389500,4.67
2010-12-03,4.67,4.73,4.64,4.73,3201800,4.73
2010-12-02,4.65,4.81,4.65,4.74,3862200,4.74
2010-12-01,4.79,4.81,4.69,4.70,3414700,4.70
2010-11-30,4.79,4.82,4.69,4.71,3543900,4.71
2010-11-29,4.64,4.86,4.64,4.84,4345000,4.84
2010-11-26,4.79,4.85,4.67,4.67,1296500,4.67
2010-11-24,4.75,4.84,4.74,4.84,2372600,4.84
2010-11-23,4.70,4.79,4.66,4.67,2540500,4.67
2010-11-22,4.82,4.88,4.71,4.77,3074900,4.77
2010-11-19,4.77,4.81,4.66,4.81,4136400,4.81
2010-11-18,4.81,4.92,4.76,4.77,4337600,4.77
2010-11-17,4.71,4.80,4.60,4.74,5030700,4.74
2010-11-16,4.77,4.85,4.64,4.70,5898600,4.70
2010-11-15,4.69,4.88,4.67,4.79,5312800,4.79
2010-11-12,4.74,4.88,4.56,4.63,7107900,4.63
2010-11-11,4.72,4.80,4.64,4.79,3968800,4.79
2010-11-10,4.69,4.81,4.50,4.79,6248300,4.79
2010-11-09,4.87,4.87,4.66,4.70,4377600,4.70
2010-11-08,4.77,4.95,4.75,4.88,4856300,4.88
2010-11-05,4.85,4.96,4.76,4.83,4215900,4.83
2010-11-04,4.84,4.89,4.73,4.85,6781100,4.85
2010-11-03,4.73,4.75,4.63,4.73,5169300,4.73
2010-11-02,4.57,4.75,4.54,4.73,6884400,4.73
2010-11-01,4.76,4.85,4.46,4.52,7966200,4.52
2010-10-29,4.62,4.88,4.62,4.70,12599600,4.70
2010-10-28,4.21,4.67,4.20,4.58,27764200,4.58
2010-10-27,3.88,4.04,3.86,3.97,8042300,3.97
2010-10-26,3.92,3.97,3.90,3.91,2234600,3.91
2010-10-25,3.97,4.04,3.93,3.94,3769400,3.94
2010-10-22,3.89,3.95,3.86,3.93,2471800,3.93
2010-10-21,4.00,4.06,3.84,3.88,5950100,3.88
2010-10-20,4.02,4.04,3.90,4.00,3883700,4.00
2010-10-19,4.10,4.15,3.93,3.96,6879100,3.96
2010-10-18,4.06,4.19,4.03,4.17,3551900,4.17
2010-10-15,4.17,4.21,4.05,4.07,4475100,4.07
2010-10-14,4.21,4.28,4.09,4.13,4416600,4.13
2010-10-13,4.34,4.34,4.20,4.21,7067800,4.21
2010-10-12,4.19,4.31,4.12,4.26,4739200,4.26
2010-10-11,4.33,4.38,4.19,4.22,5130100,4.22
2010-10-08,4.17,4.38,4.10,4.32,6243500,4.32
2010-10-07,4.12,4.20,4.08,4.18,3532100,4.18
2010-10-06,4.10,4.17,4.05,4.10,3913800,4.10
2010-10-05,4.00,4.18,3.94,4.14,8797900,4.14
2010-10-04,4.10,4.12,3.93,3.96,6440700,3.96
2010-10-01,4.20,4.22,4.08,4.10,5843200,4.10
2010-09-30,4.25,4.34,4.16,4.20,4095200,4.20
2010-09-29,4.21,4.25,4.11,4.23,4382600,4.23
2010-09-28,4.17,4.27,3.99,4.26,8588600,4.26
2010-09-27,4.03,4.15,3.94,4.13,7312700,4.13
2010-09-24,3.95,4.03,3.90,4.00,6140100,4.00
2010-09-23,3.83,3.99,3.82,3.83,2503600,3.83
2010-09-22,4.00,4.02,3.83,3.87,3148300,3.87
2010-09-21,3.98,4.04,3.91,3.98,5039500,3.98
2010-09-20,3.89,3.99,3.86,3.99,4813600,3.99
2010-09-17,3.93,3.96,3.80,3.89,7060500,3.89
2010-09-16,3.78,3.91,3.75,3.90,3768800,3.90
2010-09-15,3.84,3.89,3.77,3.80,5549300,3.80
2010-09-14,4.00,4.04,3.84,3.85,6091600,3.85
2010-09-13,3.98,4.06,3.90,4.01,13802000,4.01
2010-09-10,3.75,3.87,3.73,3.87,3726900,3.87
2010-09-09,3.79,3.84,3.69,3.74,5139900,3.74
2010-09-08,3.80,3.85,3.72,3.74,4753200,3.74
2010-09-07,3.97,3.97,3.78,3.79,5351200,3.79
2010-09-03,4.03,4.11,3.86,4.01,9833100,4.01
2010-09-02,3.78,4.01,3.77,4.00,5972600,4.00
2010-09-01,3.60,3.80,3.55,3.78,5499800,3.78
2010-08-31,3.57,3.63,3.49,3.50,6473700,3.50
2010-08-30,3.69,3.74,3.59,3.59,3291600,3.59
2010-08-27,3.68,3.74,3.61,3.69,4582000,3.69
2010-08-26,3.72,3.80,3.61,3.63,5291200,3.63
2010-08-25,3.58,3.72,3.55,3.72,3430400,3.72
2010-08-24,3.64,3.74,3.57,3.61,4881300,3.61
2010-08-23,3.80,3.82,3.65,3.70,3995000,3.70
2010-08-20,3.74,3.80,3.57,3.77,7395200,3.77
2010-08-19,3.81,3.87,3.70,3.75,3946300,3.75
2010-08-18,3.85,3.92,3.78,3.83,3264100,3.83
2010-08-17,3.87,3.90,3.82,3.84,3393600,3.84
2010-08-16,3.67,3.89,3.66,3.82,6598000,3.82
2010-08-13,3.72,3.75,3.66,3.70,4478600,3.70
2010-08-12,3.78,3.85,3.70,3.74,5651300,3.74
2010-08-11,3.91,3.98,3.77,3.78,7309400,3.78
