1.50
Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,99.21,100.00,98.86,99.75,841600,99.75
2010-12-03,99.17,99.95,98.97,99.64,1056300,99.64
2010-12-02,98.68,100.00,98.40,99.75,1952000,99.75
2010-12-01,98.00,99.61,97.94,98.89,1514000,98.89
2010-11-30,95.36,96.85,95.04,96.40,1194200,96.40
2010-11-29,97.10,97.10,95.40,96.62,1499400,96.62
2010-11-26,97.17,98.34,97.00,97.99,652100,97.99
2010-11-24,96.33,98.31,96.33,98.11,1394300,98.11
2010-11-23,96.05,96.63,94.77,95.81,1637500,95.81
2010-11-22,95.73,97.56,95.60,97.44,1244500,97.44
2010-11-19,96.19,96.50,95.37,96.48,1773400,96.48
2010-11-18,93.97,96.30,93.75,95.77,2333200,95.77
2010-11-17,93.40,93.66,92.10,92.43,1516600,92.43
2010-11-16,93.75,94.35,91.88,93.24,1766800,93.24
2010-11-15,94.30,95.32,93.55,94.20,1817400,94.20
2010-11-12,94.71,95.48,92.77,94.26,2910600,94.26
2010-11-11,92.67,94.15,92.67,94.11,1120400,94.11
2010-11-10,93.47,94.12,92.69,93.60,1178700,93.60
2010-11-09,93.70,93.88,92.63,93.15,1474300,93.15
2010-11-08,93.22,93.82,92.84,93.36,1193200,93.36
2010-11-05,91.56,94.03,91.56,93.88,1734700,93.88
2010-11-04,92.15,93.56,91.90,93.25,1903100,93.25
2010-11-03,90.54,91.95,90.33,91.71,2081200,91.13
2010-11-02,89.50,90.68,89.32,90.50,1654500,89.93
2010-11-01,89.25,89.90,87.88,88.47,1145500,87.91
2010-10-29,87.79,88.88,87.56,88.83,1429900,88.27
2010-10-28,88.22,88.39,87.14,88.06,1412400,87.50
2010-10-27,86.91,87.46,85.88,87.34,843800,86.79
2010-10-26,87.65,87.79,86.71,87.53,1245200,86.98
2010-10-25,88.18,89.50,88.13,88.25,1488900,87.69
2010-10-22,88.43,88.50,87.43,87.87,1304800,87.31
2010-10-21,86.66,88.46,86.42,88.09,1930800,87.53
2010-10-20,85.20,86.96,83.15,86.82,3264400,86.27
2010-10-19,85.25,85.25,82.87,83.41,3037300,82.88
2010-10-18,83.60,84.43,83.30,84.30,1220800,83.77
2010-10-15,84.63,84.93,82.90,83.88,1074700,83.35
2010-10-14,84.09,84.40,83.21,83.64,908600,83.11
2010-10-13,83.12,84.95,83.12,84.09,1435000,83.56
2010-10-12,82.61,82.97,80.97,82.79,1247500,82.27
2010-10-11,83.13,83.23,82.31,82.68,847200,82.16
2010-10-08,83.14,83.58,82.59,83.21,1004500,82.68
2010-10-07,83.47,83.69,82.27,82.98,901400,82.46
2010-10-06,83.30,83.90,82.36,83.09,1472600,82.56
2010-10-05,82.45,83.98,82.31,83.42,1940200,82.89
2010-10-04,82.31,82.79,81.10,81.29,1396200,80.78
2010-10-01,84.41,84.58,82.25,82.53,2114200,82.01
2010-09-30,83.41,84.34,82.08,82.49,1633700,81.97
2010-09-29,82.00,82.90,81.80,82.67,1367700,82.15
2010-09-28,82.25,82.63,80.83,82.48,1734100,81.96
2010-09-27,81.52,82.50,81.21,81.91,1075300,81.39
2010-09-24,81.27,82.85,81.27,82.42,1353900,81.90
2010-09-23,80.47,81.09,79.75,80.03,1649600,79.52
2010-09-22,81.49,82.31,80.58,81.14,2002500,80.63
2010-09-21,81.31,82.74,81.31,81.84,1861400,81.32
2010-09-20,80.35,81.50,79.93,81.23,1401200,80.72
2010-09-17,79.99,80.53,79.38,79.85,1246600,79.35
2010-09-16,78.64,80.23,78.59,79.72,1183600,79.22
2010-09-15,79.85,80.15,78.67,79.23,1748700,78.73
2010-09-14,80.31,81.68,79.51,80.43,2207900,79.92
2010-09-13,78.90,80.66,78.90,80.19,2061300,79.68
2010-09-10,77.69,78.73,77.47,78.56,1202200,78.06
2010-09-09,77.86,78.00,76.94,77.31,1503900,76.82
2010-09-08,75.44,77.45,75.44,77.06,1405500,76.57
2010-09-07,75.76,76.32,75.31,75.37,1237800,74.89
2010-09-03,77.29,77.80,75.61,76.50,1960200,76.02
2010-09-02,74.87,76.06,74.54,76.06,1893500,75.58
2010-09-01,70.66,75.20,70.61,74.86,3497100,74.39
2010-08-31,69.53,70.28,68.73,69.48,1829800,69.04
2010-08-30,71.75,71.94,70.07,70.07,1042900,69.63
2010-08-27,70.79,72.14,70.07,71.86,1998300,71.41
2010-08-26,70.28,71.37,69.78,70.16,2576400,69.72
2010-08-25,70.01,70.65,69.06,69.97,2278200,69.53
2010-08-24,71.48,71.95,70.20,70.65,2310000,70.20
2010-08-23,73.30,73.55,72.23,72.49,1906100,72.03
2010-08-20,72.66,73.14,71.75,73.04,1531700,72.58
2010-08-19,75.06,75.54,73.06,73.38,2003700,72.92
2010-08-18,76.79,76.93,75.44,75.46,2064800,74.98
2010-08-17,76.26,77.84,76.26,76.76,1343800,76.27
2010-08-16,74.84,76.02,73.94,75.41,876400,74.93
2010-08-13,75.20,75.97,75.00,75.27,917500,74.79
2010-08-12,74.90,76.16,74.53,75.68,1540200,75.20
2010-08-11,77.94,77.94,76.34,76.45,2169000,75.97
2010-08-10,78.32,79.60,77.96,79.07,1964300,78.57
2010-08-09,79.98,79.98,78.76,79.12,894500,78.62
2010-08-06,79.15,79.64,77.88,79.15,1313700,78.65
2010-08-05,79.81,79.89,79.07,79.75,1767000,79.25
2010-08-04,79.48,80.75,79.40,80.65,1491900,79.56
2010-08-03,79.74,79.88,78.60,79.40,1833500,78.33
2010-08-02,79.94,79.98,78.77,79.65,1987400,78.58
2010-07-30,76.15,78.90,75.83,78.46,2164400,77.40
2010-07-29,77.85,78.20,76.13,77.45,1635300,76.41
2010-07-28,77.59,78.56,76.56,77.06,2149400,76.02
2010-07-27,78.11,78.25,77.12,77.59,2224200,76.54
2010-07-26,77.77,78.25,76.46,77.42,2691300,76.38
2010-07-23,74.60,77.47,74.29,77.23,2796400,76.19
2010-07-22,74.44,75.62,73.70,74.75,3398500,73.74
2010-07-21,72.26,73.99,71.50,73.14,4698400,72.15
2010-07-20,66.30,69.23,66.10,69.06,1652100,68.13
2010-07-19,67.40,67.84,66.27,67.51,1091800,66.60
2010-07-16,68.23,68.82,66.96,67.20,1616400,66.29
2010-07-15,68.79,69.08,67.71,68.95,1670300,68.02
2010-07-14,68.12,68.96,67.66,68.70,1435400,67.77
2010-07-13,67.59,68.88,67.49,68.52,1516300,67.60
2010-07-12,67.10,67.32,66.25,66.60,1584000,65.70
2010-07-09,66.74,67.54,66.37,67.50,848800,66.59
2010-07-08,66.28,66.81,65.44,66.55,1285500,65.65
2010-07-07,63.90,65.78,63.53,65.76,1794600,64.87
2010-07-06,65.20,65.43,62.95,63.58,1690000,62.72
2010-07-02,64.86,65.47,63.36,63.70,2021100,62.84
2010-07-01,65.29,65.57,63.73,64.56,2434800,63.69
2010-06-30,65.81,67.17,65.31,65.44,3080100,64.56
2010-06-29,67.61,68.12,65.38,65.99,2217000,65.10
2010-06-28,70.72,70.72,69.12,69.23,1498200,68.30
2010-06-25,69.54,70.39,68.62,70.20,2117400,69.25
2010-06-24,70.77,71.08,69.25,69.42,1042800,68.48
2010-06-23,71.52,71.69,69.81,71.07,1517200,70.11
2010-06-22,74.32,74.85,71.39,71.58,1503100,70.62
2010-06-21,75.15,76.29,73.79,74.32,1385000,73.32
2010-06-18,74.17,74.69,73.68,74.32,1437100,73.32
2010-06-17,74.31,74.31,72.69,74.20,1476400,73.20
2010-06-16,73.93,74.76,73.10,73.56,1473800,72.57
2010-06-15,71.87,74.57,71.87,74.45,1907600,73.45
2010-06-14,71.30,72.58,71.15,71.40,1530000,70.44
2010-06-11,69.87,71.29,69.52,70.53,1277200,69.58
2010-06-10,68.63,70.97,68.63,70.86,1919400,69.91
2010-06-09,67.84,69.52,66.90,67.21,1554100,66.30
2010-06-08,66.60,67.61,66.35,67.47,2781700,66.56
2010-06-07,67.18,67.65,66.17,66.42,2597200,65.53
