0.58Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,40.10,40.10,39.77,39.78,3476100,39.78
2010-12-03,39.53,40.14,39.39,40.05,8998200,40.05
2010-12-02,39.40,39.69,39.26,39.55,3822600,39.55
2010-12-01,39.71,39.73,39.28,39.44,4824900,39.44
2010-11-30,39.14,39.49,39.07,39.37,4603600,39.37
2010-11-29,39.38,39.49,39.05,39.36,2905800,39.36
2010-11-26,39.49,39.74,39.31,39.53,1349300,39.53
2010-11-24,39.78,39.82,39.41,39.72,3979600,39.72
2010-11-23,39.64,39.74,39.40,39.58,3560100,39.58
2010-11-22,39.96,40.00,39.49,39.88,2853100,39.88
2010-11-19,39.93,40.09,39.32,40.00,4112300,40.00
2010-11-18,40.39,40.40,39.88,40.02,4357400,40.02
2010-11-17,39.76,40.19,39.69,40.00,4540600,40.00
2010-11-16,40.08,40.15,39.72,39.82,5598300,39.82
2010-11-15,40.20,40.43,40.12,40.17,4355600,40.17
2010-11-12,40.34,40.38,39.95,40.05,6135700,40.05
2010-11-11,40.47,40.72,40.30,40.60,3571500,40.60
2010-11-10,41.17,41.17,40.38,40.63,4831900,40.63
2010-11-09,41.46,41.82,41.40,41.55,6894900,41.03
2010-11-08,41.20,41.41,41.11,41.34,8817400,40.82
2010-11-05,41.17,41.28,40.95,41.17,8885400,40.65
2010-11-04,41.03,41.17,40.90,41.17,14800900,40.65
2010-11-03,41.11,41.16,40.52,40.75,3997800,40.24
2010-11-02,41.21,41.36,40.87,41.02,4587100,40.50
2010-11-01,41.09,41.50,40.70,40.90,5731600,40.38
2010-10-29,40.98,40.98,40.57,40.82,5227500,40.30
2010-10-28,41.13,41.25,40.71,40.98,4301700,40.46
2010-10-27,40.92,40.96,40.39,40.93,5190300,40.41
2010-10-26,41.26,41.46,41.03,41.10,5558800,40.58
2010-10-25,42.08,42.32,41.25,41.33,7923000,40.81
2010-10-22,43.52,43.52,41.86,42.00,9005700,41.47
