0.61Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,62.31,62.48,62.20,62.20,8989000,62.20
2010-12-03,62.51,62.77,62.23,62.56,9882800,62.56
2010-12-02,62.39,62.88,62.27,62.60,10160400,62.60
2010-12-01,62.18,62.48,61.82,62.42,15364700,62.42
2010-11-30,61.48,61.82,61.25,61.55,12633500,61.55
2010-11-29,61.81,62.01,61.39,61.91,12019300,61.91
2010-11-26,62.50,62.57,62.14,62.30,4638800,62.30
2010-11-24,63.03,63.49,62.93,63.29,9591400,62.75
2010-11-23,62.99,63.25,62.65,62.87,14766500,62.33
2010-11-22,63.50,63.82,63.09,63.62,11179200,63.08
2010-11-19,63.89,64.22,63.65,63.83,12889800,63.29
2010-11-18,63.47,64.00,63.30,63.83,9400100,63.29
2010-11-17,63.13,63.29,62.92,63.06,7416900,62.52
2010-11-16,63.65,63.95,62.65,63.14,15651000,62.60
2010-11-15,64.11,64.69,63.98,64.14,12729400,63.59
2010-11-12,63.69,64.09,63.51,63.67,12944800,63.13
2010-11-11,63.70,63.95,63.58,63.92,9109500,63.37
2010-11-10,64.24,64.34,63.55,63.95,10795400,63.40
2010-11-09,64.47,64.50,64.10,64.31,9218500,63.76
2010-11-08,64.56,64.61,64.10,64.33,8484400,63.78
2010-11-05,64.75,64.84,64.10,64.65,9276500,64.10
2010-11-04,64.32,64.92,64.24,64.76,11337400,64.21
2010-11-03,63.99,64.20,63.55,64.19,9322100,63.64
2010-11-02,63.94,64.20,63.72,63.88,8632100,63.33
2010-11-01,63.88,64.09,63.31,63.69,9356000,63.15
2010-10-29,63.64,63.84,63.32,63.74,9309900,63.20
2010-10-28,63.94,64.11,63.51,63.56,10116000,63.02
2010-10-27,63.58,63.69,63.28,63.57,11916100,63.03
2010-10-26,63.85,63.95,63.61,63.84,7122900,63.30
2010-10-25,64.04,64.23,63.85,63.98,7794700,63.43
2010-10-22,64.08,64.12,63.64,63.81,6774800,63.27
2010-10-21,63.86,64.22,63.52,63.99,11111700,63.44
2010-10-20,63.32,64.03,63.06,63.60,10206800,63.06
2010-10-19,62.89,63.67,62.50,63.29,17235400,62.75
2010-10-18,63.69,63.98,63.25,63.86,10814100,63.32
2010-10-15,63.98,64.00,63.14,63.57,13265100,63.03
2010-10-14,63.79,63.80,63.39,63.74,8632700,63.20
2010-10-13,63.43,63.79,63.29,63.58,10104700,63.04
2010-10-12,63.13,63.44,62.97,63.29,8707400,62.75
2010-10-11,63.26,63.31,63.04,63.30,6172100,62.76
2010-10-08,63.38,63.39,63.03,63.23,7354800,62.69
2010-10-07,63.29,63.50,63.00,63.22,9826600,62.68
2010-10-06,62.89,63.26,62.50,63.21,11339800,62.67
2010-10-05,62.08,62.94,62.01,62.80,12439400,62.26
2010-10-04,61.54,61.98,61.30,61.67,8703600,61.14
2010-10-01,62.09,62.25,61.57,61.75,9773200,61.22
2010-09-30,62.49,62.70,61.55,61.96,12845600,61.43
2010-09-29,62.31,62.55,62.13,62.31,9590000,61.78
2010-09-28,61.96,62.60,61.69,62.43,12132800,61.90
2010-09-27,62.22,62.32,61.93,62.03,7687600,61.50
2010-09-24,61.98,62.40,61.83,62.14,12636900,61.61
2010-09-23,61.63,62.00,61.57,61.81,8393800,61.28
2010-09-22,61.98,62.50,61.90,61.97,9353300,61.44
2010-09-21,61.86,62.23,61.80,61.94,9449200,61.41
2010-09-20,61.65,62.23,61.51,62.09,10991500,61.56
2010-09-17,61.59,61.72,61.13,61.57,12240600,61.04
2010-09-16,60.82,61.39,60.76,61.29,10496300,60.77
2010-09-15,60.67,61.15,60.50,61.05,9111500,60.53
2010-09-14,60.43,60.97,60.25,60.58,9912900,60.06
2010-09-13,60.06,60.38,59.92,60.32,10706600,59.81
2010-09-10,59.94,60.00,59.77,59.98,8358800,59.47
2010-09-09,59.39,60.03,59.26,59.82,14077700,59.31
2010-09-08,58.42,59.03,58.42,58.85,8412500,58.35
2010-09-07,58.80,58.97,58.63,58.70,5625100,58.20
2010-09-03,58.85,59.00,58.50,58.93,7533400,58.43
2010-09-02,58.52,58.79,58.30,58.61,8079700,58.11
2010-09-01,57.67,58.36,57.44,58.29,11603700,57.79
2010-08-31,57.25,57.44,57.00,57.02,14563100,56.53
2010-08-30,57.60,57.80,57.26,57.30,9240100,56.81
2010-08-27,57.45,57.88,56.99,57.60,11674800,57.11
2010-08-26,58.20,58.22,57.78,57.80,12834100,56.77
2010-08-25,58.00,58.20,57.84,57.98,11675000,56.95
2010-08-24,58.50,58.69,57.86,58.01,14930400,56.98
2010-08-23,58.98,59.35,58.81,58.87,8842900,57.82
2010-08-20,58.70,58.91,58.49,58.74,11286200,57.69
2010-08-19,59.17,59.18,58.40,58.72,11949700,57.68
2010-08-18,59.46,59.82,59.03,59.35,10534900,58.29
2010-08-17,58.93,59.48,58.50,59.22,13479100,58.17
2010-08-16,57.99,58.11,57.47,58.01,8751200,56.98
2010-08-13,58.49,58.49,58.06,58.15,8546700,57.12
2010-08-12,58.15,58.71,58.10,58.52,8240500,57.48
2010-08-11,58.92,58.95,58.30,58.50,11470100,57.46
2010-08-10,59.41,59.81,58.90,59.43,13550800,58.37
2010-08-09,60.00,60.25,59.79,60.05,6674700,58.98
2010-08-06,59.52,60.00,59.25,59.96,8524100,58.89
2010-08-05,59.53,59.89,59.51,59.76,9796700,58.70
2010-08-04,59.37,59.93,59.23,59.74,10508800,58.68
2010-08-03,58.75,59.60,58.71,59.35,10855100,58.29
2010-08-02,58.50,58.88,58.41,58.72,11455600,57.68
2010-07-30,57.63,58.36,57.27,58.09,12978000,57.06
2010-07-29,58.10,58.27,57.71,57.83,13031000,56.80
2010-07-28,58.14,58.25,57.65,57.83,13502100,56.80
2010-07-27,57.95,58.44,57.62,58.10,16964000,57.07
2010-07-26,57.65,58.01,57.48,57.74,11775200,56.71
2010-07-23,57.28,57.64,57.00,57.63,15076600,56.60
2010-07-22,57.43,57.62,56.86,57.02,17972900,56.01
2010-07-21,58.80,58.80,56.87,57.12,25707600,56.10
2010-07-20,58.45,58.77,58.00,58.58,22304800,57.54
2010-07-19,59.72,59.79,59.37,59.57,10277500,58.51
2010-07-16,60.00,60.19,59.25,59.44,17569900,58.38
2010-07-15,60.62,60.75,59.90,60.26,12839300,59.19
2010-07-14,60.16,60.68,60.05,60.62,9668500,59.54
2010-07-13,60.59,60.96,60.44,60.50,10924500,59.42
2010-07-12,60.48,60.54,60.06,60.21,10797200,59.14
