0.80Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,34.06,34.19,33.96,33.97,4658500,33.97
2010-12-03,34.24,34.32,33.92,34.14,16305000,34.14
2010-12-02,34.33,34.50,34.16,34.25,8527100,34.25
2010-12-01,33.97,34.32,33.91,34.26,6241400,34.26
2010-11-30,33.70,33.89,33.52,33.66,6176200,33.66
2010-11-29,33.98,34.04,33.55,33.89,5126700,33.89
2010-11-26,34.18,34.18,34.00,34.07,2807800,34.07
2010-11-24,34.16,34.32,34.12,34.22,5834300,34.22
2010-11-23,34.35,34.36,34.07,34.08,5980400,34.08
2010-11-22,34.51,34.56,34.16,34.55,4272000,34.55
2010-11-19,34.80,34.81,34.46,34.50,5109800,34.50
2010-11-18,34.56,34.89,34.55,34.79,4699100,34.79
2010-11-17,34.44,34.68,34.32,34.40,4032200,34.40
2010-11-16,34.47,34.76,34.28,34.43,5934500,34.43
2010-11-15,34.76,34.89,34.47,34.63,5821300,34.63
2010-11-12,34.87,34.93,34.73,34.76,5527300,34.76
2010-11-11,34.87,35.27,34.84,34.95,5473000,34.95
2010-11-10,35.27,35.27,34.80,34.99,6763500,34.99
2010-11-09,35.82,35.87,35.65,35.77,6519300,35.28
2010-11-08,35.78,35.88,35.62,35.73,18223300,35.24
2010-11-05,35.82,35.93,35.51,35.72,19177000,35.23
2010-11-04,35.78,35.83,35.46,35.76,19563700,35.27
2010-11-03,35.42,35.58,35.16,35.57,4714800,35.08
2010-11-02,35.24,35.40,35.07,35.38,5843000,34.90
2010-11-01,35.26,35.36,34.88,35.04,6940900,34.56
2010-10-29,35.13,35.20,34.86,35.20,6326300,34.72
2010-10-28,34.98,35.26,34.86,35.15,6306900,34.67
2010-10-27,34.72,34.98,34.68,34.94,7163400,34.46
2010-10-26,35.04,35.19,34.82,34.90,7667800,34.42
2010-10-25,35.48,35.61,35.06,35.13,8500300,34.65
2010-10-22,35.55,35.73,35.25,35.40,6708900,34.92
2010-10-21,35.86,35.93,35.23,35.50,10773400,35.01
2010-10-20,35.53,36.15,35.45,36.01,18242000,35.52
2010-10-19,37.68,37.84,37.22,37.45,6696200,36.94
2010-10-18,37.91,38.08,37.67,38.06,10374700,37.54
2010-10-15,37.67,37.90,37.49,37.76,6742200,37.24
2010-10-14,37.40,37.58,37.31,37.42,4715900,36.91
2010-10-13,37.50,37.50,37.26,37.40,5772600,36.89
2010-10-12,37.13,37.50,37.00,37.36,3733900,36.85
2010-10-11,37.15,37.33,37.09,37.22,3152400,36.71
2010-10-08,37.13,37.24,36.91,37.07,4539400,36.56
2010-10-07,37.28,37.40,36.94,37.08,3782400,36.57
2010-10-06,36.82,37.17,36.71,37.17,4981700,36.66
2010-10-05,36.59,37.00,36.44,36.89,5468200,36.38
2010-10-04,36.54,36.56,36.13,36.30,4680800,35.80
2010-10-01,36.68,36.77,36.42,36.54,5212600,36.04
2010-09-30,36.59,36.90,36.33,36.53,6022100,36.03
2010-09-29,36.31,36.72,36.10,36.53,6778900,36.03
2010-09-28,36.05,36.39,35.90,36.39,5453300,35.89
2010-09-27,36.15,36.18,35.94,35.94,4638800,35.45
2010-09-24,36.21,36.28,36.01,36.10,6132600,35.61
2010-09-23,35.93,36.01,35.75,35.86,4437700,35.37
2010-09-22,36.22,36.71,35.99,36.05,6931300,35.56
2010-09-21,36.38,36.49,36.08,36.33,4736600,35.83
2010-09-20,35.92,36.39,35.81,36.35,5525700,35.85
2010-09-17,35.84,35.97,35.58,35.79,4899300,35.30
2010-09-16,35.58,35.76,35.38,35.67,4461200,35.18
2010-09-15,35.64,35.84,35.51,35.70,4535900,35.21
2010-09-14,35.57,35.85,35.45,35.65,6042800,35.16
2010-09-13,35.73,35.74,35.32,35.53,3943200,35.04
2010-09-10,35.45,35.52,35.20,35.43,4600900,34.94
2010-09-09,34.90,35.44,34.77,35.17,5616000,34.69
2010-09-08,34.81,34.90,34.59,34.81,3587400,34.33
2010-09-07,34.71,34.78,34.43,34.54,4009800,34.07
2010-09-03,34.30,34.71,34.28,34.66,4450600,34.19
2010-09-02,34.16,34.42,34.12,34.31,4316400,33.84
2010-09-01,34.11,34.33,33.83,34.20,8004300,33.73
2010-08-31,33.95,34.04,33.54,33.59,9329300,33.13
2010-08-30,34.23,34.28,33.95,33.97,4576400,33.50
2010-08-27,34.11,34.25,33.72,34.20,5809800,33.73
2010-08-26,34.46,34.46,33.84,33.95,6380900,33.48
2010-08-25,33.84,34.50,33.80,34.31,7127500,33.84
2010-08-24,34.04,34.22,33.85,33.97,6426300,33.50
2010-08-23,34.35,34.54,34.25,34.31,13820500,33.84
2010-08-20,34.10,34.23,33.73,34.17,9187800,33.70
2010-08-19,34.59,34.69,34.18,34.28,10578400,33.81
2010-08-18,34.81,34.97,34.64,34.78,23704700,34.30
2010-08-17,35.08,35.15,34.45,34.75,14976600,34.27
2010-08-16,35.38,35.73,35.23,35.57,5217800,35.08
2010-08-13,35.39,35.84,35.23,35.70,13055600,35.21
2010-08-12,36.42,36.87,36.23,36.60,7401800,36.10
2010-08-11,36.81,37.26,36.57,36.71,9675700,36.21
2010-08-10,36.81,37.92,36.81,37.77,11213900,36.77
2010-08-09,36.98,37.01,36.87,36.96,5664200,35.98
2010-08-06,36.60,36.89,36.39,36.87,4711800,35.89
2010-08-05,36.59,36.88,36.46,36.85,3620200,35.87
2010-08-04,36.47,36.82,36.22,36.78,6623300,35.81
2010-08-03,36.43,36.66,36.28,36.58,5950300,35.61
2010-08-02,35.84,36.39,35.75,36.34,6991400,35.38
2010-07-30,35.26,35.82,35.05,35.60,7662800,34.66
2010-07-29,35.76,35.99,35.20,35.45,7269400,34.51
2010-07-28,36.02,36.20,35.53,35.67,10420300,34.72
2010-07-27,35.63,36.13,35.25,36.10,11840500,35.14
2010-07-26,35.20,35.52,35.17,35.44,4673400,34.50
2010-07-23,35.22,35.24,34.57,35.17,6328000,34.24
2010-07-22,35.85,35.85,35.00,35.15,8888000,34.22
2010-07-21,35.43,35.43,34.72,34.95,6809100,34.02
2010-07-20,34.77,35.31,34.45,35.26,6926100,34.33
2010-07-19,34.76,35.08,34.76,34.99,4951300,34.06
2010-07-16,35.08,35.12,34.58,34.64,7637500,33.72
2010-07-15,34.86,35.24,34.62,35.17,7380700,34.24
2010-07-14,35.15,35.20,34.70,34.80,11570800,33.88
2010-07-13,35.27,35.60,35.17,35.21,7524300,34.28
2010-07-12,35.10,35.19,34.94,35.13,4361700,34.20
2010-07-09,35.14,35.18,34.88,35.17,5367200,34.24
2010-07-08,34.83,35.19,34.75,35.18,7511300,34.25
2010-07-07,34.02,34.67,33.76,34.66,6759500,33.74
2010-07-06,33.97,34.15,33.67,33.91,19358500,33.01
2010-07-02,33.28,33.87,33.09,33.67,6888200,32.78
2010-07-01,33.43,33.47,32.82,33.12,17132600,32.24
2010-06-30,33.70,34.07,33.43,33.50,7742600,32.61
2010-06-29,33.61,33.81,33.34,33.75,8854700,32.86
2010-06-28,34.25,34.26,33.77,34.02,8289300,33.12
2010-06-25,34.32,34.35,33.86,33.94,12710800,33.04
2010-06-24,34.54,34.61,34.19,34.48,16867500,33.57
2010-06-23,34.44,34.70,34.24,34.56,5625800,33.64
2010-06-22,34.66,34.98,34.42,34.45,5256400,33.54
2010-06-21,34.76,34.85,34.52,34.66,5373200,33.74
2010-06-18,34.66,34.74,34.36,34.61,8506400,33.69
2010-06-17,34.24,34.39,33.93,34.39,6494200,33.48
2010-06-16,34.27,34.36,33.92,34.11,7534700,33.21
2010-06-15,33.95,34.42,33.76,34.39,6373600,33.48
2010-06-14,34.00,34.22,33.83,33.87,6053200,32.97
