1.74Date,Open,High,Low,Close,Volume,Adj Close
2010-12-06,8.15,8.29,8.15,8.19,34059600,8.19
2010-12-03,7.93,8.26,7.85,8.24,63587800,8.24
2010-12-02,7.89,8.01,7.87,7.97,52425700,7.97
2010-12-01,7.87,8.20,7.82,8.01,56965900,8.01
2010-11-30,7.71,7.80,7.65,7.66,30177100,7.66
2010-11-29,7.79,7.85,7.70,7.77,22162100,7.77
2010-11-26,7.83,7.88,7.81,7.82,7415100,7.82
2010-11-24,7.90,8.00,7.84,7.93,21781300,7.93
2010-11-23,7.98,8.01,7.81,7.86,29053200,7.86
2010-11-22,8.05,8.14,7.95,8.09,19030300,8.09
2010-11-19,8.09,8.19,8.03,8.12,23024100,8.12
2010-11-18,8.02,8.16,7.98,8.14,22162200,8.14
2010-11-17,7.83,7.98,7.81,7.91,21778300,7.91
2010-11-16,8.03,8.04,7.79,7.81,24802800,7.81
2010-11-15,8.16,8.20,7.93,7.94,24143900,7.94
2010-11-12,8.05,8.09,7.92,7.99,18732000,7.99
2010-11-11,8.04,8.15,7.83,8.10,43548600,8.10
2010-11-10,8.17,8.21,8.06,8.20,17691100,8.20
2010-11-09,8.16,8.28,8.10,8.21,25328700,8.21
2010-11-08,8.16,8.28,8.07,8.15,17770700,8.15
2010-11-05,8.09,8.21,8.05,8.20,16231000,8.20
2010-11-04,8.11,8.13,8.02,8.10,23459800,8.10
2010-11-03,8.11,8.11,7.90,8.05,29254500,8.05
2010-11-02,8.07,8.09,7.87,8.00,56699400,8.00
2010-11-01,8.14,8.25,7.97,8.02,24562400,8.02
2010-10-29,8.09,8.22,8.03,8.16,24755500,8.16
2010-10-28,8.52,8.71,8.09,8.13,91376800,8.13
2010-10-27,7.94,8.13,7.89,8.09,49817600,8.09
2010-10-26,7.88,8.03,7.86,7.86,21750500,7.86
2010-10-25,7.86,8.00,7.84,7.93,15813600,7.93
2010-10-22,7.75,7.92,7.74,7.83,19423100,7.83
2010-10-21,7.97,8.00,7.70,7.76,32322900,7.76
2010-10-20,7.95,8.02,7.91,7.96,21007700,7.96
2010-10-19,7.81,8.01,7.75,7.89,34431000,7.89
2010-10-18,7.87,7.93,7.73,7.89,36120100,7.89
2010-10-15,8.05,8.08,7.90,7.95,33367400,7.95
2010-10-14,8.09,8.14,7.88,7.96,34311400,7.96
2010-10-13,8.16,8.21,8.08,8.12,34270200,8.12
2010-10-12,8.25,8.30,8.04,8.13,48259300,8.13
2010-10-11,8.28,8.38,8.24,8.29,24465100,8.29
2010-10-08,8.46,8.46,8.22,8.30,43002600,8.30
2010-10-07,8.60,8.66,8.43,8.59,20380100,8.59
2010-10-06,8.53,8.72,8.44,8.56,27583600,8.56
