Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,26.44,27.00,26.41,26.86,2619600,26.86
2010-12-02,25.63,26.68,25.63,26.61,1493100,26.61
2010-12-01,25.31,25.68,25.28,25.61,893400,25.61
2010-11-30,24.91,25.08,24.64,24.84,1204500,24.84
2010-11-29,25.18,25.28,24.70,25.20,834900,25.20
2010-11-26,25.34,25.51,25.10,25.44,422100,25.44
2010-11-24,25.22,25.67,25.22,25.63,643000,25.63
2010-11-23,25.35,25.50,24.86,25.04,933300,25.04
2010-11-22,25.27,25.96,25.01,25.95,1435900,25.70
2010-11-19,25.45,25.47,25.12,25.38,827000,25.14
2010-11-18,25.76,26.03,25.40,25.44,1224900,25.19
2010-11-17,25.19,25.64,25.01,25.41,1166000,25.17
2010-11-16,25.50,25.61,24.93,25.21,1504900,24.97
2010-11-15,25.86,26.14,25.73,25.76,908100,25.51
2010-11-12,26.09,26.20,25.61,25.80,1083900,25.55
2010-11-11,26.10,26.47,25.97,26.35,831600,26.10
2010-11-10,26.05,26.58,25.85,26.43,1290200,26.18
2010-11-09,26.80,26.85,25.93,26.06,938600,25.81
2010-11-08,26.35,26.82,26.27,26.73,837900,26.47
2010-11-05,26.93,27.12,26.29,26.46,1597500,26.21
2010-11-04,26.14,26.84,26.12,26.83,979800,26.57
2010-11-03,25.93,25.93,25.35,25.84,1006400,25.59
2010-11-02,25.92,26.20,25.74,25.78,742100,25.53
2010-11-01,25.99,26.21,25.43,25.61,822800,25.36
2010-10-29,25.60,25.93,25.52,25.73,1041100,25.48
2010-10-28,25.97,26.02,25.27,25.63,1175800,25.38
2010-10-27,26.82,26.82,25.41,25.77,2394700,25.52
2010-10-26,25.42,25.66,25.13,25.25,1149700,25.01
2010-10-25,25.45,25.78,25.41,25.55,1122900,25.30
2010-10-22,25.16,25.30,25.05,25.14,550700,24.90
2010-10-21,25.49,25.60,24.96,25.14,844600,24.90
2010-10-20,25.00,25.55,24.92,25.33,713200,25.09
2010-10-19,25.22,25.28,24.71,24.87,1152000,24.63
2010-10-18,25.33,25.65,25.22,25.60,2198400,25.35
2010-10-15,25.22,25.55,24.82,25.29,1206500,25.05
2010-10-14,25.16,25.21,24.62,24.86,911900,24.62
2010-10-13,24.98,25.54,24.87,25.19,855700,24.95
2010-10-12,24.71,24.87,24.38,24.84,852000,24.60
2010-10-11,24.79,24.85,24.57,24.72,435900,24.48
2010-10-08,24.60,24.94,24.48,24.81,1148500,24.57
2010-10-07,25.00,25.00,24.42,24.53,774900,24.29
