Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,63.91,64.05,62.90,63.21,2863000,63.21
2010-12-02,63.47,64.19,63.34,64.03,1733200,64.03
2010-12-01,62.70,63.49,62.52,63.35,2197800,63.35
2010-11-30,60.76,61.97,60.67,61.68,2930800,61.68
2010-11-29,61.16,61.51,60.33,61.22,1823300,61.22
2010-11-26,61.77,62.31,61.65,61.76,616500,61.76
2010-11-24,61.43,62.32,61.23,62.20,1436600,62.20
2010-11-23,61.43,61.70,60.65,61.29,2038500,60.82
2010-11-22,62.86,63.16,61.57,62.28,1801300,61.80
2010-11-19,63.16,63.37,62.49,63.26,1036600,62.77
2010-11-18,62.60,63.39,62.60,63.07,1211800,62.59
2010-11-17,62.27,62.32,61.60,62.05,1150400,61.57
2010-11-16,62.71,62.82,61.52,61.90,1528700,61.43
2010-11-15,63.00,63.57,62.57,63.01,1071600,62.53
2010-11-12,63.49,63.60,62.65,62.90,1222700,62.42
2010-11-11,64.70,64.74,63.78,64.07,1467400,63.58
2010-11-10,65.07,65.43,64.66,65.22,1277000,64.72
2010-11-09,65.64,65.68,64.69,65.28,1254000,64.78
2010-11-08,64.80,65.59,63.85,65.34,1113800,64.84
2010-11-05,65.22,65.59,65.11,65.34,943200,64.84
2010-11-04,64.73,65.46,64.35,65.27,2000000,64.77
2010-11-03,64.44,64.75,63.48,64.28,1444200,63.79
2010-11-02,64.01,64.68,64.01,64.59,1557700,64.09
2010-11-01,63.36,64.48,63.06,63.51,1568900,63.02
2010-10-29,62.35,63.23,62.21,63.22,1783100,62.74
2010-10-28,62.05,62.60,61.38,62.24,2205100,61.76
2010-10-27,61.41,61.59,60.74,61.38,2470700,60.91
2010-10-26,60.72,61.56,60.36,61.35,2399300,60.88
2010-10-25,62.14,62.23,60.85,60.91,2506900,60.44
2010-10-22,61.75,62.07,61.42,61.90,1158400,61.43
2010-10-21,61.38,62.30,61.30,61.72,1539900,61.25
2010-10-20,60.64,61.39,60.64,61.15,1793000,60.68
2010-10-19,60.79,61.44,60.11,60.43,2576400,59.97
2010-10-18,62.05,62.05,60.93,61.62,2117900,61.15
2010-10-15,62.58,62.84,61.66,61.87,1844200,61.40
2010-10-14,62.20,62.57,61.48,61.83,1635400,61.36
2010-10-13,62.15,62.54,61.78,62.19,1704400,61.71
2010-10-12,61.98,62.12,60.97,61.76,1696400,61.29
2010-10-11,62.25,62.40,61.92,62.01,1150900,61.53
2010-10-08,62.24,62.85,62.04,62.29,1553400,61.81
2010-10-07,62.60,62.67,61.71,62.14,2436000,61.66
2010-10-06,62.14,62.68,61.87,62.08,2507300,61.60
2010-10-05,60.76,62.31,60.76,62.05,2551600,61.57
2010-10-04,60.14,60.70,59.84,60.11,2151700,59.65
2010-10-01,61.25,61.50,60.20,60.33,2823400,59.87
2010-09-30,60.79,61.74,60.06,60.63,2569500,60.17
2010-09-29,60.17,60.66,59.88,60.20,2573400,59.74
2010-09-28,60.34,60.63,59.57,60.52,2281800,60.06
2010-09-27,60.29,60.61,60.20,60.27,2774500,59.81
2010-09-24,59.79,60.61,59.60,60.33,2221100,59.87
2010-09-23,58.66,59.81,58.60,59.05,1847600,58.60
2010-09-22,59.60,60.15,59.06,59.07,1457900,58.62
2010-09-21,59.60,60.07,59.39,59.58,1717600,59.12
2010-09-20,59.06,59.94,58.73,59.75,1941300,59.29
2010-09-17,58.24,59.27,58.00,58.91,2729000,58.46
2010-09-16,57.90,58.14,57.59,57.77,1481100,57.33
2010-09-15,58.19,58.58,57.80,57.99,2026000,57.55
2010-09-14,58.81,58.81,58.20,58.34,1502000,57.89
2010-09-13,59.61,59.97,58.69,58.81,2153800,58.36
2010-09-10,57.25,58.89,57.23,58.73,2490600,58.28
2010-09-09,57.66,57.67,56.76,57.09,1792600,56.65
2010-09-08,56.42,57.03,56.42,56.85,1796100,56.41
2010-09-07,57.24,57.41,56.52,56.54,2039800,56.11
2010-09-03,58.17,58.48,57.31,57.82,2039100,57.38
2010-09-02,56.79,57.68,56.65,57.67,2333200,57.23
2010-09-01,54.90,56.72,54.52,56.57,2559100,56.14
2010-08-31,54.03,54.49,53.51,54.12,3025800,53.70
2010-08-30,55.40,55.59,54.25,54.25,2088400,53.83
2010-08-27,55.04,55.55,54.11,55.48,1750100,55.05
2010-08-26,55.19,55.65,54.49,54.62,2485300,54.20
2010-08-25,55.03,55.56,54.17,55.31,2583100,54.42
2010-08-24,55.81,55.94,54.94,55.34,2000900,54.45
2010-08-23,57.69,57.92,56.36,56.48,1928700,55.57
2010-08-20,57.17,57.48,56.47,57.37,1993000,56.45
2010-08-19,57.95,58.25,56.82,57.06,2343200,56.14
2010-08-18,57.25,58.34,57.25,58.23,2576600,57.29
2010-08-17,56.76,58.21,56.38,57.52,1896700,56.59
2010-08-16,56.23,56.52,55.62,56.23,1930300,55.32
2010-08-13,56.34,56.84,56.27,56.57,2178500,55.66
2010-08-12,56.12,56.99,56.11,56.53,2011600,55.62
2010-08-11,57.58,58.09,56.63,56.93,2170400,56.01
2010-08-10,59.26,59.67,58.41,59.15,2179000,58.20
2010-08-09,60.23,60.25,59.57,60.10,2021400,59.13
2010-08-06,59.02,60.15,58.97,60.01,2378600,59.04
2010-08-05,59.19,59.67,59.02,59.51,2004800,58.55
2010-08-04,58.90,59.54,58.82,59.52,1584900,58.56
2010-08-03,58.94,59.40,58.59,58.92,1334600,57.97
2010-08-02,59.48,59.48,58.25,59.21,1652800,58.26
2010-07-30,57.99,58.87,57.20,58.64,2317900,57.70
2010-07-29,59.49,60.00,57.81,58.44,2462500,57.50
2010-07-28,58.15,58.78,57.80,58.39,1652600,57.45
2010-07-27,59.40,59.40,58.02,58.14,1547100,57.20
2010-07-26,58.43,59.05,58.00,59.04,1872900,58.09
2010-07-23,57.85,58.49,57.76,58.17,2724700,57.23
2010-07-22,56.67,57.98,56.55,57.90,3014000,56.97
2010-07-21,57.04,57.29,55.57,56.03,1570600,55.13
2010-07-20,54.80,56.36,54.48,56.32,1839600,55.41
2010-07-19,55.09,55.70,55.00,55.49,2157900,54.60
2010-07-16,56.40,56.55,54.54,54.74,2049400,53.86
2010-07-15,57.72,57.72,56.15,56.61,2123900,55.70
2010-07-14,55.85,57.50,55.85,56.99,3542000,56.07
2010-07-13,55.08,55.59,54.80,55.26,2261800,54.37
2010-07-12,54.43,54.80,54.15,54.55,2215000,53.67
2010-07-09,55.91,55.97,54.81,55.45,1629400,54.56
2010-07-08,56.34,56.36,55.48,56.17,1996000,55.27
2010-07-07,54.42,55.62,54.27,55.59,2801800,54.69
2010-07-06,54.65,54.74,53.57,54.12,2398000,53.25
2010-07-02,54.01,54.69,53.78,54.10,2325300,53.23
2010-07-01,54.33,54.50,53.50,54.15,3462800,53.28
2010-06-30,55.42,55.78,54.37,54.44,3789700,53.56
2010-06-29,57.60,57.85,55.21,55.52,3572400,54.63
2010-06-28,58.81,59.39,58.26,58.42,2178800,57.48
2010-06-25,59.02,59.06,58.05,58.60,2515600,57.66
2010-06-24,59.73,60.06,58.70,58.88,2044700,57.93
2010-06-23,60.11,60.52,59.45,59.93,1602600,58.97
2010-06-22,61.08,61.67,60.12,60.25,1862100,59.28
2010-06-21,62.95,63.06,61.00,61.24,1983600,60.25
2010-06-18,61.56,62.16,61.44,62.08,2019300,61.08
2010-06-17,61.52,61.88,60.81,61.50,1758200,60.51
2010-06-16,60.41,61.27,60.33,61.08,2216200,60.10
2010-06-15,59.92,60.62,59.74,60.50,2696400,59.53
2010-06-14,60.17,60.71,59.62,59.74,1886500,58.78
2010-06-11,58.43,59.74,58.12,59.69,1621100,58.73
2010-06-10,58.41,59.17,58.24,59.05,1541400,58.10
2010-06-09,57.63,58.69,57.32,57.56,1878300,56.63
2010-06-08,56.73,57.46,56.33,57.38,2072400,56.46
2010-06-07,58.36,58.37,57.06,57.09,2303600,56.17
2010-06-04,59.63,59.91,58.04,58.24,1886500,57.30
2010-06-03,61.05,61.97,60.67,60.93,1854300,59.95
2010-06-02,59.90,60.87,59.66,60.82,2654100,59.84
2010-06-01,60.17,61.11,59.50,59.54,2031000,58.58
2010-05-28,61.16,61.37,60.27,60.49,2103400,59.52
2010-05-27,61.06,61.06,60.21,61.03,2241200,60.05
2010-05-26,61.31,61.68,60.09,60.18,3427700,58.75
2010-05-25,58.89,60.99,58.70,60.80,4046600,59.35
2010-05-24,60.81,61.48,60.18,60.25,2120600,58.82
2010-05-21,59.03,61.18,58.56,61.13,3033700,59.68
2010-05-20,61.12,61.47,59.67,60.02,2537900,58.59
2010-05-19,62.49,62.97,61.38,62.27,1968500,60.79
2010-05-18,64.17,64.58,62.84,62.85,1764400,61.36
2010-05-17,63.21,64.09,62.38,63.67,1490100,62.16
2010-05-14,64.42,64.79,62.79,63.29,1453300,61.78
2010-05-13,65.49,65.94,64.79,64.98,907300,63.43
2010-05-12,64.89,65.88,64.83,65.75,1089300,64.19
2010-05-11,63.72,65.70,63.42,64.89,1888100,63.35
2010-05-10,65.13,65.43,63.73,64.88,2842800,63.34
2010-05-07,64.34,64.68,62.34,62.84,2797000,61.35
2010-05-06,66.60,66.72,60.34,64.57,2552600,63.03
2010-05-05,66.20,67.11,66.20,66.88,1567300,65.29
2010-05-04,68.48,68.48,66.22,66.66,2148800,65.07
2010-05-03,68.22,69.38,68.11,69.24,1365500,67.59
2010-04-30,69.31,69.72,67.77,67.83,2024500,66.22
2010-04-29,68.98,69.75,68.40,69.38,1792100,67.73
2010-04-28,69.47,69.80,67.75,68.67,3333100,67.04
2010-04-27,68.77,68.77,67.10,67.18,1996300,65.58
2010-04-26,69.04,69.63,68.85,68.93,1607400,67.29
2010-04-23,69.04,69.04,68.15,68.99,1143000,67.35
2010-04-22,67.96,69.07,67.79,68.99,1847400,67.35
2010-04-21,67.17,68.39,66.94,68.37,1505700,66.74
2010-04-20,66.62,67.61,66.47,67.43,1620400,65.83
2010-04-19,65.68,66.50,65.60,66.42,1348300,64.84
2010-04-16,66.79,66.83,65.43,65.97,1734200,64.40
2010-04-15,66.64,67.00,66.34,66.82,1321100,65.23
2010-04-14,66.84,66.86,65.84,66.85,1377700,65.26
2010-04-13,66.05,66.79,65.60,66.64,1777300,65.05
2010-04-12,66.15,66.63,66.10,66.22,1388900,64.64
2010-04-09,65.08,66.19,65.07,66.15,1813800,64.58
2010-04-08,65.18,65.27,64.64,65.10,1657900,63.55
2010-04-07,65.44,65.90,65.14,65.22,2007300,63.67
2010-04-06,66.20,66.20,65.54,65.73,1433500,64.17
2010-04-05,66.45,66.69,66.19,66.42,1381000,64.84
2010-04-01,66.05,66.61,65.79,66.25,1581800,64.67
2010-03-31,65.39,65.88,65.19,65.57,1969500,64.01
2010-03-30,65.95,65.95,65.35,65.72,1426700,64.16
2010-03-29,65.72,66.06,65.52,65.78,2019300,64.22
2010-03-26,65.02,65.68,65.02,65.53,1758900,63.97
2010-03-25,65.42,65.60,64.94,64.98,1568900,63.43
2010-03-24,65.14,65.35,64.73,64.94,1691000,63.40
2010-03-23,65.05,65.32,64.83,65.19,2143500,63.64
2010-03-22,65.26,65.37,64.80,64.94,2150900,63.40
2010-03-19,65.19,65.61,64.91,65.54,4342200,63.98
2010-03-18,65.03,65.10,64.73,65.05,1497400,63.50
2010-03-17,64.88,65.34,64.56,64.90,1487000,63.36
2010-03-16,64.43,64.89,64.29,64.63,1557300,63.09
2010-03-15,63.98,64.37,63.80,64.31,1739400,62.78
2010-03-12,64.73,64.97,63.85,64.00,1872100,62.48
2010-03-11,64.55,64.80,63.87,64.75,1301600,63.21
2010-03-10,63.86,64.71,63.78,64.55,1418200,63.01
2010-03-09,63.96,64.52,63.69,64.00,1831400,62.48
2010-03-08,64.16,64.44,63.75,64.16,1272600,62.63
2010-03-05,63.42,64.36,63.38,64.22,1378400,62.69
2010-03-04,62.29,63.30,62.08,63.08,3422600,61.58
2010-03-03,62.94,63.03,61.95,62.32,2493000,60.84
2010-03-02,62.96,63.67,62.80,62.91,2122900,61.41
2010-03-01,61.25,63.23,61.15,63.01,2448200,61.51
2010-02-26,61.14,61.42,60.36,61.26,3412100,59.80
2010-02-25,61.17,61.19,60.16,61.12,2765200,59.67
2010-02-24,61.47,62.00,61.18,61.69,1862100,59.80
2010-02-23,61.48,62.23,61.21,61.24,1761400,59.37
2010-02-22,61.22,62.05,61.18,61.67,1727400,59.78
2010-02-19,61.48,61.79,60.94,61.21,2766500,59.34
2010-02-18,59.72,61.51,59.66,61.51,3292600,59.63
2010-02-17,59.72,59.95,59.40,59.94,1953100,58.11
2010-02-16,59.38,59.66,58.91,59.56,2381300,57.74
2010-02-12,58.83,59.05,58.24,58.89,2543700,57.09
2010-02-11,58.53,59.42,58.00,59.41,1912900,57.59
2010-02-10,59.47,59.50,58.34,58.54,2379100,56.75
2010-02-09,58.57,59.96,58.18,59.55,2720700,57.73
2010-02-08,57.76,58.72,57.17,57.97,2345500,56.20
2010-02-05,58.27,58.50,56.56,57.66,2565500,55.90
2010-02-04,58.13,60.39,56.86,57.90,6166600,56.13
2010-02-03,57.85,58.75,57.77,58.51,1964200,56.72
2010-02-02,57.88,58.20,57.14,58.18,2898800,56.40
2010-02-01,56.88,58.10,56.81,57.92,3366300,56.15
2010-01-29,56.96,57.06,56.31,56.60,2336300,54.87
2010-01-28,56.83,57.20,55.73,56.64,2414900,54.91
2010-01-27,55.85,56.96,55.59,56.74,2781800,55.00
2010-01-26,55.64,56.45,55.30,56.03,1878700,54.32
2010-01-25,56.25,56.25,55.36,55.70,2258000,54.00
2010-01-22,56.78,56.86,55.53,55.63,1972300,53.93
2010-01-21,58.15,58.34,56.58,56.68,2423300,54.95
2010-01-20,58.43,58.71,57.51,58.29,1679300,56.51
2010-01-19,58.61,59.61,58.17,58.94,2222800,57.14
2010-01-15,59.06,59.21,58.12,58.62,1668600,56.83
2010-01-14,59.24,59.83,58.57,59.30,1847100,57.49
2010-01-13,57.75,59.57,57.75,59.29,2466300,57.48
2010-01-12,57.24,57.59,56.80,57.56,1491300,55.80
2010-01-11,57.75,57.95,57.20,57.50,1376100,55.74
2010-01-08,57.37,58.10,57.15,57.44,1557400,55.68
2010-01-07,56.92,57.96,56.72,57.76,4292500,55.99
2010-01-06,56.80,57.22,56.59,57.17,1992200,55.42
2010-01-05,56.70,57.45,56.70,56.95,1680400,55.21
2010-01-04,56.10,56.87,56.10,56.85,1460200,55.11
2009-12-31,57.05,57.10,55.79,55.85,861300,54.14
2009-12-30,56.54,57.17,56.50,56.83,785800,55.09
2009-12-29,57.00,57.31,56.76,56.84,1046400,55.10
2009-12-28,55.96,56.83,55.96,56.83,1435800,55.09
2009-12-24,55.93,56.29,55.93,56.04,233100,54.33
2009-12-23,56.12,56.32,55.71,55.87,1215100,54.16
2009-12-22,56.52,56.79,56.00,56.11,1121600,54.39
2009-12-21,55.99,56.64,55.99,56.21,1263300,54.49
2009-12-18,55.85,56.09,55.36,55.72,3158200,54.02
2009-12-17,55.48,55.71,55.19,55.41,2100000,53.72
2009-12-16,55.89,56.17,55.51,55.63,1827500,53.93
