Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,44.95,45.43,44.69,45.20,425300,45.20
2010-12-02,44.44,45.40,44.34,45.20,395300,45.20
2010-12-01,44.19,44.94,43.89,44.44,461800,44.44
2010-11-30,43.37,43.73,42.96,43.11,527300,43.11
2010-11-29,43.55,44.06,43.08,43.94,340900,43.94
2010-11-26,43.89,44.39,43.88,43.88,143600,43.88
2010-11-24,43.30,44.50,43.29,44.32,319500,44.32
2010-11-23,42.99,43.42,42.71,42.97,445700,42.97
2010-11-22,43.53,43.96,43.05,43.59,276800,43.59
2010-11-19,43.58,43.92,43.34,43.81,280600,43.81
2010-11-18,43.46,44.16,43.36,43.63,343600,43.63
2010-11-17,42.65,43.26,42.40,43.06,489300,42.79
2010-11-16,43.15,43.41,42.32,42.65,545900,42.38
2010-11-15,43.70,44.47,43.52,43.57,419700,43.30
2010-11-12,44.03,44.52,43.28,43.53,416700,43.26
2010-11-11,44.09,44.60,43.76,44.46,433100,44.18
2010-11-10,44.39,44.65,43.95,44.58,273300,44.30
2010-11-09,45.17,45.30,44.26,44.39,502800,44.11
2010-11-08,45.02,45.53,44.78,45.07,414100,44.79
2010-11-05,45.39,45.46,44.90,45.23,538700,44.95
2010-11-04,45.23,45.65,44.97,45.24,709500,44.96
2010-11-03,44.58,45.16,44.21,44.68,714500,44.40
2010-11-02,44.45,44.75,44.21,44.41,378400,44.13
2010-11-01,43.93,44.37,43.74,43.98,465700,43.70
2010-10-29,43.41,44.09,43.39,43.75,399000,43.48
2010-10-28,44.04,44.27,43.43,43.62,412100,43.35
2010-10-27,43.57,43.77,43.22,43.63,566100,43.36
2010-10-26,44.45,44.45,43.81,44.10,796300,43.82
2010-10-25,45.00,45.65,44.56,44.68,703300,44.40
2010-10-22,44.76,45.28,44.55,44.87,529600,44.59
2010-10-21,46.27,46.80,44.15,44.66,1139200,44.38
2010-10-20,45.23,46.31,45.08,46.13,430200,45.84
2010-10-19,45.26,45.57,44.81,45.04,473300,44.76
2010-10-18,45.36,45.82,45.04,45.72,290500,45.43
2010-10-15,46.07,46.53,45.13,45.38,553600,45.10
2010-10-14,45.80,45.88,45.14,45.44,462500,45.16
2010-10-13,44.63,46.47,44.52,45.82,720300,45.53
2010-10-12,44.26,44.45,43.49,44.22,488200,43.94
2010-10-11,43.71,44.68,43.62,44.37,332900,44.09
2010-10-08,43.26,44.00,42.91,43.82,319200,43.55
2010-10-07,43.64,43.73,42.51,43.15,458000,42.88
2010-10-06,43.32,43.48,42.94,43.31,370600,43.04
2010-10-05,42.45,43.70,42.40,43.30,1266200,43.03
2010-10-04,42.44,42.81,41.43,41.87,513800,41.61
2010-10-01,43.15,43.30,42.38,42.51,514500,42.24
2010-09-30,43.28,43.90,42.49,42.77,453400,42.50
2010-09-29,42.96,43.14,42.76,42.94,423400,42.67
2010-09-28,42.93,43.30,42.44,43.14,542300,42.87
2010-09-27,43.37,43.40,42.80,42.82,399300,42.55
2010-09-24,42.82,43.52,42.82,43.26,598000,42.99
2010-09-23,42.90,43.15,41.93,42.07,561600,41.81
2010-09-22,43.44,44.11,43.21,43.37,756900,43.10
2010-09-21,42.78,44.00,42.72,43.57,625200,43.30
2010-09-20,42.27,42.89,42.20,42.85,397700,42.58
2010-09-17,42.23,42.32,41.51,42.10,510800,41.84
2010-09-16,42.03,42.29,41.51,41.95,364100,41.69
2010-09-15,42.05,42.40,41.69,42.27,348500,42.00
2010-09-14,42.09,42.65,41.87,42.40,380600,42.13
2010-09-13,42.18,42.68,41.97,42.23,330000,41.97
2010-09-10,41.63,41.86,41.30,41.57,286100,41.31
2010-09-09,41.52,41.63,41.09,41.57,516600,41.31
2010-09-08,40.29,41.16,40.18,40.90,450700,40.64
2010-09-07,40.75,40.92,39.90,40.15,380000,39.90
2010-09-03,41.09,41.59,40.35,40.99,601600,40.73
2010-09-02,39.76,40.60,39.74,40.50,840200,40.25
2010-09-01,39.08,39.70,38.59,39.55,1072500,39.30
2010-08-31,38.05,38.86,37.81,38.37,555500,38.13
2010-08-30,38.98,39.24,38.31,38.32,357800,38.08
2010-08-27,38.37,39.31,37.64,39.20,558100,38.95
2010-08-26,38.21,38.79,37.93,38.05,675500,37.81
2010-08-25,37.50,38.23,37.00,38.07,598100,37.83
2010-08-24,37.68,38.41,37.33,37.91,642800,37.67
2010-08-23,39.64,39.68,38.43,38.50,776900,38.26
2010-08-20,39.36,39.67,38.57,39.32,615500,39.07
2010-08-19,40.80,40.80,39.44,39.65,1093100,39.40
2010-08-18,41.01,41.51,40.69,41.16,583000,40.63
2010-08-17,40.90,41.53,40.48,41.13,495000,40.60
2010-08-16,39.99,40.50,39.66,40.35,419700,39.83
2010-08-13,40.55,40.85,40.13,40.33,469000,39.81
2010-08-12,40.10,40.96,40.03,40.74,495900,40.22
2010-08-11,42.19,42.22,40.79,40.93,497500,40.41
2010-08-10,43.73,43.89,42.86,43.14,484700,42.59
2010-08-09,43.78,44.33,43.68,44.27,290000,43.70
2010-08-06,43.52,44.20,42.81,43.52,393900,42.96
2010-08-05,43.61,44.28,43.54,44.18,376200,43.61
2010-08-04,43.20,44.20,43.15,44.17,418300,43.61
2010-08-03,43.77,43.77,42.78,43.14,492800,42.59
2010-08-02,44.39,44.45,43.47,44.04,515100,43.48
2010-07-30,43.10,43.96,42.89,43.67,844000,43.11
2010-07-29,44.10,44.32,43.05,43.82,818400,43.26
2010-07-28,43.59,44.22,43.44,43.68,551600,43.12
2010-07-27,43.86,44.48,43.42,43.96,769800,43.40
2010-07-26,43.56,43.91,43.15,43.45,1072400,42.89
2010-07-23,44.58,44.78,42.80,43.25,1108100,42.70
2010-07-22,42.16,43.36,42.14,43.19,750300,42.64
2010-07-21,41.98,42.38,40.97,41.32,805000,40.79
2010-07-20,39.92,41.67,39.44,41.56,732500,41.03
2010-07-19,40.32,40.69,39.63,40.47,561200,39.95
2010-07-16,40.83,41.13,39.76,39.83,469900,39.32
2010-07-15,41.64,41.78,40.51,41.17,619800,40.64
2010-07-14,41.48,41.99,41.06,41.62,671700,41.09
2010-07-13,41.40,41.89,41.13,41.64,1011300,41.11
2010-07-12,40.97,41.38,40.67,40.84,472500,40.32
2010-07-09,40.90,41.19,40.49,41.12,594700,40.59
2010-07-08,40.58,41.17,40.32,40.98,626300,40.46
2010-07-07,38.57,40.24,38.37,40.18,707900,39.67
2010-07-06,39.47,39.99,38.07,38.38,702000,37.89
2010-07-02,40.21,40.41,38.57,38.84,916000,38.34
2010-07-01,40.28,40.75,38.51,40.19,1094000,39.68
2010-06-30,40.35,41.03,40.09,40.23,592300,39.72
2010-06-29,41.40,41.43,40.10,40.37,530600,39.85
2010-06-28,42.49,42.82,41.95,42.04,512400,41.50
2010-06-25,42.39,42.64,41.61,42.55,927800,42.01
2010-06-24,42.43,42.84,41.55,42.07,559200,41.53
2010-06-23,42.09,42.97,41.40,42.56,568400,42.02
2010-06-22,44.17,44.56,42.15,42.34,516100,41.80
2010-06-21,45.87,45.87,43.95,44.21,700600,43.64
2010-06-18,44.67,44.97,44.22,44.49,598100,43.92
2010-06-17,44.89,45.01,43.48,44.64,733300,44.07
2010-06-16,45.06,45.18,44.16,44.50,671900,43.93
2010-06-15,44.58,45.45,44.05,45.42,735500,44.84
2010-06-14,44.64,45.19,43.79,43.86,928000,43.30
2010-06-11,42.94,43.96,42.83,43.89,665900,43.33
2010-06-10,42.25,43.62,42.25,43.60,1074600,43.04
2010-06-09,41.00,42.69,40.91,41.30,1108500,40.77
2010-06-08,40.41,40.81,39.47,40.65,1124700,40.13
2010-06-07,41.77,41.84,40.15,40.17,942100,39.66
2010-06-04,43.80,44.10,41.41,41.67,1476200,41.14
2010-06-03,44.84,45.37,44.08,44.91,851500,44.34
2010-06-02,43.73,44.50,43.39,44.50,716600,43.93
2010-06-01,44.45,45.00,43.43,43.47,900600,42.91
2010-05-28,45.43,45.54,44.40,44.94,930100,44.37
2010-05-27,44.92,45.47,44.35,45.47,1383100,44.89
