Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,8.63,8.67,8.38,8.40,9920200,8.40
2010-12-02,8.90,8.90,8.63,8.66,11211000,8.66
2010-12-01,9.14,9.19,8.85,8.89,8281700,8.89
2010-11-30,8.72,9.16,8.62,9.04,20043900,9.04
2010-11-29,8.69,8.98,8.67,8.80,9409800,8.80
2010-11-26,8.95,8.99,8.72,8.76,4504400,8.67
2010-11-24,9.32,9.32,8.79,9.01,10388300,8.92
2010-11-23,9.51,9.51,9.19,9.22,6902700,9.13
2010-11-22,9.68,9.73,9.47,9.58,7957700,9.48
2010-11-19,9.84,9.88,9.63,9.65,7670400,9.55
2010-11-18,9.97,10.04,9.83,9.84,8035700,9.74
2010-11-17,9.93,10.08,9.82,9.86,3400800,9.76
2010-11-16,10.13,10.22,9.81,9.90,4301800,9.80
2010-11-15,10.42,10.43,10.16,10.18,2817100,10.08
2010-11-12,10.28,10.50,10.22,10.33,4086000,10.23
2010-11-11,10.45,10.45,10.20,10.34,6059800,10.24
2010-11-10,10.50,10.63,10.39,10.56,3307400,10.45
2010-11-09,10.64,10.66,10.33,10.49,3607700,10.38
2010-11-08,10.66,10.72,10.50,10.59,3999300,10.48
2010-11-05,11.09,11.09,10.62,10.75,5264000,10.64
2010-11-04,10.80,11.07,10.72,11.06,4718400,10.95
2010-11-03,10.61,10.76,10.54,10.68,4097500,10.57
2010-11-02,10.83,10.84,10.53,10.57,4248200,10.46
2010-11-01,10.85,10.99,10.70,10.73,2977300,10.62
2010-10-29,10.80,10.97,10.77,10.79,5346100,10.68
2010-10-28,10.76,10.86,10.68,10.83,3914200,10.72
2010-10-27,10.25,10.69,10.21,10.68,5264500,10.57
2010-10-26,10.47,10.55,10.29,10.34,4863600,10.24
2010-10-25,10.88,10.99,10.41,10.49,5719700,10.38
2010-10-22,10.59,11.00,10.55,10.80,6443300,10.69
2010-10-21,10.21,10.70,10.15,10.55,9122000,10.44
2010-10-20,10.61,10.72,10.09,10.21,8938800,10.11
2010-10-19,11.20,11.50,10.53,10.55,18166500,10.44
2010-10-18,12.26,12.45,12.20,12.40,3768200,12.28
2010-10-15,12.25,12.30,11.98,12.21,2723700,12.09
2010-10-14,12.09,12.23,12.00,12.14,3198600,12.02
2010-10-13,12.12,12.30,11.95,12.13,3326800,12.01
2010-10-12,12.05,12.13,11.90,12.05,3710700,11.93
2010-10-11,11.47,12.16,11.06,12.14,5993300,12.02
2010-10-08,11.11,11.52,11.01,11.48,3682100,11.36
2010-10-07,11.19,11.22,10.89,11.07,2770200,10.96
2010-10-06,11.11,11.23,11.08,11.14,3439600,11.03
2010-10-05,11.16,11.26,11.05,11.12,5496100,11.01
2010-10-04,11.30,11.43,11.03,11.07,3481200,10.96
2010-10-01,11.61,11.61,11.25,11.34,3588600,11.23
2010-09-30,11.80,11.88,11.42,11.53,4074800,11.41
2010-09-29,11.38,11.73,11.33,11.65,3621000,11.53
2010-09-28,11.29,11.46,11.05,11.45,2668400,11.33
2010-09-27,11.37,11.44,11.29,11.29,4275900,11.18
2010-09-24,11.39,11.39,11.08,11.38,2855800,11.27
2010-09-23,10.86,11.25,10.85,11.06,3307400,10.95
2010-09-22,11.17,11.32,10.79,10.95,4588600,10.84
2010-09-21,11.55,11.60,11.11,11.17,3618700,11.06
2010-09-20,11.33,11.73,11.29,11.56,4963400,11.44
2010-09-17,11.23,11.32,11.10,11.27,5012200,11.16
2010-09-16,10.91,11.21,10.90,11.18,3490700,11.07
2010-09-15,11.06,11.10,10.89,11.02,2523000,10.91
2010-09-14,11.00,11.18,10.89,11.09,4372200,10.98
2010-09-13,10.75,10.96,10.70,10.90,3340600,10.79
2010-09-10,10.40,10.65,10.34,10.63,1891600,10.52
2010-09-09,10.60,10.65,10.40,10.40,2923700,10.30
2010-09-08,10.57,10.62,10.24,10.44,6075200,10.34
2010-09-07,10.43,10.62,10.41,10.57,6315300,10.46
2010-09-03,10.22,10.55,10.10,10.55,4407100,10.44
2010-09-02,9.97,10.33,9.97,10.11,4405600,10.01
2010-09-01,9.85,10.04,9.75,9.94,3769900,9.84
2010-08-31,9.89,10.00,9.67,9.72,3110900,9.62
2010-08-30,10.06,10.14,9.90,9.90,1984500,9.80
2010-08-27,10.07,10.24,9.87,10.19,3540600,10.00
2010-08-26,10.15,10.25,9.97,10.02,2646900,9.83
2010-08-25,10.02,10.19,9.96,10.13,3208500,9.94
2010-08-24,10.20,10.23,10.02,10.05,2939800,9.86
2010-08-23,10.17,10.41,10.05,10.33,4602000,10.14
2010-08-20,10.25,10.29,10.06,10.08,4566700,9.89
2010-08-19,10.79,10.80,10.30,10.31,3901200,10.12
2010-08-18,11.03,11.04,10.75,10.80,2254100,10.60
2010-08-17,11.09,11.21,10.95,11.07,3060200,10.86
2010-08-16,10.87,11.07,10.71,11.04,3266100,10.83
2010-08-13,11.01,11.09,10.91,10.99,2125600,10.79
2010-08-12,11.23,11.29,11.02,11.05,3345000,10.84
2010-08-11,11.68,11.69,11.26,11.29,2763700,11.08
2010-08-10,11.65,11.97,11.60,11.90,3068300,11.68
2010-08-09,11.65,11.78,11.64,11.73,1646200,11.51
2010-08-06,11.41,11.64,11.36,11.64,2295400,11.42
2010-08-05,11.48,11.58,11.31,11.57,2424600,11.35
2010-08-04,11.49,11.60,11.32,11.55,2544500,11.34
2010-08-03,11.40,11.52,11.26,11.44,2463200,11.23
2010-08-02,11.44,11.50,11.19,11.48,3216600,11.27
2010-07-30,10.98,11.33,10.96,11.28,3704700,11.07
2010-07-29,11.32,11.38,10.91,11.11,4677200,10.90
2010-07-28,11.59,11.65,11.10,11.19,4640000,10.98
2010-07-27,11.83,11.93,11.50,11.62,7950200,11.40
2010-07-26,11.37,11.58,11.13,11.58,5838900,11.36
2010-07-23,11.12,11.28,11.07,11.28,5610200,11.07
2010-07-22,11.22,11.34,11.01,11.12,4814600,10.91
2010-07-21,11.23,11.38,11.09,11.16,4205000,10.95
2010-07-20,10.79,11.25,10.70,11.20,4635300,10.99
2010-07-19,10.95,11.03,10.75,10.87,3178400,10.67
2010-07-16,11.40,11.40,10.86,10.87,4609200,10.67
2010-07-15,11.05,11.47,10.92,11.43,5679200,11.22
2010-07-14,11.05,11.09,10.84,11.00,2445100,10.80
2010-07-13,11.08,11.15,10.93,11.02,3993800,10.82
2010-07-12,11.13,11.27,10.89,10.93,3244200,10.73
2010-07-09,11.14,11.25,10.99,11.21,3249100,11.00
2010-07-08,11.02,11.22,10.92,11.17,4599200,10.96
2010-07-07,10.72,11.04,10.62,10.90,6073400,10.70
2010-07-06,10.90,10.97,10.40,10.57,5004600,10.37
2010-07-02,10.91,10.93,10.66,10.71,2321600,10.51
2010-07-01,10.98,11.01,10.55,10.89,6445200,10.69
2010-06-30,11.13,11.29,10.82,10.84,6308600,10.64
2010-06-29,11.72,11.84,11.08,11.12,6844900,10.91
2010-06-28,12.06,12.09,11.81,11.94,3647000,11.72
2010-06-25,12.15,12.31,11.94,12.00,4760600,11.78
2010-06-24,12.42,12.44,12.10,12.12,2908900,11.89
2010-06-23,12.60,12.70,12.37,12.50,2634300,12.27
2010-06-22,12.34,12.78,12.32,12.66,4552500,12.42
2010-06-21,13.03,13.16,12.29,12.35,3520000,12.12
2010-06-18,13.21,13.22,12.84,12.86,5336800,12.62
2010-06-17,12.76,13.26,12.73,13.24,5827500,12.99
2010-06-16,12.67,12.94,12.46,12.48,4081600,12.25
2010-06-15,12.51,12.83,12.37,12.76,2592000,12.52
2010-06-14,12.33,12.49,12.21,12.36,2436700,12.13
2010-06-11,12.43,12.43,12.17,12.24,3006000,12.01
2010-06-10,12.16,12.50,12.16,12.49,2965000,12.26
2010-06-09,12.20,12.43,11.93,11.99,3574300,11.77
2010-06-08,12.33,12.34,11.95,12.17,4128900,11.94
2010-06-07,12.64,12.72,12.22,12.34,4164100,12.11
2010-06-04,12.72,12.99,12.65,12.68,3227100,12.44
2010-06-03,13.12,13.27,12.90,13.05,2893300,12.81
2010-06-02,13.06,13.24,12.83,13.05,3829500,12.81
2010-06-01,13.31,13.46,13.00,13.00,3425500,12.76
2010-05-28,13.67,13.91,13.40,13.47,3211200,13.22
2010-05-27,13.47,13.66,13.27,13.61,3339000,13.36
2010-05-26,13.54,13.78,13.38,13.44,4732400,13.10
2010-05-25,12.72,13.32,12.50,13.24,6113800,12.91
2010-05-24,13.17,13.24,12.99,13.15,3903900,12.82
2010-05-21,12.82,13.27,12.65,13.23,5113100,12.90
2010-05-20,13.45,13.45,12.86,12.86,4657500,12.54
2010-05-19,13.67,13.91,13.55,13.72,3415300,13.38
2010-05-18,13.88,14.05,13.70,13.72,2766600,13.38
2010-05-17,13.59,13.79,13.26,13.75,4086300,13.41
2010-05-14,13.82,13.85,13.55,13.64,2893000,13.30
2010-05-13,14.10,14.24,13.80,13.83,3870500,13.48
2010-05-12,13.87,14.13,13.79,14.10,3245300,13.75
2010-05-11,13.63,14.18,13.58,13.86,3679900,13.51
2010-05-10,13.99,14.08,13.56,13.76,5060700,13.42
2010-05-07,13.97,14.09,13.34,13.40,7947100,13.06
2010-05-06,14.93,14.95,13.19,13.99,7979600,13.64
2010-05-05,14.69,15.15,14.60,15.00,3810900,14.62
2010-05-04,14.92,15.04,14.72,14.77,3928300,14.40
2010-05-03,14.98,15.18,14.85,15.08,3507300,14.70
2010-04-30,15.12,15.25,14.78,14.90,4140100,14.53
2010-04-29,15.08,15.29,14.76,15.17,4314000,14.79
2010-04-28,15.05,15.23,14.93,14.99,4582100,14.61
2010-04-27,15.23,15.30,14.90,14.96,5977200,14.59
2010-04-26,15.88,16.00,15.27,15.36,6472000,14.98
2010-04-23,16.16,16.16,15.76,16.00,3707000,15.60
2010-04-22,16.14,16.26,15.99,16.09,3647900,15.69
2010-04-21,16.25,16.42,15.96,16.29,5780500,15.88
2010-04-20,16.51,17.47,16.04,16.27,10963900,15.86
2010-04-19,17.00,17.31,16.85,17.14,5213900,16.71
2010-04-16,17.36,17.44,16.83,16.98,6270200,16.56
2010-04-15,16.78,17.21,16.66,17.16,4034400,16.73
2010-04-14,16.90,16.93,16.52,16.84,3196200,16.42
2010-04-13,16.82,16.95,16.67,16.89,1912600,16.47
2010-04-12,16.55,17.00,16.51,16.83,3609100,16.41
2010-04-09,16.38,16.60,16.28,16.40,3261600,15.99
2010-04-08,16.56,16.56,16.24,16.42,3363000,16.01
2010-04-07,16.73,16.87,16.50,16.58,3859800,16.17
2010-04-06,16.82,16.86,16.75,16.82,2657100,16.40
2010-04-05,16.85,16.99,16.74,16.90,2378000,16.48
2010-04-01,16.79,16.89,16.64,16.77,2096900,16.35
2010-03-31,16.80,16.80,16.63,16.68,2616200,16.26
2010-03-30,16.38,16.92,16.27,16.80,5784900,16.38
2010-03-29,16.41,16.42,16.24,16.31,2263100,15.90
2010-03-26,16.52,16.57,16.15,16.22,2491300,15.81
2010-03-25,16.74,16.76,16.46,16.49,3028700,16.08
2010-03-24,16.81,16.86,16.43,16.59,2760000,16.17
2010-03-23,16.72,16.91,16.52,16.91,2183000,16.49
2010-03-22,16.61,16.86,16.26,16.75,3800600,16.33
2010-03-19,17.06,17.08,16.54,16.73,5452100,16.31
2010-03-18,17.41,17.46,17.07,17.14,2996700,16.71
2010-03-17,17.29,17.60,17.25,17.47,2715000,17.03
2010-03-16,17.37,17.51,17.20,17.33,3038100,16.90
2010-03-15,17.02,17.71,16.77,17.37,5242100,16.94
2010-03-12,16.06,17.89,15.86,17.13,18143800,16.70
2010-03-11,16.04,16.07,15.75,16.07,2274800,15.67
2010-03-10,16.19,16.28,15.96,16.09,3279800,15.69
2010-03-09,16.20,16.50,16.01,16.16,5044300,15.76
2010-03-08,15.89,16.16,15.79,16.15,2523200,15.75
2010-03-05,16.00,16.04,15.80,15.86,3825100,15.46
2010-03-04,15.71,16.00,15.57,15.99,3270200,15.59
2010-03-03,15.77,15.97,15.55,15.71,3999600,15.32
2010-03-02,15.71,15.99,15.63,15.88,3655700,15.48
2010-03-01,15.29,15.69,15.27,15.65,2647400,15.26
2010-02-26,15.29,15.32,15.05,15.27,3786200,14.89
2010-02-25,14.94,15.29,14.79,15.26,4671500,14.88
2010-02-24,15.35,15.38,15.19,15.27,3416800,14.80
2010-02-23,15.64,15.64,15.22,15.29,3015100,14.82
2010-02-22,15.75,15.87,15.67,15.68,1338100,15.20
2010-02-19,15.61,15.88,15.53,15.79,3051800,15.31
2010-02-18,15.33,15.84,15.33,15.72,3233900,15.24
2010-02-17,15.20,15.48,15.14,15.44,3162300,14.97
2010-02-16,14.83,15.23,14.72,15.20,3764900,14.73
2010-02-12,14.82,14.93,14.55,14.77,3986600,14.32
2010-02-11,14.78,14.97,14.58,14.91,2599600,14.45
2010-02-10,14.76,14.98,14.59,14.82,2946800,14.37
2010-02-09,14.56,14.86,14.49,14.80,3605300,14.35
2010-02-08,14.61,14.64,14.32,14.42,2667100,13.98
2010-02-05,14.39,14.60,14.30,14.59,3856600,14.14
2010-02-04,14.62,14.83,14.41,14.44,4492000,14.00
2010-02-03,15.00,15.02,14.65,14.73,3432000,14.28
2010-02-02,14.89,15.10,14.78,15.06,3983000,14.60
2010-02-01,14.72,14.99,14.72,14.84,3352700,14.39
2010-01-29,15.12,15.15,14.62,14.71,4382200,14.26
2010-01-28,14.94,15.12,14.66,15.05,5050400,14.59
2010-01-27,14.76,14.94,14.53,14.94,5338600,14.48
2010-01-26,15.02,15.04,14.75,14.75,3348700,14.30
2010-01-25,15.53,15.59,15.01,15.08,5369300,14.62
2010-01-22,15.23,15.54,14.99,15.42,7010200,14.95
2010-01-21,15.63,15.78,15.17,15.22,7608900,14.75
2010-01-20,14.71,15.68,14.63,15.62,8691500,15.14
2010-01-19,14.42,14.95,14.40,14.81,7429500,14.36
2010-01-15,14.38,14.50,13.98,14.32,5267900,13.88
2010-01-14,13.90,14.40,13.81,14.33,8040800,13.89
2010-01-13,13.76,14.05,13.42,13.86,5955900,13.44
2010-01-12,13.81,14.14,13.36,13.67,16736700,13.25
2010-01-11,12.95,12.95,12.68,12.92,4517500,12.52
2010-01-08,12.90,12.96,12.78,12.87,3090100,12.48
2010-01-07,12.82,12.98,12.73,12.90,3019100,12.50
2010-01-06,12.74,12.98,12.74,12.87,3813300,12.48
2010-01-05,12.99,13.00,12.60,12.74,5015200,12.35
2010-01-04,12.80,13.00,12.78,12.96,4391200,12.56
2009-12-31,12.65,12.92,12.63,12.71,3198300,12.32
2009-12-30,12.59,12.72,12.57,12.66,1830300,12.27
2009-12-29,12.93,12.93,12.63,12.63,2029900,12.24
2009-12-28,12.97,12.97,12.79,12.90,1522800,12.50
