iteration,volGap,pre-testVA,post-testVA
0,0.450415568068,5.0,0.0
1,0.468917500797,5.0,3.0
2,0.496724429712,5.0,0.0
3,0.359979498802,1.0,1.0
4,0.486836061618,5.0,5.0
5,0.429634478019,3.0,1.0
6,0.538449067547,5.0,4.0
7,0.514973434317,5.0,4.0
8,0.506796545943,5.0,4.0
9,0.465274484173,5.0,4.0
10,0.5324255758,5.0,3.0
11,0.480820984199,5.0,5.0
12,0.568935624373,5.0,5.0
13,0.503784661635,5.0,2.0
14,0.530596131763,5.0,3.0
15,0.550970628084,5.0,4.0
16,0.469886962806,5.0,4.0
17,0.544013927374,5.0,3.0
18,0.56785770683,5.0,3.0
19,0.542634160032,5.0,4.0
20,0.531030945376,5.0,5.0
21,0.542205469218,5.0,5.0
22,0.520317166162,5.0,4.0
23,0.520673562248,5.0,5.0
24,0.540912396968,5.0,2.0
25,0.526877628078,5.0,4.0
26,0.512050916663,5.0,3.0
27,0.547849865608,5.0,0.0
28,0.529322158644,5.0,2.0
29,0.518137936711,5.0,4.0
30,0.530861818953,5.0,1.0
31,0.542583148268,5.0,3.0
32,0.522239894498,5.0,4.0
33,0.566060404651,5.0,5.0
34,0.556879225822,5.0,5.0
35,0.497080958792,5.0,5.0
36,0.515320636707,5.0,4.0
37,0.550479369798,5.0,5.0
38,0.455109465884,5.0,1.0
39,0.480189098658,5.0,2.0
40,0.521680065337,5.0,4.0
41,0.570591908645,5.0,5.0
42,0.493543431324,5.0,4.0
43,0.485017626786,5.0,5.0
44,0.492807854243,5.0,3.0
45,0.541858849757,5.0,2.0
46,0.503567691297,5.0,0.0
47,0.492823733103,5.0,4.0
48,0.539145953536,5.0,4.0
49,0.493509262729,5.0,4.0
50,0.461396273041,5.0,5.0
51,0.558487963334,5.0,5.0
52,0.55036810553,5.0,5.0
53,0.548735398281,5.0,4.0
54,0.391242215762,5.0,4.0
55,0.491283251442,5.0,5.0
56,0.535334620325,5.0,5.0
57,0.429830814139,5.0,0.0
58,0.492612073414,5.0,4.0
59,0.512129631988,5.0,0.0
60,0.529220747507,5.0,3.0
61,0.539482732468,5.0,5.0
62,0.535421106717,5.0,5.0
63,0.567757449139,5.0,3.0
64,0.549126514485,5.0,5.0
65,0.516704633622,5.0,4.0
66,0.543190322283,5.0,5.0
67,0.556821009448,5.0,4.0
68,0.513520323274,5.0,4.0
69,0.517148024518,5.0,5.0
70,0.527787539701,5.0,5.0
71,0.475670676544,5.0,3.0
72,0.552127773123,5.0,4.0
73,0.48280360221,5.0,4.0
74,0.489748768824,5.0,4.0
75,0.43611666893,5.0,3.0
76,0.526824127413,5.0,3.0
77,0.463972482524,5.0,4.0
78,0.519921498361,5.0,4.0
79,0.522484863849,5.0,4.0
80,0.544165599312,5.0,5.0
81,0.492773915796,5.0,1.0
82,0.482888502793,5.0,2.0
83,0.523364839686,5.0,3.0
84,0.553216069187,5.0,5.0
85,0.513267245998,5.0,4.0
86,0.520694917182,5.0,5.0
87,0.477780775204,5.0,4.0
88,0.525313858386,5.0,3.0
89,0.506684455789,5.0,4.0
90,0.545809532126,5.0,5.0
91,0.520402085048,5.0,4.0
92,0.527900716085,5.0,0.0
93,0.546801071967,5.0,0.0
94,0.557327857152,5.0,5.0
95,0.497897494599,5.0,4.0
96,0.288023760194,1.0,1.0
97,0.507498649396,5.0,4.0
98,0.481523859907,5.0,4.0
99,0.515596736562,5.0,4.0
