Ticker,AnnualRisk,ExpReturn
A,0.527558421855,0.1468
AA,0.3661587359,0.1996
AAPL,0.498618596097,0.138
ABC,0.375468393261,0.0876
ABT,0.269567454547,0.0524
ACE,0.364792130693,0.0836
ADBE,0.560650596089,0.1524
ADI,0.495929705441,0.1172
ADM,0.326601222955,0.0524
ADP,0.274250599931,0.0804
ADSK,0.502143815248,0.2036
AEE,0.225108363334,0.0844
AEP,0.220762299995,0.0772
AES,0.5813674182,0.1444
AET,0.326329254116,0.1308
AFL,0.408264288433,0.178
AGN,0.323575238328,0.102
AIG,0.530381500594,0.3468
AIV,0.391226920264,0.2132
AIZ,0.419626283266,0.15
AKAM,0.846476768931,0.0868
AKS,0.593470634704,0.238
ALL,0.348829655193,0.1548
ALTR,0.589244886886,0.1188
AMAT,0.54825495765,0.1164
AMD,0.612458672806,0.2116
AMGN,0.437114504993,0.0644
AMP,0.560548908935,0.1932
AMT,0.608489142061,0.0836
AMZN,0.713769792071,0.118
AN,0.528467155334,0.1364
ANF,0.556617275393,0.162
AON,0.300578172757,0.0692
APA,0.386277765021,0.1204
APC,0.384233594395,0.1444
APD,0.294363943899,0.1268
APH,0.415479402378,0.1388
APOL,0.529889763635,0.038
ARG,0.433157337276,0.1284
ATI,0.573509065347,0.1692
AVB,0.350245561569,0.1348
AVP,0.348282149996,0.1588
AVY,0.301710650605,0.1508
AXP,0.370544194171,0.1972
AYE,0.319732911396,0.0988
AZO,0.336203246659,0.0652
BA,0.31500669779,0.1356
BAC,0.429755860642,0.2164
BAX,0.303569787045,0.0676
BBBY,0.465618605784,0.1268
BBT,0.346207254226,0.1108
BBY,0.569018614875,0.15
BCR,0.310058610728,0.0492
BDX,0.273677191314,0.0748
BEN,0.395592044759,0.1532
BF-b,0.248146487283,0.09
BHI,0.433614398453,0.15
BIG,0.50457915983,0.1116
BIIB,0.668086321407,0.0844
BK,0.374965352007,0.0852
BLL,0.298246249132,0.0756
BMC,0.521575711002,0.0796
BMS,0.292102688909,0.0956
BMY,0.277540987095,0.0764
BRCM,0.693860096274,0.1452
BRK-b,0.248854985865,0.07
BSX,0.44534296131,0.114
BTU,0.535484944678,0.1348
BXP,0.355884288538,0.146
C,0.440587207037,0.242
CA,0.496793994155,0.1068
CAG,0.269059265117,0.0916
CAH,0.344967409446,0.0964
CAM,0.48313453989,0.158
CAT,0.323552966083,0.178
CB,0.275401735529,0.0668
CBG,0.766004880572,0.2412
CBS,0.537766610321,0.2172
CCE,0.341253067831,0.134
CCL,0.386872378753,0.1532
CEG,0.278164325293,0.114
CELG,0.625963867899,0.0756
CEPH,0.628334457023,0.0628
CERN,0.559638829441,0.1148
CF,0.590213497868,0.1044
CFN,0.311491271463,0.11
CHK,0.648395260296,0.1204
CHRW,0.381217054897,0.0924
CI,0.343800415098,0.1572
CINF,0.29815246173,0.0908
CL,0.273007667193,0.07
CLF,0.475031581913,0.2196
CLX,0.260376665476,0.0612
CMA,0.364030864579,0.1212
CMCSA,0.402820982875,0.1116
CME,0.452593455345,0.1188
CMI,0.381106613786,0.1988
CMS,0.330458486892,0.0772
CNP,0.48601453199,0.09
CNX,0.567847224985,0.1356
COF,0.549829452637,0.17
COG,0.403627244696,0.1116
COH,0.473463424007,0.1676
COL,0.317626882516,0.138
COP,0.321340525816,0.1228
COST,0.361935593194,0.0924
CPB,0.268631222387,0.0532
CPWR,0.600975656635,0.1292
CRM,0.53129817245,0.1452
CSC,0.361124812691,0.1164
CSCO,0.482305399006,0.1276
CSX,0.318695019315,0.1292
CTAS,0.34085445483,0.1044
CTL,0.298926258494,0.0908
CTSH,0.608139900868,0.118
CTXS,0.728876492747,0.1188
CVH,0.611980425594,0.1932
CVS,0.314909754766,0.0892
CVX,0.271184255027,0.0852
D,0.205656808634,0.0772
DD,0.28276966388,0.146
DE,0.343095083912,0.158
DELL,0.566320125566,0.1412
DF,0.414126104991,0.0812
DFS,0.67968398796,0.1612
DGX,0.509599110958,0.078
DHI,0.528375303476,0.1044
DHR,0.301616503934,0.1004
DIS,0.322139530402,0.1244
DISCA,0.408360856823,0.1036
DNB,0.27087555724,0.0684
DNR,0.581576006554,0.1236
DO,0.451897133414,0.0924
DOV,0.284648585932,0.1412
DOW,0.320535963423,0.226
DPS,0.381851802627,0.1084
DRI,0.379846409655,0.1052
DTE,0.301830329493,0.082
DTV,0.314177993744,0.098
DUK,0.227475196111,0.066
DV,0.440199337555,0.0588
DVA,0.519567869071,0.0492
DVN,0.376689444279,0.1076
EBAY,0.636531470164,0.1604
ECL,0.259562935289,0.0876
ED,0.191016761797,0.0564
EFX,0.388206691496,0.118
EIX,0.295229874356,0.082
